|       | Choplifter III                                                            | Victor Interactive Software  | Super Nintendo | 1994 | Japan
|       | Chou Makai Taisen: Dorabocchan                                            | Naxat Soft                   | Super Nintendo | 1993 | Japan
|       | Chou-Genjin                                                               | Hudson                       | Super Nintendo | 1994 | Japan
|       | Chou-Genjin 2                                                             | Hudson                       | Super Nintendo | 1995 | Japan
|       | Chou-Godzilla                                                             | Toho                         | Super Nintendo | 1993 | Japan
|       | Chou-Mahou Tairiku Wozz                                                   | Bullet Proof Software        | Super Nintendo | 1995 | Japan
|       | Chou-Makai-Mura                                                           | Capcom                       | Super Nintendo | 1991 | Japan
|       | Choujikuu Yousai Macross: Scrambled Valkyrie                              | Zamuse                       | Super Nintendo | 1993 | Japan
|       | Choukou Goukami Xardion                                                   | Asmik Ace Entertainment, Inc | Super Nintendo | 1992 | Japan
|       | Chrono Trigger                                                            | SquareSoft                   | Super Nintendo | 1995 | Japan
|       | Circuit USA                                                               | Virgin Interactive           | Super Nintendo | 1995 | Japan
|       | Classic Road                                                              | Victor Interactive Software  | Super Nintendo | 1993 | Japan
|       | Classic Road II: Real Kouma Simulation                                    | Victor Interactive Software  | Super Nintendo | 1995 | Japan
|       | Clock Tower                                                               | Human Entertainment          | Super Nintendo | 1995 | Japan
|       | ClockWerx                                                                 | Tokuma Shoten                | Super Nintendo | 1995 | Japan
|       | Combatribes, The                                                          | Technos                      | Super Nintendo | 1992 | Japan
|       | Computer Nou Riki Kaiseki: Ultra Baken                                    | Culture Brain                | Super Nintendo | 1995 | Japan
|       | Contra Spirits                                                            | Konami                       | Super Nintendo | 1992 | Japan
|       | Conveni Wars Barcode Battler Senki: Super Senshi Shutsugeki Seyo!         | Epoch                        | Super Nintendo | 1993 | Japan
|       | Cool Spot                                                                 | Virgin Interactive           | Super Nintendo | 1993 | Japan
|       | Coron Land                                                                | Yumedia                      | Super Nintendo | 1995 | Japan
|       | Cosmo Gang: The Puzzle                                                    | Namco                        | Super Nintendo | 1993 | Japan
|       | Cosmo Gang: The Video                                                     | Namco                        | Super Nintendo | 1992 | Japan
|       | Cosmo Police Galivan II: Arrow of Justice                                 | Nichibutsu                   | Super Nintendo | 1993 | Japan
|       | Cotton 100%: Marchen Adventure                                            | Datam Polystar               | Super Nintendo | 1994 | Japan
|       | Crayon Shin-Chan 2: Dai Maou no Gyakushu                                  | Bandai                       | Super Nintendo | 1994 | Japan
|       | Crayon Shin-Chan: Arashi o Yobu Enji                                      | Bandai                       | Super Nintendo | 1993 | Japan
|       | Crayon Shin-Chan: Nagagutsu Dobon!!                                       | Bandai                       | Super Nintendo | 1996 | Japan
|       | Crayon Shin-Chan: Osagusu Dobon                                           | Bandai                       | Super Nintendo | 1996 | Japan
|       | Crystal Beans: From Dungeon Explorer                                      | Hudson                       | Super Nintendo | 1995 | Japan
|       | Cu-On-Pa SFC                                                              | T&E Soft                     | Super Nintendo | 1996 | Japan
|       | Cyber Knight                                                              | Tonkin House                 | Super Nintendo | 1992 | Japan
|       | Cyber Knight II: Chikyuu Teikoku no Yabou                                 | Tonkin House                 | Super Nintendo | 1994 | Japan
|       | Cyborg 009                                                                | Bec                          | Super Nintendo | 1994 | Japan
|       | Dai-3-Ji Super Robot Taisen                                               | Banpresto                    | Super Nintendo | 1993 | Japan
|       | Dai-4-Ji Super Robot Taisen                                               | Banpresto                    | Super Nintendo | 1995 | Japan
|       | Daibakushou: Jinsei Gekijou                                               | Taito Corporation            | Super Nintendo | 1992 | Japan
|       | Daibakushou: Jinsei Gekijou - DokiDoki Seishun Hen                        | Taito Corporation            | Super Nintendo | 1993 | Japan
|       | Daibakushou: Jinsei Gekijou - Ooedo Nikki                                 | Taito Corporation            | Super Nintendo | 1994 | Japan
|       | Daibakushou: Jinsei Gekijou - Zukkoke SalaryMan Hen                       | Taito Corporation            | Super Nintendo | 1995 | Japan
|       | Daikaijyuu Monogatari                                                     | Hudson                       | Super Nintendo | 1994 | Japan
|       | Daikaijyuu Monogatari II                                                  | Hudson                       | Super Nintendo | 1996 | Japan
|       | Daikoukai Jidai II                                                        | Koei                         | Super Nintendo | 1994 | Japan
|       | Daisenryaku Expert                                                        | ASCII Entertainment          | Super Nintendo | 1992 | Japan
|       | Daisenryaku Expert WWII: War in Europe                                    | ASCII Entertainment          | Super Nintendo | 1996 | Japan
|       | Darius Force                                                              | Taito Corporation            | Super Nintendo | 1993 | Japan
|       | Darius Twin                                                               | Taito Corporation            | Super Nintendo | 1991 | Japan
|       | Dark Half                                                                 | Enix Corporation             | Super Nintendo | 1996 | Japan
|       | Dark Kingdom                                                              | Nippon Telenet               | Super Nintendo | 1994 | Japan
|       | Dark Law: Meaning of Death                                                | ASCII Entertainment          | Super Nintendo | 1997 | Japan
|       | Daruma Dojo                                                               | Den'Z                        | Super Nintendo | 1995 | Japan
|       | Date Kimiko no Virtual Tennis                                             | B-AI                         | Super Nintendo | 1994 | Japan
|       | David Crane's Amazing Tennis                                              | Pack-In-Video                | Super Nintendo | 1992 | Japan
|       | Dead Dance                                                                | Jaleco Entertainment         | Super Nintendo | 1993 | Japan
|       | Deae Tonosama Appare Ichiban                                              | SunSoft                      | Super Nintendo | 1995 | Japan
|       | Dear Boys                                                                 | Yutaka                       | Super Nintendo | 1994 | Japan
|       | Death Brade                                                               | I'Max                        | Super Nintendo | 1993 | Japan
|       | Dekitate High School                                                      | Bullet Proof Software        | Super Nintendo | 1995 | Japan
|       | Demon's Blazon: Makai-Mura Monshou Hen                                    | Capcom                       | Super Nintendo | 1994 | Japan
|       | Densetsu no Ogre Battle: The March of the Black Queen                     | Quest                        | Super Nintendo | 1993 | Japan
|       | Der Langrisser                                                            | NCS                          | Super Nintendo | 1995 | Japan
|       | Derby Jockey 2                                                            | Asmik Ace Entertainment, Inc | Super Nintendo | 1995 | Japan
|       | Derby Jockey: Kishou e no Michi                                           | Asmik Ace Entertainment, Inc | Super Nintendo | 1994 | Japan
|       | Derby Stallion 96                                                         | ASCII Entertainment          | Super Nintendo | 1996 | Japan
|       | Derby Stallion 98                                                         | Nintendo                     | Super Nintendo | 1998 | Japan
|       | Derby Stallion II                                                         | ASCII Entertainment          | Super Nintendo | 1994 | Japan
|       | Derby Stallion III                                                        | ASCII Entertainment          | Super Nintendo | 1995 | Japan
|       | Desert Fighter                                                            | Seta Corporation             | Super Nintendo | 1994 | Japan
|       | Desert Strike: Wangan Sakusen                                             | Electronic Arts Victor       | Super Nintendo | 1993 | Japan
|       | Destructive                                                               | Bandai                       | Super Nintendo | 1993 | Japan
|       | Devil's Course                                                            | T&E Soft                     | Super Nintendo | 1993 | Japan
|       | Dharma Dojo                                                               | Den'Z                        | Super Nintendo | 1995 | Japan
|       | Dimension Force                                                           | Asmik Corporation of America | Super Nintendo | 1991 | Japan
|       | Dinowars: Kyouryuu Oukoku e no Daibouken                                  | Irem                         | Super Nintendo | 1992 | Japan
|       | Disney's Bonkers                                                          | Capcom                       | Super Nintendo | 1995 | Japan
|       | Disney's Donald in Maui Mallard                                           | Capcom                       | Super Nintendo | 1996 | Japan
|       | Disney's Pinocchio                                                        | Capcom                       | Super Nintendo | 1996 | Japan
|       | Disney's Toy Story                                                        | Capcom                       | Super Nintendo | 1996 | Japan
