|       | Terminator 3: The Redemption                               | Atari                        | Nintendo GameCube | 2005 | Japan
|       | Tetris Worlds                                              | Success                      | Nintendo GameCube | 2002 | Japan
|       | Tony Hawk's Pro Skater 3                                   | Success                      | Nintendo GameCube | 2003 | Japan
|       | Top Gun: Ace of the Sky                                    | Titus Software               | Nintendo GameCube | 2002 | Japan
|       | Totsugeki! Famicom Wars                                    | Nintendo                     | Nintendo GameCube | 2005 | Japan
|       | Tower of Druaga, The                                       | Namco                        | Nintendo GameCube | 2003 | Japan
|       | Tsukande! Mawashite! Dossun Puzzle EggMania                | Kotobuki Systems             | Nintendo GameCube | 2002 | Japan
|       | UFC 2 Tapout Final Spec.                                   | Capcom                       | Nintendo GameCube | 2002 | Japan
|       | Ultimate Spider-Man                                        | Taito Corporation            | Nintendo GameCube | 2006 | Japan
|       | Universal Studios Japan                                    | Kemco                        | Nintendo GameCube | 2001 | Japan
|       | Urbz: Sims in the City, The                                | EA Games                     | Nintendo GameCube | 2005 | Japan
|       | V-Rally 3                                                  | Atari                        | Nintendo GameCube | 2003 | Japan
|       | Viewtiful Joe                                              | Capcom                       | Nintendo GameCube | 2003 | Japan
|       | Viewtiful Joe 2: Black Film no Nazo                        | Capcom                       | Nintendo GameCube | 2004 | Japan
|       | Viewtiful Joe: Battle Carnival                             | Capcom                       | Nintendo GameCube | 2005 | Japan
|       | Virtua Fighter Cyber Generation: Judgment Six No Yabou     | Sega                         | Nintendo GameCube | 2004 | Japan
|       | Virtua Striker 3 Ver.2002                                  | Sega                         | Nintendo GameCube | 2002 | Japan
|       | Wai Wai Golf                                               | Eidos Interactive            | Nintendo GameCube | 2002 | Japan
|       | Wario World                                                | Nintendo                     | Nintendo GameCube | 2004 | Japan
|       | Warrior Blade: Rastan vs. Barbarian                        | Taito Corporation            | Nintendo GameCube | 2003 | Japan
|       | Wave Race: Blue Storm                                      | Nintendo                     | Nintendo GameCube | 2001 | Japan
|       | World Soccer Winning Eleven 6 Final Evolution              | Konami                       | Nintendo GameCube | 2001 | Japan
|       | WTA Tour Tennis Pro Evolution                              | Konami                       | Nintendo GameCube | 2002 | Japan
|       | WWE Day of Reckoning                                       | Yuke's                       | Nintendo GameCube | 2005 | Japan
|       | WWE Wrestlemania X8                                        | Yuke's                       | Nintendo GameCube | 2002 | Japan
|       | WWE Wrestlemania XIX                                       | Yuke's                       | Nintendo GameCube | 2003 | Japan
|       | XGIII: Extreme G Racing                                    | Acclaim                      | Nintendo GameCube | 2002 | Japan
|       | Yu-Gi-Oh! Falsebound Kingdom                               | Konami                       | Nintendo GameCube | 2002 | Japan
|       | Zelda no Densetsu: 4tsu no Tsurugi+                        | Nintendo                     | Nintendo GameCube | 2004 | Japan
|       | Zelda no Densetsu: Kaze no Takuto                          | Nintendo                     | Nintendo GameCube | 2002 | Japan
|       | Zelda no Densetsu: Toki no Ocarina GC                      | Nintendo                     | Nintendo GameCube | 2002 | Japan
|       | Zelda no Densetsu: Twilight Princess                       | Nintendo                     | Nintendo GameCube | 2006 | Japan
|       | Zoids Vs.                                                  | Tomy Corporation             | Nintendo GameCube | 2002 | Japan
|       | Zoids Vs. II                                               | Tomy Corporation             | Nintendo GameCube | 2003 | Japan
|       | Zoids Vs. III                                              | Tomy Corporation             | Nintendo GameCube | 2004 | Japan
|       | Zoids: Full Metal Crash                                    | Tomy Corporation             | Nintendo GameCube | 2005 | Japan
|       | ZooCube                                                    | Acclaim Japan                | Nintendo GameCube | 2002 | Japan
