|       | Mega Man 3                                                  | Nintendo               | Nintendo Entertainment System | 1992 | Europe
|       | Mega Man 4                                                  | Nintendo               | Nintendo Entertainment System | 1993 | Europe
|       | Mega Man 5                                                  | Nintendo               | Nintendo Entertainment System | 1993 | Europe
|       | Metal Gear                                                  | Konami                 | Nintendo Entertainment System | 1988 | Europe
|       | Metroid                                                     | Nintendo               | Nintendo Entertainment System | 1988 | Europe
|       | Micro Machines                                              | Codemasters            | Nintendo Entertainment System | 1991 | Europe
|       | MiG 29: Soviet Fighter                                      | Codemasters            | Nintendo Entertainment System | 1993 | Europe
|       | Mighty Bomb Jack                                            | Tecmo                  | Nintendo Entertainment System | 1988 | Europe
|       | Mighty Final Fight                                          | Capcom                 | Nintendo Entertainment System | 1993 | Europe
|       | Mike Tyson's Punch-Out!!                                    | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Miracle Piano Teaching System, The                          | Mindscape              | Nintendo Entertainment System | 1990 | Europe
|       | Mission: Impossible                                         | Palcom                 | Nintendo Entertainment System | 1991 | Europe
|       | Monopoly                                                    | Arcadia Systems        | Nintendo Entertainment System | 1991 | Europe
|       | Monster in My Pocket                                        | Palcom                 | Nintendo Entertainment System | 1992 | Europe
|       | Mr. Gimmick                                                 | SunSoft                | Nintendo Entertainment System | 1993 | Europe
|       | NES Open Tournament Golf                                    | Nintendo               | Nintendo Entertainment System | 1992 | Europe
|       | New Ghostbusters II                                         | HAL Labs               | Nintendo Entertainment System | 1990 | Europe
|       | New Zealand Story                                           | Ocean                  | Nintendo Entertainment System | 1991 | Europe
|       | Nigel Mansell's World Championship                          | Gremlin Interactive    | Nintendo Entertainment System | 1993 | Europe
|       | Nintendo World Cup                                          | Nintendo               | Nintendo Entertainment System | 1991 | Europe
|       | Noah's Ark                                                  | Konami                 | Nintendo Entertainment System | 1992 | Europe
|       | North & South                                               | Imagineer              | Nintendo Entertainment System | 1992 | Europe
|       | Operation Wolf                                              | Taito Corporation      | Nintendo Entertainment System | 1989 | Europe
|       | Over Horizon                                                | Takara                 | Nintendo Entertainment System | 1991 | Europe
|       | P.O.W.: Prisoners of War                                    | SNK                    | Nintendo Entertainment System | 1989 | Europe
|       | Pac-Man                                                     | Namco                  | Nintendo Entertainment System | 1990 | Europe
|       | Panic Restaurant                                            | Taito Corporation      | Nintendo Entertainment System | 1994 | Europe
|       | Paperboy                                                    | Mindscape              | Nintendo Entertainment System | 1990 | Europe
