|       | Ice Age 2: The Meltdown                                                    | VU Games                   | Nintendo GameCube | 2006 | Europe
|       | Ikaruga                                                                    | Atari                      | Nintendo GameCube | 2003 | Europe
|       | Incredible Hulk: Ultimate Destruction, The                                 | VU Games                   | Nintendo GameCube | 2005 | Europe
|       | Incredibles, The                                                           | THQ                        | Nintendo GameCube | 2004 | Europe
|       | Incredibles: Rise of the Underminer, The                                   | THQ                        | Nintendo GameCube | 2005 | Europe
|       | International Superstar Soccer 2                                           | Konami                     | Nintendo GameCube | 2002 | Europe
|       | International Superstar Soccer 3                                           | Konami                     | Nintendo GameCube | 2003 | Europe
|       | Italian Job, The                                                           | Eidos Interactive          | Nintendo GameCube | 2003 | Europe
|       | James Bond 007: Agent Under Fire                                           | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | Jeremy McGrath Supercross World                                            | Acclaim                    | Nintendo GameCube | 2002 | Europe
|       | Jimmy Neutron Boy Genius                                                   | THQ                        | Nintendo GameCube | 2003 | Europe
|       | Jimmy Neutron: Jet Fusion                                                  | THQ                        | Nintendo GameCube | 2003 | Europe
|       | Judge Dredd: Dredd VS Death                                                | Sierra Entertainment       | Nintendo GameCube | 2003 | Europe
|       | Kao the Kangaroo Round 2                                                   | JoWooD Entertainment AG    | Nintendo GameCube | 2005 | Europe
|       | Kelly Slater's Pro Surfer                                                  | Activision                 | Nintendo GameCube | 2002 | Europe
|       | Killer7                                                                    | Capcom                     | Nintendo GameCube | 2005 | Europe
|       | King Arthur                                                                | Konami                     | Nintendo GameCube | 2005 | Europe
|       | Kirby: Air Ride                                                            | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Knights of the Temple: Infernal Crusade                                    | TDK Mediactive             | Nintendo GameCube | 2003 | Europe
|       | Knockout Kings 2003                                                        | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | Largo Winch: Empire Under Threat                                           | Ubisoft                    | Nintendo GameCube | 2001 | Europe
|       | Legend of Spyro: A New Beginning, The                                      | Sierra Entertainment       | Nintendo GameCube | 2006 | Europe
|       | Legend of Zelda Collector's Edition, The                                   | Nintendo                   | Nintendo GameCube | 2003 | Europe
|       | Legend of Zelda: Four Swords Adventures, The                               | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Legend of Zelda: Ocarina of Time, The                                      | Nintendo                   | Nintendo GameCube | 2003 | Europe
|       | Legend of Zelda: The Wind Waker, The                                       | Nintendo                   | Nintendo GameCube | 2003 | Europe
|       | Legend of Zelda: Twilight Princess, The                                    | Nintendo                   | Nintendo GameCube | 2006 | Europe
|       | Legends of Wrestling                                                       | Acclaim                    | Nintendo GameCube | 2002 | Europe
|       | Legends of Wrestling II                                                    | Acclaim                    | Nintendo GameCube | 2003 | Europe
|       | LEGO Star Wars II: The Original Trilogy                                    | LucasArts                  | Nintendo GameCube | 2006 | Europe
|       | LEGO Star Wars: The Video Game                                             | Eidos Interactive          | Nintendo GameCube | 2005 | Europe
|       | Lemony Snicket's A Series of Unfortunate Events                            | Activision                 | Nintendo GameCube | 2004 | Europe
|       | Looney Tunes: Back in Action                                               | Electronic Arts            | Nintendo GameCube | 2004 | Europe
|       | Lord of the Rings: The Return of the King, The                             | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Lord of the Rings: The Third Age, The                                      | EA Games                   | Nintendo GameCube | 2004 | Europe
|       | Lord of the Rings: The Two Towers, The                                     | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Lost Kingdoms                                                              | Activision                 | Nintendo GameCube | 2002 | Europe
|       | Lost Kingdoms II                                                           | Activision                 | Nintendo GameCube | 2003 | Europe
