|       | Code Geass: Hangyaku no Lelouch                                                                                                                     | Bandai Namco Games           | Nintendo DS | 2007 | Japan
|       | Code Geass: Hangyaku no Lelouch R2 - Banjou no Geass Gekijou                                                                                        | Bandai Namco Games           | Nintendo DS | 2008 | Japan
|       | Cokoro no Cokoron                                                                                                                                   | Bandai Namco Games           | Nintendo DS | 2011 | Japan
|       | Contact                                                                                                                                             | Marvelous Entertainment      | Nintendo DS | 2006 | Japan
|       | Contra: Dual Spirits                                                                                                                                | Konami                       | Nintendo DS | 2008 | Japan
|       | Conveni DS: Otona no Keiei Ryoku Training, The                                                                                                      | Nippon Ichi Software         | Nintendo DS | 2008 | Japan
|       | Cooking Idol I! My! Main! Game de Hirameki! Kirameki Cooking                                                                                        | Konami                       | Nintendo DS | 2010 | Japan
|       | Cooking Mama                                                                                                                                        | Taito Corporation            | Nintendo DS | 2006 | Japan
|       | Cooking Mama 2                                                                                                                                      | Taito Corporation            | Nintendo DS | 2007 | Japan
|       | Cooking Mama 3                                                                                                                                      | Taito Corporation            | Nintendo DS | 2009 | Japan
|       | Coropata                                                                                                                                            | LukPlus                      | Nintendo DS | 2009 | Japan
|       | Cosmetic * Paradise                                                                                                                                 | Global A                     | Nintendo DS | 2007 | Japan
|       | Cosmetic * Paradise: Princess Life                                                                                                                  | Global A                     | Nintendo DS | 2011 | Japan
|       | Cosmetic Paradise: Kirei no Mahou                                                                                                                   | Global A                     | Nintendo DS | 2010 | Japan
|       | Cosmetic Paradise: Make no Kiseki                                                                                                                   | Global A                     | Nintendo DS | 2008 | Japan
|       | Craft Mama                                                                                                                                          | Office Create                | Nintendo DS | 2010 | Japan
|       | Crash Bandicoot Festival                                                                                                                            | VU Games                     | Nintendo DS | 2006 | Japan
|       | Crayon Shin-Chan DS: Arashi o Yobu Nutte Crayoon Daisakusen!                                                                                        | Banpresto                    | Nintendo DS | 2007 | Japan
|       | Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!                                                                                     | Bandai Namco Games           | Nintendo DS | 2010 | Japan
|       | Crayon Shin-Chan: Arashi o Yobu - Nendororo~n Daihenshin                                                                                            | Bandai Namco Games           | Nintendo DS | 2009 | Japan
|       | Crayon Shin-Chan: Arashi o Yobu Cinema Land: Kachinko Gachinko Daikatsugeki!                                                                        | Banpresto                    | Nintendo DS | 2008 | Japan
|       | Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!                                                                                     | Bandai Namco Games           | Nintendo DS | 2010 | Japan
|       | Crimson Room                                                                                                                                        | Success                      | Nintendo DS | 2007 | Japan
