|       | Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!                                                        | Happinet                               | Nintendo 3DS | 2014 | Japan
|       | Donkey Kong Returns 3D                                                                                                       | Nintendo                               | Nintendo 3DS | 2013 | Japan
|       | Dora-Chie: Mini-Dora Ongakutai to 7-tsu no Chie                                                                              | Shogakukan                             | Nintendo 3DS | 2013 | Japan
|       | DoraEigo: Nobita to Yousei no Fushigi Collection                                                                             | Shogakukan                             | Nintendo 3DS | 2014 | Japan
|       | Doraemon the Movie: Nobita no Nankyoku Kachikochi Daibouken                                                                  | FuRyu                                  | Nintendo 3DS | 2017 | Japan
|       | Doraemon: Nobita no Himitsu Dougu Hakubutsukan                                                                               | FuRyu                                  | Nintendo 3DS | 2013 | Japan
|       | Doraemon: Nobita no Uchuu Eiyuuki                                                                                            | FuRyu                                  | Nintendo 3DS | 2015 | Japan
|       | Doraemon: Nobita to Kiseki no Shima                                                                                          | FuRyu                                  | Nintendo 3DS | 2012 | Japan
|       | Doraemon: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai                                                              | FuRyu                                  | Nintendo 3DS | 2014 | Japan
|       | Doraemon: Shin Nobita no Nihon Tanjou                                                                                        | FuRyu                                  | Nintendo 3DS | 2016 | Japan
|       | DoraKazu: Nobita no Suuji Daibouken                                                                                          | Shogakukan                             | Nintendo 3DS | 2012 | Japan
|       | DoraMoji: Nobita no Kanji Daisakusen                                                                                         | Shogakukan                             | Nintendo 3DS | 2015 | Japan
|       | Doubutsu no Mori: Happy Home Designer                                                                                        | Nintendo                               | Nintendo 3DS | 2015 | Japan
|       | Doukutsu Monogatari 3D                                                                                                       | Nippon Ichi Software                   | Nintendo 3DS | 2011 | Japan
|       | Downtown Nekketsu Jidaigeki                                                                                                  | Arc System Works                       | Nintendo 3DS | 2015 | Japan
|       | Downtown Nekketsu Monogatari SP                                                                                              | Arc System Works                       | Nintendo 3DS | 2016 | Japan
|       | Downtown Nekketsu Monogatari SP                                                                                              | Arc System Works                       | Nintendo 3DS | 2016 | Japan
|       | Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land                                  | Alchemist                              | Nintendo 3DS | 2015 | Japan
|       | Dragon Ball Heroes: Ultimate Mission                                                                                         | Bandai Namco Games                     | Nintendo 3DS | 2013 | Japan
|       | Dragon Ball Heroes: Ultimate Mission 2                                                                                       | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
|       | Dragon Ball Heroes: Ultimate Mission X                                                                                       | Bandai Namco Games                     | Nintendo 3DS | 2017 | Japan
|       | Dragon Ball Z: Extreme Butouden                                                                                              | Bandai Namco Games                     | Nintendo 3DS | 2015 | Japan
|       | Dragon Ball: Chou Kyuukyoku Heroes W-Pack                                                                                    | Bandai Namco Games                     | Nintendo 3DS | 2015 | Japan
|       | Dragon Ball: Fusions                                                                                                         | Bandai Namco Games                     | Nintendo 3DS | 2016 | Japan
|       | Dragon Quest Monsters 2: Iru to Ruka no Fushigi na Fushigi na Kagi                                                           | Square Enix                            | Nintendo 3DS | 2014 | Japan
|       | Dragon Quest Monsters: Joker 3                                                                                               | Square Enix                            | Nintendo 3DS | 2016 | Japan
|       | Dragon Quest Monsters: Joker 3 - Professional                                                                                | Square Enix                            | Nintendo 3DS | 2017 | Japan
|       | Dragon Quest Monsters: Terry no Wonderland 3D                                                                                | Square Enix                            | Nintendo 3DS | 2012 | Japan
|       | Dragon Quest VII: Eden no Senshitachi                                                                                        | Square Enix                            | Nintendo 3DS | 2016 | Japan
|       | Dragon Quest VIII: Sora to Umi to Daichi to Norowareshi Himegimi                                                             | Square Enix                            | Nintendo 3DS | 2017 | Japan
|       | Dragon Quest X: Mezameshi Itsutsu no Shuzoku Online                                                                          | Square Enix                            | Nintendo 3DS | 2014 | Japan
|       | Dragon Quest XI: Sugi Sarishi Toki o Motomete                                                                                | Square Enix                            | Nintendo 3DS | 2017 | Japan
|       | Dragon Quest XI: Sugi Sarishi Toki o Motomete                                                                                | Square Enix                            | Nintendo 3DS | 2017 | Japan
|       | Dream Girl Premier                                                                                                           | Alchemist                              | Nintendo 3DS | 2015 | Japan
|       | DreamWorks Madagascar 3: The Video Game                                                                                      | D3Publisher                            | Nintendo 3DS | 2012 | Japan
|       | Driver: Renegade 3D                                                                                                          | Ubisoft                                | Nintendo 3DS | 2011 | Japan
|       | E.X. Troopers                                                                                                                | Capcom                                 | Nintendo 3DS | 2012 | Japan
|       | Earthpedia                                                                                                                   | Gakken Kyouiku Shuppan                 | Nintendo 3DS | 2012 | Japan
|       | Elminage Gothic 3D Remix: Ulm Zakir to Yami no Gishiki                                                                       | Starfish SD                            | Nintendo 3DS | 2013 | Japan
|       | Elminage Ibun: Ame no Mihashira Kai                                                                                          | Starfish SD                            | Nintendo 3DS | 2014 | Japan
|       | Elminage III: Ankoku no Shito to Taiyou no Kyuuden                                                                           | Joyful Table                           | Nintendo 3DS | 2017 | Japan
|       | ESSE Rakuraku Kakeibo                                                                                                        | IE Institute                           | Nintendo 3DS | 2011 | Japan
|       | Ever Oasis                                                                                                                   | Nintendo                               | Nintendo 3DS | 2017 | Japan
|       | Exstetra                                                                                                                     | FuRyu                                  | Nintendo 3DS | 2013 | Japan
|       | F1 2011                                                                                                                      | Codemasters                            | Nintendo 3DS | 2011 | Japan
|       | FabStyle                                                                                                                     | Koei Tecmo Games                       | Nintendo 3DS | 2011 | Japan
|       | Famicom Remix Best Choice                                                                                                    | Nintendo                               | Nintendo 3DS | 2014 | Japan
|       | Fantasy Life                                                                                                                 | Level 5                                | Nintendo 3DS | 2014 | Japan
|       | Fantasy Life Link!                                                                                                           | Level 5                                | Nintendo 3DS | 2013 | Japan
|       | Farming Simulator 14: Pocket Nouen 2                                                                                         | Intergrow                              | Nintendo 3DS | 2014 | Japan
|       | Farming Simulator 18: Pocket Nouen 4                                                                                         | Intergrow                              | Nintendo 3DS | 2017 | Japan
|       | Farming Simulator 3D: Pocket Nouen                                                                                           | Intergrow                              | Nintendo 3DS | 2013 | Japan
|       | Fate/Kaleid Liner: Prisma * Illya                                                                                            | Kadokawa                               | Nintendo 3DS | 2014 | Japan
|       | Final Fantasy Explorers                                                                                                      | Square Enix                            | Nintendo 3DS | 2016 | Japan
|       | Fire Emblem Echoes: Mo Hitori no Eiyuu                                                                                       | Nintendo                               | Nintendo 3DS | 2017 | Japan
|       | Fire Emblem If: Anya Oukoku                                                                                                  | Nintendo                               | Nintendo 3DS | 2016 | Japan
|       | Fire Emblem If: Byakuya Oukoku                                                                                               | Nintendo                               | Nintendo 3DS | 2016 | Japan
|       | Fire Emblem If: Special Edition                                                                                              | Nintendo                               | Nintendo 3DS | 2016 | Japan
|       | Fire Emblem Musou                                                                                                            | Nintendo                               | Nintendo 3DS | 2017 | Japan
|       | Fire Emblem: Kakusei                                                                                                         | Nintendo                               | Nintendo 3DS | 2013 | Japan
|       | Fish Eyes 3D                                                                                                                 | Marvelous Entertainment                | Nintendo 3DS | 2011 | Japan
|       | Fish On                                                                                                                      | ASCII Media Works                      | Nintendo 3DS | 2011 | Japan
|       | Fishing 3D                                                                                                                   | D3Publisher                            | Nintendo 3DS | 2011 | Japan
|       | Frogger 3D                                                                                                                   | Konami                                 | Nintendo 3DS | 2011 | Japan
|       | Fujiko F. Fujio Characters Daishuugou! SF Dotabata Party!                                                                    | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
|       | Future Card Buddyfight Mezase! Buddy Champion!                                                                               | FuRyu                                  | Nintendo 3DS | 2017 | Japan
|       | G1 Grand Prix                                                                                                                | Genki                                  | Nintendo 3DS | 2012 | Japan
