|       | Jimmy White's Whirlwind Snooker                                                                   | Virgin Interactive      | Sega Genesis | 1994 | Europe
|       | Joe Montana Football                                                                              | Sega                    | Sega Genesis | 1991 | Europe
|       | Joe Montana II: Sports Talk Football                                                              | Sega                    | Sega Genesis | 1991 | Europe
|       | John Madden American Football                                                                     | Electronic Arts         | Sega Genesis | 1990 | Europe
|       | John Madden Football '92                                                                          | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | John Madden Football '93                                                                          | Electronic Arts         | Sega Genesis | 1992 | Europe
|       | Jordan vs Bird                                                                                    | Electronic Arts         | Sega Genesis | 1992 | Europe
|       | Judge Dredd                                                                                       | Acclaim                 | Sega Genesis | 1995 | Europe
|       | Jungle Strike                                                                                     | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Jurassic Park                                                                                     | Sega                    | Sega Genesis | 1993 | Europe
|       | Jurassic Park: Rampage Edition                                                                    | Sega                    | Sega Genesis | 1994 | Europe
|       | Justice League Task Force                                                                         | Acclaim                 | Sega Genesis | 1995 | Europe
|       | Kawasaki Superbikes                                                                               | Domark                  | Sega Genesis | 1995 | Europe
|       | Kick Off 3: European Challenge                                                                    | Vic Tokai               | Sega Genesis | 1994 | Europe
|       | Kid Chameleon                                                                                     | Sega                    | Sega Genesis | 1992 | Europe
|       | King of the Monsters                                                                              | Sega                    | Sega Genesis | 1993 | Europe
|       | King's Bounty: The Conqueror's Quest                                                              | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | Klax                                                                                              | Tengen                  | Sega Genesis | 1990 | Europe
|       | Krusty's Super Fun House                                                                          | Flying Edge             | Sega Genesis | 1992 | Europe
|       | Lakers versus Celtics and the NBA Playoffs                                                        | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | Landstalker: The Treasures of King Nole                                                           | Sega                    | Sega Genesis | 1993 | Europe
|       | Last Battle                                                                                       | Sega                    | Sega Genesis | 1990 | Europe
|       | Lawnmower Man, The                                                                                | Time Warner Interactive | Sega Genesis | 1994 | Europe
|       | Legend of Galahad, The                                                                            | Electronic Arts         | Sega Genesis | 1992 | Europe
|       | Lemmings                                                                                          | Sega                    | Sega Genesis | 1992 | Europe
|       | Lemmings 2: The Tribes                                                                            | Psygnosis               | Sega Genesis | 1994 | Europe
|       | Lethal Enforcers                                                                                  | Konami                  | Sega Genesis | 1993 | Europe
|       | Lethal Enforcers II: Gun Fighters                                                                 | Konami                  | Sega Genesis | 1994 | Europe
|       | LHX Attack Chopper                                                                                | Electronic Arts         | Sega Genesis | 1992 | Europe
|       | Light Crusader                                                                                    | Sega                    | Sega Genesis | 1995 | Europe
|       | Lost Vikings, The                                                                                 | Interplay               | Sega Genesis | 1992 | Europe
|       | Lost World: Jurassic Park, The                                                                    | Sega                    | Sega Genesis | 1997 | Europe
|       | Lotus II: R.E.C.S                                                                                 | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Lotus Turbo Challenge                                                                             | Electronic Arts         | Sega Genesis | 1992 | Europe
|       | M-1 Abrams Battle Tank                                                                            | Sega                    | Sega Genesis | 1991 | Europe
|       | Madden NFL '94                                                                                    | Electronic Arts         | Sega Genesis | 1994 | Europe
|       | Madden NFL '96                                                                                    | Electronic Arts         | Sega Genesis | 1995 | Europe
|       | Madden NFL 95                                                                                     | Electronic Arts         | Sega Genesis | 1994 | Europe
|       | Madden NFL 97                                                                                     | EA Sports               | Sega Genesis | 1997 | Europe
|       | Man Overboard!                                                                                    | Codemasters             | Sega Genesis | 1994 | Europe
|       | Marble Madness                                                                                    | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Mario Andretti Racing                                                                             | Electronic Arts         | Sega Genesis | 1994 | Europe
|       | Mario Lemieux Hockey                                                                              | Sega                    | Sega Genesis | 1991 | Europe
|       | Marko's Magic Football                                                                            | Domark                  | Sega Genesis | 1994 | Europe
|       | Marsupilami                                                                                       | Sega                    | Sega Genesis | 1995 | Europe
|       | Mazin Wars                                                                                        | Sega                    | Sega Genesis | 1993 | Europe
|       | McDonald's Treasure Land Adventure                                                                | Sega                    | Sega Genesis | 1993 | Europe
|       | Mega 6 Vol. 3                                                                                     | Sega                    | Sega Genesis | 1995 | Europe
|       | Mega Bomberman                                                                                    | Sega                    | Sega Genesis | 1994 | Europe
|       | Mega Games 2                                                                                      | Sega                    | Sega Genesis | 1993 | Europe
|       | Mega Games 3                                                                                      | Sega                    | Sega Genesis | 1993 | Europe
|       | Mega Games 6                                                                                      | Sega                    | Sega Genesis | 1995 | Europe
|       | Mega Games 6 Vol. 2                                                                               | Sega                    | Sega Genesis | 1995 | Europe
|       | Mega Games I                                                                                      | Sega                    | Sega Genesis | 1992 | Europe
|       | Mega Lo Mania                                                                                     | Virgin Games            | Sega Genesis | 1992 | Europe
|       | Mega Lo Mania                                                                                     | Virgin Games            | Sega Genesis | 1992 | Europe
|       | Mega Man: The Wily Wars                                                                           | Capcom                  | Sega Genesis | 1995 | Europe
|       | Mega SWIV                                                                                         | Time Warner Interactive | Sega Genesis | 1994 | Europe
|       | Mega Turrican                                                                                     | Sony Imagesoft          | Sega Genesis | 1994 | Europe
|       | Menacer 6-Game Cartridge                                                                          | Sega                    | Sega Genesis | 1992 | Europe
|       | Mercs                                                                                             | Sega                    | Sega Genesis | 1991 | Europe
|       | Michael Jackson's Moonwalker                                                                      | Sega                    | Sega Genesis | 1990 | Europe
|       | Mickey Mania                                                                                      | Sony Imagesoft          | Sega Genesis | 1994 | Europe
|       | Micro Machines                                                                                    | Codemasters             | Sega Genesis | 1993 | Europe
|       | Micro Machines 2: Turbo Tournament                                                                | Codemasters             | Sega Genesis | 1994 | Europe
|       | Micro Machines Military                                                                           | Codemasters             | Sega Genesis | 1996 | Europe
|       | Micro Machines: Turbo Tournament 96                                                               | Codemasters             | Sega Genesis | 1995 | Europe
|       | Midway Presents Arcade's Greatest Hits                                                            | Midway                  | Sega Genesis | 1996 | Europe
|       | MIG-29 Fighter Pilot                                                                              | Domark                  | Sega Genesis | 1993 | Europe
|       | Might and Magic: Gates to Another World                                                           | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | Mighty Morphin Power Rangers                                                                      | Sega                    | Sega Genesis | 1994 | Europe
|       | Mighty Morphin Power Rangers: The Movie                                                           | Sega                    | Sega Genesis | 1995 | Europe
|       | Mike Ditka Power Football                                                                         | Ballistic               | Sega Genesis | 1991 | Europe
|       | Mortal Kombat                                                                                     | Arena                   | Sega Genesis | 1993 | Europe
|       | Mortal Kombat 3                                                                                   | Acclaim                 | Sega Genesis | 1995 | Europe
|       | Mortal Kombat II                                                                                  | Acclaim                 | Sega Genesis | 1994 | Europe
|       | Mr. Nutz                                                                                          | Ocean                   | Sega Genesis | 1994 | Europe
|       | Ms. Pac-Man                                                                                       | Time Warner Interactive | Sega Genesis | 1992 | Europe
|       | MTV's Beavis and Butt-head                                                                        | Viacom New Media        | Sega Genesis | 1994 | Europe
|       | Muhammad Ali Heavyweight Boxing                                                                   | Virgin Interactive      | Sega Genesis | 1992 | Europe
|       | Mutant League Football                                                                            | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Mutant League Hockey                                                                              | Electronic Arts         | Sega Genesis | 1994 | Europe
|       | Mystic Defender                                                                                   | Sega                    | Sega Genesis | 1990 | Europe
|       | NBA Action '95 starring David Robinson                                                            | Sega                    | Sega Genesis | 1995 | Europe
|       | NBA All-Star Challenge                                                                            | Flying Edge             | Sega Genesis | 1993 | Europe
|       | NBA Hang Time                                                                                     | Midway                  | Sega Genesis | 1996 | Europe
|       | NBA Jam                                                                                           | Arena                   | Sega Genesis | 1994 | Europe
|       | NBA Jam Tournament Edition                                                                        | Acclaim                 | Sega Genesis | 1995 | Europe
|       | NBA Live '96                                                                                      | Electronic Arts         | Sega Genesis | 1995 | Europe
|       | NBA Live 95                                                                                       | EA Sports               | Sega Genesis | 1994 | Europe
|       | NBA Live 97                                                                                       | EA Sports               | Sega Genesis | 1996 | Europe
|       | NBA Showdown                                                                                      | Electronic Arts         | Sega Genesis | 1994 | Europe
|       | Newman Haas IndyCar Featuring Nigel Mansell                                                       | Acclaim                 | Sega Genesis | 1994 | Europe
|       | NFL Quarterback Club                                                                              | Acclaim                 | Sega Genesis | 1994 | Europe
|       | NFL Quarterback Club 96                                                                           | Acclaim                 | Sega Genesis | 1996 | Europe
|       | NFL Sports Talk Football '93 Starring Joe Montana                                                 | Sega                    | Sega Genesis | 1992 | Europe
|       | NHL 97                                                                                            | Electronic Arts         | Sega Genesis | 1996 | Europe
|       | NHL Hockey '94                                                                                    | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | NHLPA Hockey 93                                                                                   | Electronic Arts         | Sega Genesis | 1992 | Europe
|       | Nigel Mansell's World Championship Racing                                                         | Konami                  | Sega Genesis | 1993 | Europe
