|       | NFL Blitz 2001                                   | Midway                  | Nintendo 64 | 2000 | North America
|       | NFL Blitz Special Edition                        | Midway                  | Nintendo 64 | 2001 | North America
|       | NFL QB Club 2001                                 | Acclaim                 | Nintendo 64 | 2000 | North America
|       | NFL Quarterback Club 2000                        | Acclaim                 | Nintendo 64 | 1999 | North America
|       | NFL Quarterback Club 98                          | Acclaim                 | Nintendo 64 | 1997 | North America
|       | NFL Quarterback Club 99                          | Acclaim                 | Nintendo 64 | 1998 | North America
|       | NHL 99                                           | EA Sports               | Nintendo 64 | 1998 | North America
|       | NHL Blades of Steel '99                          | Konami                  | Nintendo 64 | 1999 | North America
|       | NHL Breakaway 98                                 | Acclaim                 | Nintendo 64 | 1998 | North America
|       | NHL Breakaway 99                                 | Acclaim                 | Nintendo 64 | 1998 | North America
|       | Nightmare Creatures                              | Activision              | Nintendo 64 | 1998 | North America
|       | Nintendo 64 Test Cartridge                       | Nintendo                | Nintendo 64 | 1997 | North America
|       | Nuclear Strike 64                                | THQ                     | Nintendo 64 | 1999 | North America
|       | Off Road Challenge                               | Midway                  | Nintendo 64 | 1998 | North America
|       | Ogre Battle 64: Person of Lordly Caliber         | ATLUS                   | Nintendo 64 | 2000 | North America
|       | Olympic Hockey Nagano 98                         | Midway                  | Nintendo 64 | 1998 | North America
|       | Paper Mario                                      | Nintendo                | Nintendo 64 | 2001 | North America
|       | Paperboy                                         | Midway                  | Nintendo 64 | 1999 | North America
|       | Penny Racers                                     | THQ                     | Nintendo 64 | 1999 | North America
|       | Perfect Dark                                     | Nintendo                | Nintendo 64 | 2000 | North America
|       | PGA European Tour                                | Infogrames              | Nintendo 64 | 2000 | North America
|       | Pilotwings 64                                    | Nintendo                | Nintendo 64 | 1996 | North America
|       | Pokemon Puzzle League                            | Nintendo                | Nintendo 64 | 2000 | North America
|       | Pokemon Snap                                     | Nintendo                | Nintendo 64 | 1999 | North America
|       | Pokemon Stadium                                  | Nintendo                | Nintendo 64 | 2000 | North America
|       | Pokemon Stadium 2                                | Nintendo                | Nintendo 64 | 2001 | North America
|       | Polaris SnoCross                                 | Vatical Entertainment   | Nintendo 64 | 2000 | North America
|       | Power Rangers: Lightspeed Rescue                 | THQ                     | Nintendo 64 | 2000 | North America
|       | Powerpuff Girls: Chemical X-Traction, The        | Bam Entertainment       | Nintendo 64 | 2001 | North America
|       | Quake                                            | Midway                  | Nintendo 64 | 1998 | North America
|       | Quake II                                         | Activision              | Nintendo 64 | 1999 | North America
|       | Quest 64                                         | THQ                     | Nintendo 64 | 1998 | North America
|       | Rally Challenge 2000                             | SouthPeak Games         | Nintendo 64 | 2000 | North America
|       | Rampage 2: Universal Tour                        | Midway                  | Nintendo 64 | 1999 | North America
|       | Rampage World Tour                               | Midway                  | Nintendo 64 | 1998 | North America
|       | Rat Attack!                                      | Mindscape Inc.          | Nintendo 64 | 2000 | North America
|       | Rayman 2: The Great Escape                       | Ubisoft                 | Nintendo 64 | 1999 | North America
