|       | Replicart                                                     | Taito Corporation     | Famicom Disk System | 1988 | Japan
|       | Risa no Yousei Densetsu                                       | Konami                | Famicom Disk System | 1988 | Japan
|       | Roger Rabbit                                                  | Kemco                 | Famicom Disk System | 1989 | Japan
|       | Samurai Sword                                                 | Capcom                | Famicom Disk System | 1988 | Japan
|       | Santa Claus no Takarabako                                     | Data East             | Famicom Disk System | 1987 | Japan
|       | SD Gundam World Map Collection                                | Bandai                | Famicom Disk System | 1989 | Japan
|       | SD Gundam World: Gachapon Senshi - Scramble Wars              | Bandai                | Famicom Disk System | 1987 | Japan
|       | Section-Z                                                     | Capcom                | Famicom Disk System | 1987 | Japan
|       | Seiken Psycho Caliber: Maju no Mori Densetsu                  | Imagineer             | Famicom Disk System | 1987 | Japan
|       | Sexy Invaders                                                 | Super Pig             | Famicom Disk System | 1990 | Japan
|       | Smash Ping Pong                                               | Nintendo              | Famicom Disk System | 1987 | Japan
|       | Soccer                                                        | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Solomon no Kagi                                               | Tecmo                 | Famicom Disk System | 1991 | Japan
|       | Suishou no Dragon                                             | SquareSoft            | Famicom Disk System | 1986 | Japan
|       | Super Boy Allan                                               | SunSoft               | Famicom Disk System | 1987 | Japan
|       | Super Lode Runner                                             | Irem                  | Famicom Disk System | 1987 | Japan
|       | Super Lode Runner II                                          | Irem                  | Famicom Disk System | 1987 | Japan
|       | Super Mario Bros. 2                                           | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Super Mario Brothers                                          | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Sylviana: Ai Ippai no Boukensha                               | Pack-In-Video         | Famicom Disk System | 1988 | Japan
|       | Tama and Friends: 3 Choume Daibouken                          | Bandai                | Famicom Disk System | 1989 | Japan
|       | Tanigawa Kouji no Shogi Shinan II: Meijin e no Michi          | Pony Canyon           | Famicom Disk System | 1987 | Japan
|       | Tanigawa Kouji no Shogi Shinan II: Tsume no Shogi             | Pony Canyon           | Famicom Disk System | 1988 | Japan
|       | Tantei Jinguuji Saburou: Kiken na Futari                      | Data East             | Famicom Disk System | 1988 | Japan
|       | Tantei Jinguuji Saburou: Kiken na Futari                      | Data East             | Famicom Disk System | 1989 | Japan
|       | Tantei Jinguuji Saburou: Shinjuku Chuuou Kouen Satsujin Jiken | Data East             | Famicom Disk System | 1987 | Japan
|       | Tarot Uranai                                                  | Scorpion Soft         | Famicom Disk System | 1988 | Japan
|       | Tennis                                                        | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Time Twist: Rekishi no Katasumi de... - Kouhen                | Nintendo              | Famicom Disk System | 1991 | Japan
|       | Time Twist: Rekishi no Katasumi de... - Zenpen                | Nintendo              | Famicom Disk System | 1991 | Japan
|       | Titanic Mystery: Ao no Senritsu                               | Gakken                | Famicom Disk System | 1987 | Japan
|       | Tobidase Daisakusen                                           | SquareSoft            | Famicom Disk System | 1987 | Japan
|       | Topple Zip                                                    | Bothtec               | Famicom Disk System | 1987 | Japan
|       | Transformers: The Headmasters                                 | Takara                | Famicom Disk System | 1987 | Japan
|       | TwinBee                                                       | Konami                | Famicom Disk System | 1988 | Japan
|       | Ultraman 2: Shutsugeki Katoku Tai!!                           | Bandai                | Famicom Disk System | 1987 | Japan
|       | Ultraman Club: Chikyuu Dakkan Sakusen                         | Bandai                | Famicom Disk System | 1988 | Japan
|       | Ultraman: Kaijuu Teikoku no Gyakushuu                         | Bandai                | Famicom Disk System | 1987 | Japan
|       | Volleyball                                                    | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Vs. Excitebike                                                | Nintendo              | Famicom Disk System | 1988 | Japan
|       | Wakusei Aton Gaiden                                           | Kokuzeichou           | Famicom Disk System | 1990 | Japan
|       | Wardner no Mori                                               | Taito Corporation     | Famicom Disk System | 1988 | Japan
|       | Winter Games                                                  | Pony Canyon           | Famicom Disk System | 1987 | Japan
|       | Wrecking Crew                                                 | Nintendo              | Famicom Disk System | 1989 | Japan
|       | Xevious                                                       | Namco                 | Famicom Disk System | 1990 | Japan
|       | Youkai Yashiki                                                | Irem                  | Famicom Disk System | 1987 | Japan
|       | Yume Koujou: Doki Doki Panic                                  | Fuji Television       | Famicom Disk System | 1987 | Japan
|       | Yuu Maze                                                      | Taito Corporation     | Famicom Disk System | 1988 | Japan
|       | Zanac AI                                                      | Pony Canyon           | Famicom Disk System | 1986 | Japan
|       | Zelda no Densetsu: The Hyrule Fantasy                         | Nintendo              | Famicom Disk System | 1986 | Japan
