|       | Drakkhen                                                                                | Seika Corp.                  | Super Nintendo | 1991 | North America
|       | Dream T.V.                                                                              | Triffix                      | Super Nintendo | 1994 | North America
|       | Dungeon Master                                                                          | JVC Digital Studios          | Super Nintendo | 1993 | North America
|       | E.V.O.: Search for Eden                                                                 | Enix America, Inc.           | Super Nintendo | 1993 | North America
|       | Earth Defense Force                                                                     | Jaleco Entertainment         | Super Nintendo | 1992 | North America
|       | EarthBound                                                                              | Nintendo                     | Super Nintendo | 1995 | North America
|       | Earthworm Jim                                                                           | Playmates                    | Super Nintendo | 1994 | North America
|       | Earthworm Jim 2                                                                         | Playmates                    | Super Nintendo | 1995 | North America
|       | Eek! The Cat                                                                            | Ocean                        | Super Nintendo | 1994 | North America
|       | Elite Soccer                                                                            | GameTek                      | Super Nintendo | 1994 | North America
|       | Emmitt Smith Football                                                                   | JVC Digital Studios          | Super Nintendo | 1995 | North America
|       | Equinox                                                                                 | Sony Imagesoft               | Super Nintendo | 1994 | North America
|       | ESPN Baseball Tonight                                                                   | Sony Imagesoft               | Super Nintendo | 1994 | North America
|       | ESPN National Hockey Night                                                              | Sony Imagesoft               | Super Nintendo | 1994 | North America
|       | ESPN Speedworld                                                                         | Sony Imagesoft               | Super Nintendo | 1994 | North America
|       | ESPN Sunday Night NFL                                                                   | Sony Imagesoft               | Super Nintendo | 1994 | North America
|       | Extra Innings                                                                           | Sony Imagesoft               | Super Nintendo | 1992 | North America
|       | F-Zero                                                                                  | Nintendo                     | Super Nintendo | 1991 | North America
|       | F1 Pole Position                                                                        | Ubisoft                      | Super Nintendo | 1993 | North America
|       | F1 ROC II: Race of Champions                                                            | Seta Corporation             | Super Nintendo | 1994 | North America
|       | F1 ROC: Race of Champions                                                               | Seta Corporation             | Super Nintendo | 1992 | North America
|       | Faceball 2000                                                                           | Bullet Proof Software        | Super Nintendo | 1992 | North America
|       | Family Dog                                                                              | Malibu                       | Super Nintendo | 1993 | North America
|       | Family Feud                                                                             | GameTek                      | Super Nintendo | 1993 | North America
|       | Fatal Fury                                                                              | Takara                       | Super Nintendo | 1993 | North America
|       | Fatal Fury 2                                                                            | Takara                       | Super Nintendo | 1994 | North America
|       | Fatal Fury Special                                                                      | Takara                       | Super Nintendo | 1995 | North America
|       | FIFA International Soccer                                                               | Victor Interactive Software  | Super Nintendo | 1994 | North America
|       | FIFA Soccer 96                                                                          | EA Sports                    | Super Nintendo | 1995 | North America
|       | FIFA Soccer 97                                                                          | EA Sports                    | Super Nintendo | 1996 | North America
|       | Fighter's History                                                                       | Data East                    | Super Nintendo | 1994 | North America
|       | Final Fantasy II                                                                        | SquareSoft                   | Super Nintendo | 1991 | North America
|       | Final Fantasy III                                                                       | SquareSoft                   | Super Nintendo | 1994 | North America
|       | Final Fantasy: Mystic Quest                                                             | SquareSoft                   | Super Nintendo | 1992 | North America
|       | Final Fight                                                                             | Capcom                       | Super Nintendo | 1991 | North America
|       | Final Fight 2                                                                           | Capcom                       | Super Nintendo | 1993 | North America
|       | Final Fight 3                                                                           | Capcom                       | Super Nintendo | 1996 | North America
