|       | Nickelodeon Nicktoons MLB 3D                                              | 2K Games                               | Nintendo 3DS | 2012 | North America
|       | Nickelodeon Teenage Mutant Ninja Turtles                                  | Activision                             | Nintendo 3DS | 2013 | North America
|       | Nickelodeon Teenage Mutant Ninja Turtles                                  | Activision                             | Nintendo 3DS | 2013 | North America
|       | Nickleodeon Teenage Mutant Ninja Turtles: Master Splinter's Training Pack | Activision                             | Nintendo 3DS | 2015 | North America
|       | Nicktoons MLB 3D                                                          | 2K Games                               | Nintendo 3DS | 2012 | North America
|       | Nikoli's Pencil Puzzle                                                    | Konami                                 | Nintendo 3DS | 2011 | North America
|       | Nintendogs + Cats                                                         | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Nintendogs + Cats: French Bulldog & New Friends                           | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Nintendogs + Cats: Golden Retriever & New Friends                         | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Nintendogs + Cats: Toy Poodle & New Friends                               | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | One Piece: Romance Dawn                                                   | Namco Bandai Games America             | Nintendo 3DS | 2013 | North America
|       | One Piece: Unlimited World Red                                            | Bandai Namco Games                     | Nintendo 3DS | 2014 | North America
|       | Order Up!!                                                                | Ignition Entertainment                 | Nintendo 3DS | 2012 | North America
|       | Oregon Trail, The                                                         | Crave                                  | Nintendo 3DS | 2011 | North America
|       | Outdoors Unleashed: Africa 3D                                             | Mastiff                                | Nintendo 3DS | 2011 | North America
|       | Outdoors Unleashed: Alaska 3D                                             | Mastiff                                | Nintendo 3DS | 2011 | North America
|       | Pac-Man & Galaga Dimensions                                               | Namco Bandai Games                     | Nintendo 3DS | 2011 | North America
|       | Pac-Man and the Ghostly Adventures                                        | Namco Bandai Games America             | Nintendo 3DS | 2013 | North America
|       | Pac-Man and the Ghostly Adventures 2                                      | Bandai Namco Games                     | Nintendo 3DS | 2014 | North America
|       | Pac-Man Party 3D                                                          | Namco Bandai Games America             | Nintendo 3DS | 2011 | North America
|       | Paddington: Adventures in London                                          | Kids' Mania                            | Nintendo 3DS | 2015 | North America
|       | Paper Mario: Sticker Star                                                 | Nintendo                               | Nintendo 3DS | 2012 | North America
|       | Paws & Claws: Pampered Pets Resort 3D                                     | THQ                                    | Nintendo 3DS | 2012 | North America
|       | Penguins of Madagascar                                                    | Little Orbit                           | Nintendo 3DS | 2014 | North America
|       | Persona Q: Shadow of the Labyrinth                                        | ATLUS                                  | Nintendo 3DS | 2014 | North America
|       | Pet Zombies                                                               | Majesco Games                          | Nintendo 3DS | 2011 | North America
|       | Petz Beach                                                                | Ubisoft                                | Nintendo 3DS | 2014 | North America
|       | Petz Countryside                                                          | Ubisoft                                | Nintendo 3DS | 2014 | North America
|       | Petz Fantasy 3D                                                           | Ubisoft                                | Nintendo 3DS | 2011 | North America
|       | Phineas and Ferb: Quest for Cool Stuff                                    | Majesco Games                          | Nintendo 3DS | 2013 | North America
|       | Pilotwings Resort                                                         | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Pinball Hall of Fame: The Williams Collection                             | Crave                                  | Nintendo 3DS | 2011 | North America
|       | Pokemon Alpha Sapphire                                                    | Nintendo                               | Nintendo 3DS | 2014 | North America
|       | Pokemon Art Academy                                                       | Nintendo                               | Nintendo 3DS | 2014 | North America
