|       | Strider Returns: Journey From Darkness                     | U.S. Gold                   | Game Gear | 1994 | North America
|       | Super Battletank                                           | Majesco Games               | Game Gear | 1994 | North America
|       | Super Columns                                              | Sega                        | Game Gear | 1995 | North America
|       | Super Golf                                                 | Sage's Creation             | Game Gear | 1991 | North America
|       | Super Monaco GP                                            | Sega                        | Game Gear | 1991 | North America
|       | Super Off Road                                             | Virgin Games                | Game Gear | 1992 | North America
|       | Super Smash T.V.                                           | Flying Edge                 | Game Gear | 1994 | North America
|       | Super Space Invaders                                       | Domark                      | Game Gear | 1993 | North America
|       | Super Star Wars: Return of the Jedi                        | Black Pearl                 | Game Gear | 1994 | North America
|       | Surf Ninjas                                                | Sega                        | Game Gear | 1993 | North America
|       | T2: The Arcade Game                                        | Arena                       | Game Gear | 1993 | North America
|       | Tails Adventure                                            | Sega                        | Game Gear | 1995 | North America
|       | Taz in Escape from Mars                                    | Sega                        | Game Gear | 1994 | North America
|       | Taz-mania                                                  | Sega                        | Game Gear | 1994 | North America
|       | Tempo Jr.                                                  | Sega                        | Game Gear | 1995 | North America
|       | Tengen World Cup Soccer                                    | Tengen                      | Game Gear | 1993 | North America
|       | Terminator 2: Judgment Day                                 | Flying Edge                 | Game Gear | 1993 | North America
|       | Terminator, The                                            | Virgin Interactive          | Game Gear | 1992 | North America
|       | Tesserae                                                   | GameTek                     | Game Gear | 1993 | North America
|       | Tom and Jerry: The Movie                                   | Sega                        | Game Gear | 1993 | North America
|       | True Lies                                                  | Acclaim                     | Game Gear | 1995 | North America
|       | Urban Strike                                               | Electronic Arts             | Game Gear | 1995 | North America
|       | Vampire: Master of Darkness                                | Sega                        | Game Gear | 1993 | North America
|       | Virtua Fighter Animation                                   | Sega                        | Game Gear | 1996 | North America
|       | VR Troopers                                                | Sega                        | Game Gear | 1995 | North America
|       | Wheel of Fortune                                           | GameTek                     | Game Gear | 1992 | North America
|       | Wimbledon Tennis                                           | Sega                        | Game Gear | 1993 | North America
|       | Winter Olympic Games: Lillehammer '94                      | Sega                        | Game Gear | 1994 | North America
|       | Woody Pop                                                  | Sega                        | Game Gear | 1991 | North America
|       | World Class Leaderboard Golf                               | Sega                        | Game Gear | 1991 | North America
|       | World Cup USA 94                                           | U.S. Gold                   | Game Gear | 1994 | North America
|       | World Series Baseball                                      | Sega                        | Game Gear | 1993 | North America
|       | World Series Baseball '95                                  | Sega                        | Game Gear | 1994 | North America
|       | WWF Raw                                                    | Acclaim                     | Game Gear | 1994 | North America
|       | WWF Wrestlemania: Steel Cage Challenge                     | Flying Edge                 | Game Gear | 1993 | North America
|       | X-Men                                                      | Sega                        | Game Gear | 1994 | North America
