|       | Disney's DuckTales 2                                                     | Capcom                       | Nintendo Entertainment System | 1993 | Japan
|       | Doki! Doki! Yuuenchi: Crazy Land Daisakusen                              | Vap                          | Nintendo Entertainment System | 1991 | Japan
|       | Dokuganryu Masamune                                                      | Namco                        | Nintendo Entertainment System | 1988 | Japan
|       | Don Doko Don                                                             | Taito Corporation            | Nintendo Entertainment System | 1990 | Japan
|       | Don Doko Don 2                                                           | Taito Corporation            | Nintendo Entertainment System | 1992 | Japan
|       | Donald Duck                                                              | Kemco                        | Nintendo Entertainment System | 1988 | Japan
|       | Donald Land                                                              | Data East                    | Nintendo Entertainment System | 1988 | Japan
|       | Donkey Kong                                                              | Nintendo                     | Nintendo Entertainment System | 1983 | Japan
|       | Donkey Kong 3                                                            | Nintendo                     | Nintendo Entertainment System | 1984 | Japan
|       | Donkey Kong Jr.                                                          | Nintendo                     | Nintendo Entertainment System | 1983 | Japan
|       | Donkey Kong Jr. no Sansuu Asobi                                          | Nintendo                     | Nintendo Entertainment System | 1983 | Japan
|       | Door Door                                                                | Enix Corporation             | Nintendo Entertainment System | 1985 | Japan
|       | Doraemon                                                                 | Hudson                       | Nintendo Entertainment System | 1986 | Japan
|       | Doraemon: Giga Zombie no Gyakushuu                                       | Epoch                        | Nintendo Entertainment System | 1990 | Japan
|       | Double Dragon                                                            | Technos                      | Nintendo Entertainment System | 1988 | Japan
|       | Double Dragon II: The Revenge                                            | Technos                      | Nintendo Entertainment System | 1989 | Japan
|       | Double Dragon III: The Rosetta Stone                                     | Technos                      | Nintendo Entertainment System | 1991 | Japan
|       | Double Moon Densetsu                                                     | NCS                          | Nintendo Entertainment System | 1992 | Japan
|       | Dough Boy                                                                | Kemco                        | Nintendo Entertainment System | 1985 | Japan
|       | Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai                     | Technos                      | Nintendo Entertainment System | 1990 | Japan
|       | Downtown Nekketsu Monogatari                                             | Technos                      | Nintendo Entertainment System | 1989 | Japan
|       | Downtown Special: Kunio-kun no Jidaigeki Dayo Zenin Shuugou!             | Technos                      | Nintendo Entertainment System | 1991 | Japan
|       | Dr. Mario                                                                | Nintendo                     | Nintendo Entertainment System | 1990 | Japan
|       | Dragon Ball 3: Gokuuden                                                  | Bandai                       | Nintendo Entertainment System | 1989 | Japan
|       | Dragon Ball Z Gaiden: Saiya-jin Zetsumetsu Keikaku                       | Bandai                       | Nintendo Entertainment System | 1993 | Japan
|       | Dragon Ball Z II: Gekigami Freeza!!                                      | Bandai                       | Nintendo Entertainment System | 1991 | Japan
|       | Dragon Ball Z III: Ressen Jinzou Ningen                                  | Bandai                       | Nintendo Entertainment System | 1992 | Japan
|       | Dragon Ball Z: Gekitou Tenkaichi Budokai                                 | Bandai                       | Nintendo Entertainment System | 1992 | Japan
|       | Dragon Ball Z: Kyoushuu! Saiyajin                                        | Bandai                       | Nintendo Entertainment System | 1990 | Japan
|       | Dragon Ball: Daimaou Fukkatsu                                            | Bandai                       | Nintendo Entertainment System | 1988 | Japan
|       | Dragon Ball: Shenron no Nazo                                             | Bandai                       | Nintendo Entertainment System | 1986 | Japan
|       | Dragon Buster                                                            | Namco                        | Nintendo Entertainment System | 1987 | Japan
|       | Dragon Buster II: Yami no Fuuin                                          | Namco                        | Nintendo Entertainment System | 1989 | Japan
|       | Dragon Fighter                                                           | Towa Chiki                   | Nintendo Entertainment System | 1990 | Japan
|       | Dragon Ninja                                                             | Namco                        | Nintendo Entertainment System | 1989 | Japan
|       | Dragon Quest                                                             | Enix Corporation             | Nintendo Entertainment System | 1986 | Japan
|       | Dragon Quest II: Akuryou no Kamigami                                     | Enix Corporation             | Nintendo Entertainment System | 1987 | Japan
|       | Dragon Quest III: Soshite Densetsu e...                                  | Enix Corporation             | Nintendo Entertainment System | 1988 | Japan
|       | Dragon Quest IV: Michibikareshi Monotachi                                | Enix Corporation             | Nintendo Entertainment System | 1990 | Japan
|       | Dragon Scroll: Yomigaerishi Maryuu                                       | Konami                       | Nintendo Entertainment System | 1987 | Japan
|       | Dragon Slayer IV: Drasle Family                                          | Namco                        | Nintendo Entertainment System | 1987 | Japan
|       | Dragon Spirit: Aratanaru Densetsu                                        | Namco                        | Nintendo Entertainment System | 1989 | Japan
|       | Dragon Unit                                                              | Athena                       | Nintendo Entertainment System | 1990 | Japan
|       | Dragon Wars                                                              | Kemco                        | Nintendo Entertainment System | 1991 | Japan
|       | Dream Master                                                             | Namco                        | Nintendo Entertainment System | 1992 | Japan
