|       | Lara Croft - Tomb Raider: Curse of the Sword                             | Activision                          | Game Boy Color | 2001 | Europe
|       | Le Mans 24 Hours                                                         | Infogrames                          | Game Boy Color | 2000 | Europe
|       | Legend of the River King 2                                               | Ubisoft                             | Game Boy Color | 2001 | Europe
|       | Legend of the River King GB                                              | Victor Interactive Software         | Game Boy Color | 2000 | Europe
|       | Legend of Zelda: Link's Awakening DX, The                                | Nintendo                            | Game Boy Color | 1999 | Europe
|       | Legend of Zelda: Oracle of Ages / Oracle of Seasons Limited Edition, The | Nintendo                            | Game Boy Color | 2001 | Europe
|       | Legend of Zelda: Oracle of Ages, The                                     | Nintendo                            | Game Boy Color | 2001 | Europe
|       | Legend of Zelda: Oracle of Seasons, The                                  | Nintendo                            | Game Boy Color | 2001 | Europe
|       | LEGO Action Team                                                         | Lego Media                          | Game Boy Color | 2000 | Europe
|       | LEGO Island 2: The Brickster's Revenge                                   | Lego Media                          | Game Boy Color | 2001 | Europe
|       | LEGO Racers                                                              | Lego Media                          | Game Boy Color | 2000 | Europe
|       | LEGO Stunt Rally                                                         | Lego Media                          | Game Boy Color | 2000 | Europe
|       | Les Visiteurs                                                            | Ubisoft                             | Game Boy Color | 1999 | Europe
|       | Logical                                                                  | THQ                                 | Game Boy Color | 1999 | Europe
|       | Looney Tunes                                                             | SunSoft                             | Game Boy Color | 1998 | Europe
|       | Looney Tunes Collector: Martian Alert!                                   | Infogrames                          | Game Boy Color | 2000 | Europe
|       | Looney Tunes Collector: Martian Revenge!                                 | Infogrames                          | Game Boy Color | 2000 | Europe
|       | Looney Tunes Racing                                                      | Infogrames                          | Game Boy Color | 2001 | Europe
|       | Lucky Luke                                                               | Infogrames                          | Game Boy Color | 1999 | Europe
|       | Lucky Luke: Desperado Train                                              | Infogrames                          | Game Boy Color | 2000 | Europe
|       | Lufia: The Legend Returns                                                | Ubisoft                             | Game Boy Color | 2001 | Europe
|       | M & M's Mini Madness                                                     | JoWooD Entertainment AG             | Game Boy Color | 2001 | Europe
|       | Madden NFL 2000                                                          | Electronic Arts                     | Game Boy Color | 1999 | Europe
|       | Magical Drop                                                             | Swing! Deutschland                  | Game Boy Color | 2000 | Europe
|       | Magical Tetris Challenge                                                 | Activision                          | Game Boy Color | 2000 | Europe
|       | Marble Madness                                                           | Midway                              | Game Boy Color | 2000 | Europe
|       | Mario Golf                                                               | Nintendo                            | Game Boy Color | 1999 | Europe
|       | Mario Tennis                                                             | Nintendo                            | Game Boy Color | 2001 | Europe
|       | Mary-Kate & Ashley: Get a Clue!                                          | Acclaim                             | Game Boy Color | 2000 | Europe
|       | Mary-Kate and Ashley: Crush Course                                       | Acclaim                             | Game Boy Color | 2001 | Europe
|       | Mary-Kate and Ashley: Pocket Planner                                     | Acclaim                             | Game Boy Color | 2001 | Europe
|       | Mary-Kate and Ashley: Winners Circle                                     | Acclaim                             | Game Boy Color | 2001 | Europe
|       | Mask of Zorro, The                                                       | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Mat Hoffman's Pro BMX                                                    | Activision                          | Game Boy Color | 2001 | Europe
|       | Matchbox Caterpillar Construction Zone                                   | Mattel                              | Game Boy Color | 2000 | Europe
|       | Matchbox Emergency Patrol                                                | THQ                                 | Game Boy Color | 2001 | Europe
|       | Maya the Bee and Her Friends                                             | Acclaim                             | Game Boy Color | 2000 | Europe
|       | Maya the Bee: Garden Adventures                                          | Acclaim                             | Game Boy Color | 2000 | Europe
|       | Mega Man Xtreme                                                          | Capcom                              | Game Boy Color | 2001 | Europe
|       | Mega Man Xtreme 2                                                        | Capcom                              | Game Boy Color | 2002 | Europe
|       | Men in Black 2: The Series                                               | Crave                               | Game Boy Color | 2000 | Europe
|       | Men in Black: The Series                                                 | Interplay                           | Game Boy Color | 1998 | Europe
|       | Merlin                                                                   | Electronic Arts                     | Game Boy Color | 2001 | Europe
|       | Metal Gear Solid                                                         | Konami                              | Game Boy Color | 2000 | Europe
|       | Mickey's Racing Adventure                                                | Nintendo                            | Game Boy Color | 1999 | Europe
