|       | Meikyuu no Elfeene                                        | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | Japan
|       | Metal Angel                                               | Pack-In-Video                         | TurboGrafx-16 CD | 1993 | Japan
|       | Metal Angel 2                                             | Pack-In-Video                         | TurboGrafx-16 CD | 1995 | Japan
|       | Metamor Jupiter                                           | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | Japan
|       | Might and Magic                                           | NEC Interchannel                      | TurboGrafx-16 CD | 1992 | Japan
|       | Might and Magic III: Isles of Terra                       | Hudson                                | TurboGrafx-16 CD | 1993 | Japan
|       | Minesweeper                                               | Pack-In-Video                         | TurboGrafx-16 CD | 1992 | Japan
|       | Mirai Shounen Conan                                       | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | Japan
|       | Mitsubachi Gakuen                                         | Hudson                                | TurboGrafx-16 CD | 1990 | Japan
|       | Monster Maker: Yami no Ryuukishi                          | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Moonlight Lady                                            | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | Japan
|       | Moto Roader MC                                            | NCS                                   | TurboGrafx-16 CD | 1992 | Japan
|       | Motteke Tamago                                            | Naxat Soft                            | TurboGrafx-16 CD | 1997 | Japan
|       | Mugen Senshi Valis                                        | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | Japan
|       | Mystic Formula                                            | Micro Cabin                           | TurboGrafx-16 CD | 1993 | Japan
|       | Naritore The Sugoroku '92                                 | Nippon Telenet                        | TurboGrafx-16 CD | 1991 | Japan
|       | Nekketsu Koukou Dodge Ball-Bu: CD Soccer-hen              | Naxat Soft                            | TurboGrafx-16 CD | 1991 | Japan
|       | Nekketsu Legend Baseballer                                | Pack-In-Video                         | TurboGrafx-16 CD | 1995 | Japan
|       | Nemurenu Yoru no Chiisana Ohanashi                        | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | Japan
|       | Neo Nectaris                                              | Hudson                                | TurboGrafx-16 CD | 1994 | Japan
|       | Nexzr                                                     | Naxat Soft                            | TurboGrafx-16 CD | 1992 | Japan
|       | Nishimura Kyoutarou: Hokutosei no Onna                    | Naxat Soft                            | TurboGrafx-16 CD | 1990 | Japan
|       | No Ri Ko                                                  | Hudson                                | TurboGrafx-16 CD | 1988 | Japan
|       | Nobunaga no Yabou: Bushou Fuuunroku                       | Koei                                  | TurboGrafx-16 CD | 1993 | Japan
|       | Nobunaga no Yabou: Zenkokuban                             | Koei                                  | TurboGrafx-16 CD | 1993 | Japan
|       | Pachiokun 3: Pachi-Slot & Pachinko                        | Coconuts Japan                        | TurboGrafx-16 CD | 1994 | Japan
|       | Pachiokun: Maboroshi no Densetsu                          | Coconuts Japan                        | TurboGrafx-16 CD | 1991 | Japan
|       | Pachiokun: Warau Uchuu                                    | Coconuts Japan                        | TurboGrafx-16 CD | 1992 | Japan
|       | Pastel Lime                                               | Naxat Soft                            | TurboGrafx-16 CD | 1992 | Japan
|       | PC-Engine CD-ROM2                                         | Hudson                                | TurboGrafx-16 CD | 1988 | Japan
