|       | Wave Race 64                                | Nintendo                | Nintendo 64 | 1997 | Europe
|       | Wayne Gretzky's 3D Hockey                   | GT Interactive          | Nintendo 64 | 1997 | Europe
|       | Wayne Gretzky's 3D Hockey '98               | Midway                  | Nintendo 64 | 1998 | Europe
|       | WCW Mayhem                                  | Electronic Arts         | Nintendo 64 | 1999 | Europe
|       | WCW vs. NWO: World Tour                     | THQ                     | Nintendo 64 | 1998 | Europe
|       | WCW/NWO Revenge                             | THQ                     | Nintendo 64 | 1998 | Europe
|       | Wetrix                                      | Ocean                   | Nintendo 64 | 1998 | Europe
|       | WipeOut 64                                  | Midway                  | Nintendo 64 | 1999 | Europe
|       | World Cup 98                                | EA Sports               | Nintendo 64 | 1998 | Europe
|       | World Driver Championship                   | Midway                  | Nintendo 64 | 1999 | Europe
|       | Worms Armageddon                            | Infogrames              | Nintendo 64 | 1999 | Europe
|       | WWF Attitude                                | Acclaim                 | Nintendo 64 | 1999 | Europe
|       | WWF No Mercy                                | THQ                     | Nintendo 64 | 2000 | Europe
|       | WWF War Zone                                | Acclaim                 | Nintendo 64 | 1998 | Europe
|       | WWF Wrestlemania 2000                       | THQ                     | Nintendo 64 | 1999 | Europe
|       | Xena: Warrior Princess                      | Titus Software          | Nintendo 64 | 1999 | Europe
|       | Yoshi's Story                               | Nintendo                | Nintendo 64 | 1998 | Europe
