|       | Ghostbusters                                              | Sega                         | Sega Genesis | 1990 | North America
|       | Ghouls 'n Ghosts                                          | Sega                         | Sega Genesis | 1989 | North America
|       | Gods                                                      | Mindscape Inc.               | Sega Genesis | 1992 | North America
|       | Golden Axe                                                | Sega                         | Sega Genesis | 1989 | North America
|       | Golden Axe II                                             | Sega                         | Sega Genesis | 1991 | North America
|       | Goofy's Hysterical History Tour                           | Absolute Entertainment       | Sega Genesis | 1993 | North America
|       | Granada                                                   | Renovation                   | Sega Genesis | 1990 | North America
|       | Great Circus Mystery, The                                 | Capcom                       | Sega Genesis | 1994 | North America
|       | Great Waldo Search, The                                   | THQ                          | Sega Genesis | 1992 | North America
|       | Greatest Heavyweights                                     | Sega                         | Sega Genesis | 1994 | North America
|       | Greendog: The Beached Surfer Dude!                        | Sega                         | Sega Genesis | 1992 | North America
|       | Grind Stormer                                             | Tengen                       | Sega Genesis | 1994 | North America
|       | Growl                                                     | Taito Corporation            | Sega Genesis | 1991 | North America
|       | Gunstar Heroes                                            | Sega                         | Sega Genesis | 1993 | North America
|       | Hard Drivin'                                              | Tengen                       | Sega Genesis | 1991 | North America
|       | Hardball '94                                              | Accolade                     | Sega Genesis | 1994 | North America
|       | Hardball '95                                              | Accolade                     | Sega Genesis | 1995 | North America
|       | Hardball III                                              | Accolade                     | Sega Genesis | 1993 | North America
|       | Hardball!                                                 | Ballistic                    | Sega Genesis | 1991 | North America
|       | Haunting Starring Polterguy                               | Electronic Arts              | Sega Genesis | 1993 | North America
|       | Head-On Soccer                                            | U.S. Gold                    | Sega Genesis | 1995 | North America
|       | Heavy Nova                                                | Micronet                     | Sega Genesis | 1992 | North America
|       | Hellfire                                                  | Seismic                      | Sega Genesis | 1991 | North America
|       | Herzog Zwei                                               | Sega                         | Sega Genesis | 1990 | North America
|       | High Seas Havoc                                           | Data East                    | Sega Genesis | 1993 | North America
|       | Hit the Ice                                               | Taito Corporation            | Sega Genesis | 1992 | North America
|       | Home Alone                                                | Sega                         | Sega Genesis | 1992 | North America
|       | Home Alone 2: Lost in New York                            | Sega                         | Sega Genesis | 1993 | North America
|       | Hook                                                      | Sony Imagesoft               | Sega Genesis | 1992 | North America
|       | Humans, The                                               | GameTek                      | Sega Genesis | 1992 | North America
|       | IMG International Tour Tennis                             | Electronic Arts              | Sega Genesis | 1994 | North America
|       | Immortal, The                                             | Electronic Arts              | Sega Genesis | 1993 | North America
|       | Incredible Crash Dummies, The                             | Flying Edge                  | Sega Genesis | 1993 | North America
|       | Incredible Hulk, The                                      | U.S. Gold                    | Sega Genesis | 1994 | North America
|       | Indiana Jones and the Last Crusade                        | U.S. Gold                    | Sega Genesis | 1992 | North America
|       | Insector X                                                | Sage's Creation              | Sega Genesis | 1990 | North America
|       | Instruments of Chaos starring Young Indiana Jones         | Sega                         | Sega Genesis | 1994 | North America
|       | Ishido: The Way of the Stones                             | Accolade                     | Sega Genesis | 1990 | North America
|       | Itchy & Scratchy Game, The                                | Acclaim                      | Sega Genesis | 1994 | North America
|       | Izzy's Quest for the Olympic Rings                        | U.S. Gold                    | Sega Genesis | 1995 | North America
|       | Jack Nicklaus' Power Challenge Golf                       | Accolade                     | Sega Genesis | 1993 | North America
|       | James 'Buster' Douglas Knockout Boxing                    | Taito Corporation            | Sega Genesis | 1990 | North America
|       | James Bond 007: The Duel                                  | Domark                       | Sega Genesis | 1993 | North America
|       | James Pond 3: Operation Starfish                          | Electronic Arts              | Sega Genesis | 1993 | North America
|       | James Pond II: Codename: Robocod                          | Electronic Arts              | Sega Genesis | 1991 | North America
|       | James Pond: Underwater Agent                              | Electronic Arts              | Sega Genesis | 1991 | North America
|       | Jammit                                                    | Virgin Interactive           | Sega Genesis | 1994 | North America
|       | Jennifer Capriati Tennis                                  | Renovation                   | Sega Genesis | 1992 | North America
|       | Jeopardy!                                                 | GameTek                      | Sega Genesis | 1992 | North America
|       | Jeopardy! Deluxe Edition                                  | GameTek                      | Sega Genesis | 1993 | North America
|       | Jeopardy! Sports Edition                                  | GameTek                      | Sega Genesis | 1993 | North America
|       | Jerry Glanville's Pigskin Footbrawl                       | Razorsoft                    | Sega Genesis | 1992 | North America
|       | Jewel Master                                              | Sega                         | Sega Genesis | 1991 | North America
|       | Joe & Mac                                                 | Takara                       | Sega Genesis | 1991 | North America
|       | Joe Montana Football                                      | Sega                         | Sega Genesis | 1990 | North America
|       | Joe Montana II: Sports Talk Football                      | Sega                         | Sega Genesis | 1991 | North America
|       | John Madden Football                                      | Electronic Arts Victor       | Sega Genesis | 1990 | North America
|       | John Madden Football '92                                  | Electronic Arts              | Sega Genesis | 1991 | North America
|       | John Madden Football '93                                  | Electronic Arts              | Sega Genesis | 1992 | North America
|       | John Madden Football Championship Edition                 | EA Sports                    | Sega Genesis | 1992 | North America
|       | Jordan vs Bird                                            | Electronic Arts              | Sega Genesis | 1992 | North America
|       | Joshua & the Battle of Jericho                            | Wisdom Tree                  | Sega Genesis | 1992 | North America
|       | Judge Dredd                                               | Acclaim                      | Sega Genesis | 1995 | North America
|       | Junction                                                  | Micronet                     | Sega Genesis | 1990 | North America
|       | Jungle Strike                                             | Electronic Arts              | Sega Genesis | 1993 | North America
|       | Jurassic Park                                             | Sega                         | Sega Genesis | 1993 | North America
|       | Jurassic Park: Rampage Edition                            | Sega                         | Sega Genesis | 1994 | North America
|       | Justice League Task Force                                 | Acclaim                      | Sega Genesis | 1995 | North America
|       | Ka-Ge-Ki: Fists of Steel                                  | Sage's Creation              | Sega Genesis | 1991 | North America
|       | Kawasaki Superbike Challenge                              | Time Warner Interactive      | Sega Genesis | 1994 | North America
|       | Kid Chameleon                                             | Sega                         | Sega Genesis | 1992 | North America
|       | King of the Monsters                                      | Takara                       | Sega Genesis | 1993 | North America
|       | King of the Monsters 2                                    | Takara                       | Sega Genesis | 1994 | North America
|       | King Salmon: The Big Catch                                | Vic Tokai                    | Sega Genesis | 1993 | North America
|       | King's Bounty: The Conqueror's Quest                      | Electronic Arts              | Sega Genesis | 1991 | North America
|       | Klax                                                      | Tengen                       | Sega Genesis | 1990 | North America
|       | Krusty's Super Fun House                                  | Flying Edge                  | Sega Genesis | 1993 | North America
|       | La Russa Baseball 95                                      | EA Sports                    | Sega Genesis | 1994 | North America
|       | Lakers versus Celtics and the NBA Playoffs                | Electronic Arts              | Sega Genesis | 1991 | North America
|       | LandStalker                                               | Sega                         | Sega Genesis | 1992 | North America
|       | Last Action Hero                                          | Sony Imagesoft               | Sega Genesis | 1993 | North America
|       | Last Battle                                               | Sega                         | Sega Genesis | 1989 | North America
|       | Lawnmower Man, The                                        | Time Warner Interactive      | Sega Genesis | 1994 | North America
|       | Legend of Wukong                                          | Super Fighter Team           | Sega Genesis | 2008 | North America
|       | Lemmings                                                  | SunSoft                      | Sega Genesis | 1992 | North America
|       | Lemmings 2: The Tribes                                    | Psygnosis                    | Sega Genesis | 1994 | North America
|       | Lethal Enforcers                                          | Konami                       | Sega Genesis | 1993 | North America
|       | Lethal Enforcers II: Gun Fighters                         | Konami                       | Sega Genesis | 1994 | North America
|       | LHX Attack Chopper                                        | Electronic Arts              | Sega Genesis | 1993 | North America
