|       | Daisenryaku: Dai Toua Kouboushi - Tora Tora Tora Ware Kishuu Ni Seikou Seri                          | SystemSoft                             | PlayStation 3 | 2013 | Japan
|       | Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi                      | Paon Corporation                       | PlayStation 3 | 2013 | Japan
|       | Dante's Inferno: Shinkyoku Jigoku-Hen                                                                | Electronic Arts                        | PlayStation 3 | 2010 | Japan
|       | Dark Sector                                                                                          | D3Publisher                            | PlayStation 3 | 2008 | Japan
|       | Dark Souls                                                                                           | From Software                          | PlayStation 3 | 2011 | Japan
|       | Dark Souls II                                                                                        | From Software                          | PlayStation 3 | 2014 | Japan
|       | Dark Souls II: Scholar of the First Sin                                                              | From Software                          | PlayStation 3 | 2015 | Japan
|       | Darkness II, The                                                                                     | 2K Games                               | PlayStation 3 | 2012 | Japan
|       | Darkness, The                                                                                        | Spike                                  | PlayStation 3 | 2008 | Japan
|       | Darksiders II                                                                                        | Spike Chunsoft                         | PlayStation 3 | 2012 | Japan
|       | Darksiders: Shinpan no Toki                                                                          | Konami                                 | PlayStation 3 | 2010 | Japan
|       | Date A Live: Ars Install                                                                             | Compile Heart                          | PlayStation 3 | 2014 | Japan
|       | Date A Live: Rinne Utopia                                                                            | Compile Heart                          | PlayStation 3 | 2013 | Japan
|       | Dead Island                                                                                          | Spike                                  | PlayStation 3 | 2011 | Japan
|       | Dead Island: Double Zombie Pack                                                                      | Spike Chunsoft                         | PlayStation 3 | 2014 | Japan
|       | Dead Island: Riptide                                                                                 | Spike Chunsoft                         | PlayStation 3 | 2013 | Japan
|       | Dead Island: Zombie of the Year Edition                                                              | Spike Chunsoft                         | PlayStation 3 | 2012 | Japan
|       | Dead or Alive 5                                                                                      | Koei Tecmo Games                       | PlayStation 3 | 2012 | Japan
|       | Dead or Alive 5 Ultimate                                                                             | Koei Tecmo Games                       | PlayStation 3 | 2013 | Japan
|       | Dead or Alive 5: Last Round                                                                          | Koei Tecmo Games                       | PlayStation 3 | 2015 | Japan
|       | Dead Rising 2                                                                                        | Capcom                                 | PlayStation 3 | 2010 | Japan
|       | Dead Rising 2: Off the Record                                                                        | Capcom                                 | PlayStation 3 | 2011 | Japan
|       | Dead to Rights: Retribution                                                                          | Bandai Namco Games                     | PlayStation 3 | 2010 | Japan
|       | Def Jam: Icon                                                                                        | EA Games                               | PlayStation 3 | 2007 | Japan
|       | Demon's Souls                                                                                        | SCEI                                   | PlayStation 3 | 2009 | Japan
|       | Dengeki Bunko: Fighting Climax                                                                       | Sega                                   | PlayStation 3 | 2014 | Japan
|       | Dengeki Bunko: Fighting Climax Ignition                                                              | Sega                                   | PlayStation 3 | 2015 | Japan
|       | Derby Time Online                                                                                    | SCEI                                   | PlayStation 3 | 2008 | Japan
|       | Destiny                                                                                              | SCEI                                   | PlayStation 3 | 2014 | Japan
|       | Destiny: Furitachi Jashin - Legendary Edition                                                        | SCEI                                   | PlayStation 3 | 2015 | Japan
|       | Deus Ex                                                                                              | Square Enix                            | PlayStation 3 | 2011 | Japan
|       | Devil May Cry 4                                                                                      | Capcom                                 | PlayStation 3 | 2008 | Japan
|       | Devil May Cry HD Collection                                                                          | Capcom                                 | PlayStation 3 | 2012 | Japan
|       | Diablo III                                                                                           | Square Enix                            | PlayStation 3 | 2014 | Japan
|       | Diablo III: Ultimate Evil Edition                                                                    | Square Enix                            | PlayStation 3 | 2014 | Japan
|       | DiRT 3                                                                                               | Codemasters                            | PlayStation 3 | 2011 | Japan
|       | DiRT Double Pack                                                                                     | Codemasters                            | PlayStation 3 | 2012 | Japan
|       | DiRT Showdown                                                                                        | Codemasters                            | PlayStation 3 | 2012 | Japan
|       | Disgaea Dimension 2                                                                                  | Nippon Ichi Software                   | PlayStation 3 | 2013 | Japan
|       | Dishonored                                                                                           | Bethesda Softworks                     | PlayStation 3 | 2012 | Japan
|       | Disney Infinity 3.0 Edition                                                                          | Bandai Namco Games                     | PlayStation 3 | 2015 | Japan
|       | Disney/Pixar Remy no Oishii Restaurant                                                               | THQ                                    | PlayStation 3 | 2007 | Japan
|       | Disorder 6                                                                                           | 5pb                                    | PlayStation 3 | 2013 | Japan
|       | DmC: Devil May Cry                                                                                   | Capcom                                 | PlayStation 3 | 2013 | Japan
|       | Doom 3 BFG Edition                                                                                   | Bethesda Softworks                     | PlayStation 3 | 2012 | Japan
|       | Double Clutch                                                                                        | Spike                                  | PlayStation 3 | 2008 | Japan
|       | Double Value Pack: Skate 2 + Skate 3                                                                 | Electronic Arts                        | PlayStation 3 | 2013 | Japan
|       | Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special                                | Arc System Works                       | PlayStation 3 | 2015 | Japan
|       | Drag-On Dragoon 3                                                                                    | Square Enix                            | PlayStation 3 | 2013 | Japan
|       | Dragon Age II                                                                                        | Spike                                  | PlayStation 3 | 2012 | Japan
|       | Dragon Age: Inquisition                                                                              | Electronic Arts                        | PlayStation 3 | 2014 | Japan
|       | Dragon Age: Origins                                                                                  | Spike                                  | PlayStation 3 | 2011 | Japan
|       | Dragon Age: Origins - Awakening                                                                      | Spike                                  | PlayStation 3 | 2011 | Japan
|       | Dragon Ball Z: Battle of Z                                                                           | Bandai Namco Games                     | PlayStation 3 | 2014 | Japan
|       | Dragon Ball Z: Burst Limit                                                                           | Bandai Namco Games                     | PlayStation 3 | 2008 | Japan
|       | Dragon Ball: Raging Blast                                                                            | Bandai Namco Games                     | PlayStation 3 | 2009 | Japan
|       | Dragon Ball: Raging Blast 2                                                                          | Bandai Namco Games                     | PlayStation 3 | 2010 | Japan
|       | Dragon Ball: Ultimate Blast                                                                          | Bandai Namco Games                     | PlayStation 3 | 2011 | Japan
|       | Dragon Ball: Xenoverse                                                                               | Bandai Namco Games                     | PlayStation 3 | 2015 | Japan
|       | Dragon Quest Builders: Alefgard o Fukkatsu Niseyo                                                    | Square Enix                            | PlayStation 3 | 2016 | Japan
|       | Dragon Quest Heroes II: Futago no Ou to Yogen no Owari                                               | Square Enix                            | PlayStation 3 | 2016 | Japan
|       | Dragon Quest Heroes: Yamiryuu to Sekaiju no Shiro                                                    | Square Enix                            | PlayStation 3 | 2015 | Japan
|       | Dragon's Crown                                                                                       | ATLUS                                  | PlayStation 3 | 2013 | Japan
|       | Dragon's Dogma                                                                                       | Capcom                                 | PlayStation 3 | 2012 | Japan
|       | Dragon's Dogma Online                                                                                | Capcom                                 | PlayStation 3 | 2015 | Japan
|       | Dragon's Dogma: Dark Arisen                                                                          | Capcom                                 | PlayStation 3 | 2013 | Japan
|       | Dream C Club Gogo.                                                                                   | D3Publisher                            | PlayStation 3 | 2014 | Japan
