|       | Ready 2 Rumble Boxing                                     | Midway                   | Sega Dreamcast | 1999 | North America
|       | Ready 2 Rumble Boxing: Round 2                            | Midway                   | Sega Dreamcast | 2000 | North America
|       | Record of Lodoss War                                      | Conspiracy Entertainment | Sega Dreamcast | 2001 | North America
|       | Red Dog: Superior Firepower                               | Crave                    | Sega Dreamcast | 2000 | North America
|       | Reel Fishing: Wild                                        | Natsume                  | Sega Dreamcast | 2013 | North America
|       | Resident Evil 2                                           | Capcom                   | Sega Dreamcast | 2000 | North America
|       | Resident Evil 3: Nemesis                                  | Capcom                   | Sega Dreamcast | 2000 | North America
|       | Resident Evil Code: Veronica                              | Capcom                   | Sega Dreamcast | 2000 | North America
|       | Rippin' Riders                                            | Sega                     | Sega Dreamcast | 1999 | North America
|       | Roadsters                                                 | Titus Software           | Sega Dreamcast | 2000 | North America
|       | Samba de Amigo                                            | Sega                     | Sega Dreamcast | 2000 | North America
|       | San Francisco Rush 2049                                   | Midway                   | Sega Dreamcast | 2000 | North America
|       | Seaman                                                    | Sega                     | Sega Dreamcast | 2000 | North America
|       | Sega Bass Fishing                                         | Sega                     | Sega Dreamcast | 1999 | North America
|       | Sega Bass Fishing 2                                       | Sega                     | Sega Dreamcast | 2001 | North America
|       | Sega GT                                                   | Sega                     | Sega Dreamcast | 2000 | North America
|       | Sega Marine Fishing                                       | Sega                     | Sega Dreamcast | 2000 | North America
|       | Sega Rally Championship 2                                 | Sega                     | Sega Dreamcast | 1999 | North America
|       | Sega Smash Pack Volume 1                                  | Sega                     | Sega Dreamcast | 2001 | North America
|       | Seventh Cross Evolution                                   | UFO Interactive          | Sega Dreamcast | 2000 | North America
|       | Shadow Man                                                | Acclaim                  | Sega Dreamcast | 1999 | North America
|       | Shenmue                                                   | Sega                     | Sega Dreamcast | 2000 | North America
|       | Silent Scope                                              | Konami                   | Sega Dreamcast | 2000 | North America
|       | Silver                                                    | Infogrames               | Sega Dreamcast | 2000 | North America
|       | Skies of Arcadia                                          | Sega                     | Sega Dreamcast | 2000 | North America
|       | Slave Zero                                                | Infogrames               | Sega Dreamcast | 1999 | North America
|       | Sno-Cross Championship Racing                             | Crave                    | Sega Dreamcast | 2000 | North America
|       | Soldier of Fortune                                        | Crave                    | Sega Dreamcast | 2001 | North America
|       | Sonic Adventure                                           | Sega                     | Sega Dreamcast | 1999 | North America
|       | Sonic Adventure 2                                         | Sega                     | Sega Dreamcast | 2001 | North America
|       | Sonic Shuffle                                             | Sega                     | Sega Dreamcast | 2000 | North America
|       | Soul Fighter                                              | Mindscape Inc.           | Sega Dreamcast | 1999 | North America
|       | SoulCalibur                                               | Namco                    | Sega Dreamcast | 1999 | North America
|       | South Park Rally                                          | Acclaim                  | Sega Dreamcast | 2000 | North America
|       | South Park: Chef's Luv Shack                              | Acclaim                  | Sega Dreamcast | 1999 | North America
|       | Space Channel 5                                           | Sega                     | Sega Dreamcast | 2000 | North America
|       | Spawn: In the Demon's Hand                                | Capcom                   | Sega Dreamcast | 2000 | North America
