|       | Midway Presents Arcade's Greatest Hits: The Atari Collection 1   | Williams                     | Super Nintendo | 1998 | Europe
|       | Might and Magic II                                               | Elite                        | Super Nintendo | 1993 | Europe
|       | Mighty Morphin Power Rangers                                     | Bandai                       | Super Nintendo | 1995 | Europe
|       | Mighty Morphin Power Rangers: The Fighting Edition               | Bandai                       | Super Nintendo | 1995 | Europe
|       | Mighty Morphin Power Rangers: The Movie                          | Bandai                       | Super Nintendo | 1995 | Europe
|       | Mohawk and Headphone Jack                                        | THQ                          | Super Nintendo | 1997 | Europe
|       | Mortal Kombat                                                    | Acclaim                      | Super Nintendo | 1993 | Europe
|       | Mortal Kombat 3                                                  | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Mortal Kombat II                                                 | Acclaim                      | Super Nintendo | 1994 | Europe
|       | Mr. Do!                                                          | Black Pearl                  | Super Nintendo | 1997 | Europe
|       | Mr. Nutz                                                         | Ocean                        | Super Nintendo | 1994 | Europe
|       | Ms. Pac-Man                                                      | THQ                          | Super Nintendo | 1997 | Europe
|       | Mystic Quest Legend                                              | Nintendo                     | Super Nintendo | 1993 | Europe
|       | NBA All-Star Challenge                                           | LJN Ltd.                     | Super Nintendo | 1993 | Europe
|       | NBA Give 'N Go                                                   | Konami                       | Super Nintendo | 1995 | Europe
|       | NBA Hang Time                                                    | Midway                       | Super Nintendo | 1997 | Europe
|       | NBA Jam                                                          | Acclaim                      | Super Nintendo | 1996 | Europe
|       | NBA Jam: Tournament Edition                                      | Acclaim                      | Super Nintendo | 1995 | Europe
|       | NBA Live 95                                                      | EA Sports                    | Super Nintendo | 1994 | Europe
|       | NBA Live 96                                                      | Electronic Arts              | Super Nintendo | 1995 | Europe
|       | NBA Live 97                                                      | EA Sports                    | Super Nintendo | 1996 | Europe
|       | Newman-Haas' Racing: Indy Car Featuring Nigel Mansell            | Konami                       | Super Nintendo | 1994 | Europe
|       | NFL Football                                                     | Konami                       | Super Nintendo | 1993 | Europe
|       | NFL Quarterback Club                                             | LJN Ltd.                     | Super Nintendo | 1995 | Europe
|       | NFL Quarterback Club 96                                          | Acclaim                      | Super Nintendo | 1996 | Europe
|       | NHL '94                                                          | Electronic Arts              | Super Nintendo | 1994 | Europe
|       | NHL 95                                                           | Electronic Arts              | Super Nintendo | 1994 | Europe
|       | NHL 96                                                           | Electronic Arts              | Super Nintendo | 1995 | Europe
|       | NHL 97                                                           | Electronic Arts              | Super Nintendo | 1996 | Europe
|       | NHLPA Hockey 93                                                  | Electronic Arts              | Super Nintendo | 1993 | Europe
|       | Nigel Mansell's World Championship Racing                        | Nintendo                     | Super Nintendo | 1993 | Europe
|       | Ninja Warriors: The New Generation                               | Titus Software               | Super Nintendo | 1995 | Europe
|       | Nintendo Scope 6                                                 | Nintendo                     | Super Nintendo | 1994 | Europe
|       | Olympic Summer Games                                             | Black Pearl                  | Super Nintendo | 1996 | Europe
|       | On the Ball                                                      | Taito Corporation            | Super Nintendo | 1993 | Europe
|       | Operation Logic Bomb: Die Ultimative Herausforderung             | Jaleco Entertainment         | Super Nintendo | 1993 | Europe
|       | Oscar                                                            | Titus Software               | Super Nintendo | 1996 | Europe
|       | Outlander                                                        | Mindscape                    | Super Nintendo | 1993 | Europe
|       | Pac-Attack                                                       | Namco                        | Super Nintendo | 1993 | Europe
|       | Pac-In-Time                                                      | Namco                        | Super Nintendo | 1994 | Europe
|       | Pac-Man 2: The New Adventures                                    | Nintendo                     | Super Nintendo | 1994 | Europe
|       | Pagemaster, The                                                  | Virgin Interactive           | Super Nintendo | 1995 | Europe
|       | Paperboy 2                                                       | Mindscape                    | Super Nintendo | 1992 | Europe
|       | Parodius                                                         | Konami                       | Super Nintendo | 1992 | Europe
|       | PGA European Tour                                                | Black Pearl                  | Super Nintendo | 1996 | Europe
|       | PGA Tour 96                                                      | Electronic Arts              | Super Nintendo | 1996 | Europe
|       | PGA Tour Golf                                                    | Electronic Arts              | Super Nintendo | 1993 | Europe
|       | Phalanx                                                          | Kemco                        | Super Nintendo | 1992 | Europe
|       | Phantom 2040                                                     | Viacom New Media             | Super Nintendo | 1995 | Europe
|       | Pierre le Chef is... Out to Lunch                                | Mindscape                    | Super Nintendo | 1993 | Europe
|       | Pilotwings                                                       | Nintendo                     | Super Nintendo | 1993 | Europe
|       | Pinball Dreams                                                   | GameTek                      | Super Nintendo | 1994 | Europe
|       | Pinball Fantasies                                                | GameTek                      | Super Nintendo | 1995 | Europe
|       | Pink Goes to Hollywood                                           | TecMagik                     | Super Nintendo | 1993 | Europe
|       | Pirates of Dark Water, The                                       | SunSoft                      | Super Nintendo | 1994 | Europe
|       | Pit-Fighter                                                      | THQ                          | Super Nintendo | 1992 | Europe
|       | Pitfall: The Mayan Adventure                                     | Activision                   | Super Nintendo | 1994 | Europe
|       | Plok                                                             | Nintendo                     | Super Nintendo | 1994 | Europe
|       | Pocky & Rocky                                                    | Natsume                      | Super Nintendo | 1993 | Europe
|       | Pocky & Rocky 2                                                  | Ocean                        | Super Nintendo | 1995 | Europe
|       | Pop'n TwinBee                                                    | Palcom                       | Super Nintendo | 1993 | Europe
|       | Pop'n TwinBee: Rainbow Bell Adventures                           | Konami                       | Super Nintendo | 1994 | Europe
|       | Populous                                                         | Imagineer                    | Super Nintendo | 1991 | Europe
|       | Populous II: Trials of the Olympian Gods                         | Imagineer                    | Super Nintendo | 1994 | Europe
|       | Porky Pig's Haunted Holiday                                      | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Power Drive                                                      | U.S. Gold                    | Super Nintendo | 1995 | Europe
|       | Power Monger                                                     | Imagineer                    | Super Nintendo | 1993 | Europe
|       | Power Piggs of the Dark Age                                      | Titus Software               | Super Nintendo | 1997 | Europe
|       | Prehistorik Man                                                  | Titus Software               | Super Nintendo | 1996 | Europe
|       | Primal Rage                                                      | Time Warner Interactive      | Super Nintendo | 1995 | Europe
|       | Prince of Persia                                                 | Konami                       | Super Nintendo | 1993 | Europe
|       | Prince of Persia 2: The Shadow and the Flame                     | Laguna                       | Super Nintendo | 1997 | Europe
|       | Push-Over                                                        | Ocean                        | Super Nintendo | 1992 | Europe
|       | Putty Squad                                                      | Ocean                        | Super Nintendo | 1994 | Europe
