|       | Oneesan to Issho! Kisekae Paradise                                                                     | Bullet Proof Software         | 3DO Interactive Multiplayer | 1995 | Japan
|       | Oukoku no Grand Chef                                                                                   | Sara International            | 3DO Interactive Multiplayer | 1996 | Japan
|       | Outer World                                                                                            | Interplay                     | 3DO Interactive Multiplayer | 1994 | Japan
|       | Oyaji Hunter Mahjong                                                                                   | WARP                          | 3DO Interactive Multiplayer | 1995 | Japan
|       | Paddock Note '95                                                                                       | Fuji Television               | 3DO Interactive Multiplayer | 1995 | Japan
|       | Pala Rancho                                                                                            | T&E Soft                      | 3DO Interactive Multiplayer | 1994 | Japan
|       | PaTaank                                                                                                | BMG Interactive Entertainment | 3DO Interactive Multiplayer | 1994 | Japan
|       | Pebble Beach no Hatou                                                                                  | T&E Soft                      | 3DO Interactive Multiplayer | 1994 | Japan
|       | Penthouse Interactive Virtual Photo Shoot Vol. 1                                                       | Apollo                        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Peperon Mura no Shiki                                                                                  | NHK                           | 3DO Interactive Multiplayer | 1995 | Japan
|       | Perfect World                                                                                          | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Peter Frankel: Puzzle no Tou                                                                           | TBS                           | 3DO Interactive Multiplayer | 1995 | Japan
|       | Policenauts                                                                                            | Konami                        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Policenauts Pilot Disk                                                                                 | Konami                        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Powers Kingdom                                                                                         | Micro Cabin                   | 3DO Interactive Multiplayer | 1994 | Japan
|       | Princess Maker 2                                                                                       | Micro Cabin                   | 3DO Interactive Multiplayer | 1994 | Japan
|       | Pro Stadium                                                                                            | Sanyo                         | 3DO Interactive Multiplayer | 1995 | Japan
|       | Pro Yakyuu Virtual Stadium                                                                             | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Puppet Tale                                                                                            | Micro Cabin                   | 3DO Interactive Multiplayer | 1994 | Japan
|       | Putt-Putt to Parade ni Okou!                                                                           | Marubeni                      | 3DO Interactive Multiplayer | 1994 | Japan
|       | Putt-Putt's Fun Pack                                                                                   | Marubeni                      | 3DO Interactive Multiplayer | 1994 | Japan
|       | Puzzle Bobble                                                                                          | Micro Cabin                   | 3DO Interactive Multiplayer | 1995 | Japan
|       | Pyramid Intruder                                                                                       | Taito Corporation             | 3DO Interactive Multiplayer | 1995 | Japan
|       | Quarantine                                                                                             | Imagineer                     | 3DO Interactive Multiplayer | 1995 | Japan
|       | Return Fire                                                                                            | 3DO                           | 3DO Interactive Multiplayer | 1995 | Japan
|       | Road & Track Presents: Over Drivin'                                                                    | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Road Rash                                                                                              | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1994 | Japan
