|       | Boom Blox Bash Party                                                  | Electronic Arts                        | Nintendo Wii | 2009 | Europe
|       | Boom Street                                                           | Nintendo                               | Nintendo Wii | 2011 | Europe
|       | Boot Camp Academy                                                     | Ubisoft                                | Nintendo Wii | 2010 | Europe
|       | Bratz Kidz Party                                                      | The Game Factory                       | Nintendo Wii | 2008 | Europe
|       | Bratz: Girlz Really Rock                                              | THQ                                    | Nintendo Wii | 2008 | Europe
|       | Bratz: The Movie                                                      | THQ                                    | Nintendo Wii | 2007 | Europe
|       | Brave: A Warrior's Tale                                               | SouthPeak Games                        | Nintendo Wii | 2009 | Europe
|       | Broken Sword: Shadow of the Templars                                  | Ubisoft                                | Nintendo Wii | 2009 | Europe
|       | Brothers in Arms: Double Time                                         | Ubisoft                                | Nintendo Wii | 2008 | Europe
|       | Brothers In Arms: Road to Hill 30                                     | Ubisoft                                | Nintendo Wii | 2008 | Europe
|       | Brunswick Pro Bowling                                                 | 505 Games                              | Nintendo Wii | 2007 | Europe
|       | Build-A-Bear Workshop                                                 | The Game Factory                       | Nintendo Wii | 2008 | Europe
|       | Bully: Scholarship Edition                                            | Rockstar Games                         | Nintendo Wii | 2008 | Europe
|       | Bust-A-Move                                                           | 505 Games                              | Nintendo Wii | 2007 | Europe
|       | Busy Scissors                                                         | Little Orbit                           | Nintendo Wii | 2011 | Europe
|       | Cabela's Adventure Camp                                               | Activision                             | Nintendo Wii | 2011 | Europe
|       | Cabela's Big Game Hunter 2010                                         | Activision                             | Nintendo Wii | 2010 | Europe
|       | Cabela's Big Game Hunter 2012                                         | Activision                             | Nintendo Wii | 2012 | Europe
|       | Cabela's Dangerous Adventures                                         | Activision                             | Nintendo Wii | 2009 | Europe
|       | Cabela's Dangerous Hunts 2011                                         | Activision                             | Nintendo Wii | 2011 | Europe
|       | Cabela's Dangerous Hunts 2013                                         | Activision                             | Nintendo Wii | 2012 | Europe
|       | Cabela's Survival: Shadows of Katmai                                  | Activision                             | Nintendo Wii | 2011 | Europe
|       | Cake Mania: In the Mix!                                               | Majesco                                | Nintendo Wii | 2009 | Europe
|       | Call of Duty 3                                                        | Activision                             | Nintendo Wii | 2006 | Europe
|       | Call of Duty: Black Ops                                               | Activision                             | Nintendo Wii | 2010 | Europe
|       | Call of Duty: Modern Warfare - Reflex Edition                         | Activision                             | Nintendo Wii | 2009 | Europe
|       | Call of Duty: Modern Warfare 3                                        | Activision                             | Nintendo Wii | 2011 | Europe
|       | Call of Duty: World at War                                            | Activision                             | Nintendo Wii | 2008 | Europe
|       | Calling                                                               | Konami                                 | Nintendo Wii | 2010 | Europe
|       | Calvin Tucker's Farm Animals Racing                                   | Funbox Media                           | Nintendo Wii | 2012 | Europe
|       | Calvin Tucker's Redneck Jamboree                                      | Zoo Games                              | Nintendo Wii | 2009 | Europe
|       | Captain America: Super Soldier                                        | Sega                                   | Nintendo Wii | 2011 | Europe
|       | Captain Morgane and the Golden Turtle                                 | Reef Entertainment                     | Nintendo Wii | 2012 | Europe
|       | Carnival Funfair Games                                                | Global Star Software                   | Nintendo Wii | 2007 | Europe
|       | Carnival Games: Mini-Golf                                             | 2K Play                                | Nintendo Wii | 2008 | Europe
|       | Cars                                                                  | THQ                                    | Nintendo Wii | 2006 | Europe
|       | Cars 2: The Video Game                                                | Disney Interactive Studios             | Nintendo Wii | 2011 | Europe
|       | Cars Mater-National Championship                                      | THQ                                    | Nintendo Wii | 2008 | Europe
|       | Cars Race-O-Rama                                                      | THQ                                    | Nintendo Wii | 2009 | Europe
|       | Cars Toon: Mater's Tall Tales                                         | Disney Interactive Studios             | Nintendo Wii | 2010 | Europe
|       | Cartoon Network: Punch Time Explosion XL                              | OG International Ltd                   | Nintendo Wii | 2012 | Europe
|       | Casper's Scare School: Spooky Sports Day                              | Blast! Entertainment Ltd               | Nintendo Wii | 2009 | Europe
|       | Castle of Shikigami III                                               | Zen United                             | Nintendo Wii | 2009 | Europe
|       | Castlevania Judgment                                                  | Konami                                 | Nintendo Wii | 2009 | Europe
|       | Cate West: The Vanishing Files                                        | Destineer                              | Nintendo Wii | 2009 | Europe
|       | Catz                                                                  | Ubisoft                                | Nintendo Wii | 2007 | Europe
|       | Celebrity Sports Showdown                                             | Electronic Arts                        | Nintendo Wii | 2008 | Europe
|       | Challenge Me: Brain Puzzles 2                                         | O-Games                                | Nintendo Wii | 2010 | Europe
|       | Challenge Me: Word Puzzles                                            | O-Games                                | Nintendo Wii | 2011 | Europe
|       | Champion Jockey: G1 Jockey & Gallop Racer                             | Tecmo Koei Games                       | Nintendo Wii | 2011 | Europe
|       | Charm Girls Club Pajama Party                                         | Electronic Arts                        | Nintendo Wii | 2017 | Europe
|       | Cheggers Party Quiz                                                   | Oxygen Interactive                     | Nintendo Wii | 2007 | Europe
|       | Chess Crusade                                                         | Zoo Digital Publishing                 | Nintendo Wii | 2008 | Europe
|       | Chicken Blaster                                                       | Zoo Games                              | Nintendo Wii | 2010 | Europe
|       | Chicken Riot                                                          | City Interactive                       | Nintendo Wii | 2009 | Europe
|       | Chicken Shoot                                                         | Zoo Digital Publishing                 | Nintendo Wii | 2007 | Europe
|       | Chronicles of Narnia: Prince Caspian, The                             | Disney Interactive Studios             | Nintendo Wii | 2008 | Europe
|       | CID The Dummy                                                         | Oxygen Interactive                     | Nintendo Wii | 2009 | Europe
|       | Circus                                                                | 505 Games                              | Nintendo Wii | 2010 | Europe
|       | Classic British Motor Racing                                          | Popcorn Arcade                         | Nintendo Wii | 2008 | Europe
|       | Clever Kids: Creepy Crawlies                                          | Midas Interactive Entertainment        | Nintendo Wii | 2009 | Europe
|       | Clever Kids: Farmyard Fun                                             | Midas Interactive Entertainment        | Nintendo Wii | 2009 | Europe
|       | Clever Kids: Pirates                                                  | Midas Interactive Entertainment        | Nintendo Wii | 2009 | Europe
|       | Cloudy With a Chance of Meatballs                                     | Ubisoft                                | Nintendo Wii | 2009 | Europe
|       | Club Penguin: Game Day!                                               | Disney Interactive Studios             | Nintendo Wii | 2010 | Europe
|       | Cocoto Kart Racer 2                                                   | BigBen Interactive                     | Nintendo Wii | 2011 | Europe
|       | Cocoto Magic Circus                                                   | Neko Entertainment                     | Nintendo Wii | 2008 | Europe
|       | Cocoto Surprise                                                       | Neko Entertainment                     | Nintendo Wii | 2009 | Europe
|       | Code De La Route                                                      | BigBen Interactive                     | Nintendo Wii | 2008 | Europe
|       | Code Lyoko: Quest for Infinity                                        | The Game Factory                       | Nintendo Wii | 2007 | Europe
|       | Colin McRae: DiRT 2                                                   | Codemasters                            | Nintendo Wii | 2009 | Europe
|       | Combat of Giants: Dinosaurs Strike                                    | Ubisoft                                | Nintendo Wii | 2010 | Europe
|       | Combat Wings: The Great Battles of WWII                               | City Interactive                       | Nintendo Wii | 2010 | Europe
|       | Conduit 2                                                             | Sega                                   | Nintendo Wii | 2011 | Europe
|       | Conduit, The                                                          | Sega                                   | Nintendo Wii | 2009 | Europe
|       | Cooking Mama                                                          | 505 Games                              | Nintendo Wii | 2007 | Europe
|       | Cooking Mama 2: World Kitchen                                         | 505 Games                              | Nintendo Wii | 2009 | Europe
|       | Cooking Mama World: Babysitting Mama                                  | 505 Games                              | Nintendo Wii | 2010 | Europe
|       | Coraline                                                              | D3Publisher                            | Nintendo Wii | 2009 | Europe
|       | Cosmic Family                                                         | Ubisoft                                | Nintendo Wii | 2007 | Europe
|       | Countdown: The Game                                                   | Mindscape                              | Nintendo Wii | 2009 | Europe
