|       | Titan Wars                                                     | Crystal Dynamics              | Sega Saturn | 1996 | Europe
|       | Tomb Raider                                                    | Eidos Interactive             | Sega Saturn | 1996 | Europe
|       | Torico                                                         | Sega                          | Sega Saturn | 1997 | Europe
|       | Trash It                                                       | GT Interactive                | Sega Saturn | 1997 | Europe
|       | True Pinball                                                   | Ocean                         | Sega Saturn | 1996 | Europe
|       | Tunnel B1                                                      | Ocean                         | Sega Saturn | 1997 | Europe
|       | UEFA Euro 96 England                                           | Sega                          | Sega Saturn | 1996 | Europe
|       | Ultimate Mortal Kombat 3                                       | GT Interactive                | Sega Saturn | 1996 | Europe
|       | V.R. Virtua Racing                                             | Time Warner Interactive       | Sega Saturn | 1995 | Europe
|       | Valora Valley Golf                                             | Vic Tokai                     | Sega Saturn | 1996 | Europe
|       | Victory Boxing                                                 | JVC Digital Studios           | Sega Saturn | 1996 | Europe
|       | Virtua Cop                                                     | Sega                          | Sega Saturn | 1995 | Europe
|       | Virtua Cop 2                                                   | Sega                          | Sega Saturn | 1997 | Europe
|       | Virtua Fighter                                                 | Sega                          | Sega Saturn | 1995 | Europe
|       | Virtua Fighter 2                                               | Sega                          | Sega Saturn | 1996 | Europe
|       | Virtua Fighter Kids                                            | Sega                          | Sega Saturn | 1996 | Europe
|       | Virtua Fighter Remix                                           | Sega                          | Sega Saturn | 1995 | Europe
|       | Virtual Golf                                                   | Core Design Ltd.              | Sega Saturn | 1996 | Europe
|       | Virtual Hydlide                                                | Sega                          | Sega Saturn | 1995 | Europe
|       | Virtual Open Tennis                                            | Acclaim                       | Sega Saturn | 1995 | Europe
|       | Virtual-On: Cyber Troopers                                     | Sega                          | Sega Saturn | 1996 | Europe
|       | Warcraft II: The Dark Saga                                     | Electronic Arts               | Sega Saturn | 1997 | Europe
|       | Whizz                                                          | Konami                        | Sega Saturn | 1997 | Europe
|       | Wing Arms                                                      | Sega                          | Sega Saturn | 1995 | Europe
|       | Winter Heat                                                    | Sega                          | Sega Saturn | 1997 | Europe
|       | WipEout                                                        | Psygnosis                     | Sega Saturn | 1996 | Europe
|       | Wipeout 2097                                                   | Psygnosis                     | Sega Saturn | 1997 | Europe
|       | World Cup Golf: Professional Edition                           | U.S. Gold                     | Sega Saturn | 1995 | Europe
|       | World League Soccer '98                                        | Sega                          | Sega Saturn | 1998 | Europe
|       | World Series Baseball                                          | Sega                          | Sega Saturn | 1995 | Europe
|       | World Series Baseball II                                       | Sega                          | Sega Saturn | 1996 | Europe
|       | Worms                                                          | Ocean                         | Sega Saturn | 1997 | Europe
|       | WWF In Your House                                              | Acclaim                       | Sega Saturn | 1997 | Europe
|       | WWF Wrestlemania: The Arcade Game                              | Acclaim                       | Sega Saturn | 1996 | Europe
|       | X-Men: Children of the Atom                                    | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Z                                                              | GT Interactive                | Sega Saturn | 1998 | Europe
