|       | Drake of the 99 Dragons                                                   | Majesco Games                          | Xbox   | 2003 | North America
|       | Dreamfall: The Longest Journey                                            | Aspyr                                  | Xbox   | 2006 | North America
|       | DRIV3R                                                                    | Atari                                  | Xbox   | 2004 | North America
|       | Driver: Parallel Lines                                                    | Atari                                  | Xbox   | 2006 | North America
|       | Dukes of Hazzard: Return of the General Lee, The                          | Ubisoft                                | Xbox   | 2004 | North America
|       | Dungeons & Dragons Heroes                                                 | Atari                                  | Xbox   | 2003 | North America
|       | Dynasty Warriors 3                                                        | Koei                                   | Xbox   | 2002 | North America
|       | Dynasty Warriors 4                                                        | Koei                                   | Xbox   | 2003 | North America
|       | Dynasty Warriors 5                                                        | Koei                                   | Xbox   | 2005 | North America
|       | Ed, Edd n Eddy: The Mis-Edventures                                        | Midway                                 | Xbox   | 2005 | North America
|       | Egg Mania: Eggstreme Madness                                              | Kemco                                  | Xbox   | 2002 | North America
|       | Elder Scrolls III: Morrowind - Game of the Year Edition, The              | Bethesda Softworks                     | Xbox   | 2003 | North America
|       | Elder Scrolls III: Morrowind, The                                         | Bethesda Softworks                     | Xbox   | 2002 | North America
|       | Enclave                                                                   | Conspiracy Entertainment               | Xbox   | 2002 | North America
|       | Enter the Matrix                                                          | Atari                                  | Xbox   | 2003 | North America
|       | Eragon                                                                    | Sierra Entertainment                   | Xbox   | 2006 | North America
|       | ESPN College Hoops                                                        | Sega                                   | Xbox   | 2003 | North America
|       | ESPN College Hoops 2K5                                                    | Sega                                   | Xbox   | 2004 | North America
|       | ESPN International Winter Sports 2002                                     | Konami                                 | Xbox   | 2002 | North America
|       | ESPN Major League Baseball                                                | Sega                                   | Xbox   | 2004 | North America
|       | ESPN MLS ExtraTime 2002                                                   | Konami                                 | Xbox   | 2002 | North America
|       | ESPN NBA 2K5                                                              | Sega                                   | Xbox   | 2004 | North America
|       | ESPN NBA 2Night 2002                                                      | Konami                                 | Xbox   | 2002 | North America
|       | ESPN NBA Basketball                                                       | Sega                                   | Xbox   | 2003 | North America
|       | ESPN NFL 2K5                                                              | Sega                                   | Xbox   | 2004 | North America
|       | ESPN NFL Football                                                         | Sega                                   | Xbox   | 2003 | North America
|       | ESPN NFL PrimeTime 2002                                                   | Konami                                 | Xbox   | 2002 | North America
|       | ESPN NHL 2K5                                                              | Sega                                   | Xbox   | 2004 | North America
|       | ESPN NHL Hockey                                                           | Sega                                   | Xbox   | 2003 | North America
|       | ESPN Winter X-Games Snowboarding 2002                                     | Konami                                 | Xbox   | 2002 | North America
|       | Evil Dead: A Fistful of Boomstick                                         | THQ                                    | Xbox   | 2003 | North America
|       | Evil Dead: Regeneration                                                   | THQ                                    | Xbox   | 2005 | North America
|       | F1 2001                                                                   | Electronic Arts                        | Xbox   | 2001 | North America
|       | Fable                                                                     | Microsoft Game Studios                 | Xbox   | 2004 | North America
|       | Fairly OddParents! Breakin' Da Rules, The                                 | THQ                                    | Xbox   | 2003 | North America
|       | Fallout: Brotherhood of Steel                                             | Interplay                              | Xbox   | 2004 | North America
|       | Family Guy                                                                | 2K Games                               | Xbox   | 2006 | North America
|       | Fantastic 4                                                               | Activision                             | Xbox   | 2005 | North America
|       | Far Cry Instincts                                                         | Ubisoft                                | Xbox   | 2005 | North America
|       | Far Cry Instincts Evolution                                               | Ubisoft                                | Xbox   | 2006 | North America
|       | Fatal Frame                                                               | Tecmo                                  | Xbox   | 2002 | North America
|       | Fatal Frame II: Crimson Butterfly Director's Cut                          | Tecmo                                  | Xbox   | 2004 | North America
|       | FIFA 07 Soccer                                                            | EA Sports                              | Xbox   | 2006 | North America
|       | FIFA Soccer 06                                                            | EA Sports                              | Xbox   | 2005 | North America
|       | FIFA Soccer 2003                                                          | EA Sports                              | Xbox   | 2002 | North America
|       | FIFA Soccer 2004                                                          | EA Sports                              | Xbox   | 2003 | North America
|       | FIFA Soccer 2005                                                          | EA Sports                              | Xbox   | 2004 | North America
|       | FIFA Street                                                               | EA Sports Big                          | Xbox   | 2005 | North America
|       | FIFA Street 2                                                             | EA Sports Big                          | Xbox   | 2006 | North America
|       | FIFA World Cup: Germany 2006                                              | Electronic Arts                        | Xbox   | 2006 | North America
|       | Fight Club                                                                | VU Games                               | Xbox   | 2004 | North America
|       | Fight Night 2004                                                          | EA Sports                              | Xbox   | 2004 | North America
|       | Fight Night Round 2                                                       | EA Sports                              | Xbox   | 2005 | North America
|       | Fight Night Round 3                                                       | EA Sports                              | Xbox   | 2006 | North America
|       | Final Fight: Streetwise                                                   | Capcom                                 | Xbox   | 2006 | North America
|       | Finding Nemo                                                              | THQ                                    | Xbox   | 2003 | North America
|       | Fire Blade                                                                | Midway                                 | Xbox   | 2002 | North America
|       | FlatOut                                                                   | Empire Interactive                     | Xbox   | 2005 | North America
