|       | Michael Jackson The Experience HD                                      | Ubisoft                                | PlayStation Vita | 2012 | North America
|       | Mind Zero                                                              | Aksys Games                            | PlayStation Vita | 2014 | North America
|       | Minecraft: PlayStation Vita Edition                                    | SCEA                                   | PlayStation Vita | 2014 | North America
|       | MLB 12: The Show                                                       | SCEA                                   | PlayStation Vita | 2012 | North America
|       | MLB 13: The Show                                                       | SCEA                                   | PlayStation Vita | 2013 | North America
|       | MLB 14: The Show                                                       | SCEA                                   | PlayStation Vita | 2014 | North America
|       | MLB 15: The Show                                                       | SCEA                                   | PlayStation Vita | 2015 | North America
|       | ModNation Racers: Road Trip                                            | SCEA                                   | PlayStation Vita | 2012 | North America
|       | Mortal Kombat                                                          | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | North America
|       | Muramasa Rebirth                                                       | Aksys Games                            | PlayStation Vita | 2013 | North America
|       | Mutant Mudds Deluxe                                                    | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Mutant Mudds: Super Challenge                                          | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Mystery Chronicle: One Way Heroics                                     | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Natural Doctrine                                                       | NIS America                            | PlayStation Vita | 2014 | North America
|       | Need for Speed: Most Wanted - A Criterion Game                         | Electronic Arts                        | PlayStation Vita | 2012 | North America
|       | Nights of Azure 2                                                      | Koei Tecmo Games                       | PlayStation Vita | 2017 | North America
|       | Ninja Gaiden Sigma 2 Plus                                              | Tecmo Koei America Corp.               | PlayStation Vita | 2013 | North America
|       | Ninja Gaiden Sigma Plus                                                | Tecmo Koei America Corp.               | PlayStation Vita | 2012 | North America
|       | Norn9: Var Commons                                                     | Aksys Games                            | PlayStation Vita | 2015 | North America
|       | NOVA-111                                                               | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Oceanhorn: Monster of Uncharted Seas                                   | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Octodad: Dadliest Catch                                                | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Oddworld: Abe's Oddysee - New 'n' Tasty                                | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Oddworld: Stranger's Wrath HD                                          | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Odin Sphere Leifthrasir                                                | ATLUS                                  | PlayStation Vita | 2016 | North America
|       | One Piece: Unlimited World Red                                         | Bandai Namco Games                     | PlayStation Vita | 2014 | North America
|       | Operation Abyss: New Tokyo Legacy                                      | NIS America                            | PlayStation Vita | 2015 | North America
|       | Operation Babel: New Tokyo Legacy                                      | NIS America                            | PlayStation Vita | 2017 | North America
|       | Penny-Punching Princess                                                | NIS America                            | PlayStation Vita | 2018 | North America
|       | Period: Cube - Shackles of Amadeus                                     | Aksys Games                            | PlayStation Vita | 2017 | North America
|       | Persona 4 Golden                                                       | ATLUS                                  | PlayStation Vita | 2012 | North America
|       | Persona 4: Dancing All Night                                           | ATLUS                                  | PlayStation Vita | 2015 | North America
|       | Plague Road                                                            | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | PlayStation All-Stars Battle Royale                                    | SCEA                                   | PlayStation Vita | 2012 | North America
|       | Psychedelica of the Ashen Hawk                                         | Aksys Games                            | PlayStation Vita | 2018 | North America
|       | Psychedelica of the Black Butterfly                                    | Aksys Games                            | PlayStation Vita | 2018 | North America
|       | Psycho-Pass: Mandatory Happiness                                       | NIS America                            | PlayStation Vita | 2016 | North America
|       | Putty Squad                                                            | Maximum Games                          | PlayStation Vita | 2014 | North America
|       | Ragnarok Odyssey                                                       | Xseed Games                            | PlayStation Vita | 2012 | North America
|       | Ragnarok Odyssey ACE                                                   | Xseed Games                            | PlayStation Vita | 2014 | North America
|       | Rainbow Moon                                                           | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Rayman Legends                                                         | Ubisoft                                | PlayStation Vita | 2013 | North America
|       | Rayman Origins                                                         | Ubisoft                                | PlayStation Vita | 2012 | North America
|       | Reality Fighters                                                       | SCEA                                   | PlayStation Vita | 2012 | North America
|       | Resistance: Burning Skies                                              | SCEA                                   | PlayStation Vita | 2012 | North America
|       | Retro City Rampage DX                                                  | Vblank Entertainment Inc.              | PlayStation Vita | 2015 | North America
|       | Ridge Racer                                                            | Namco Bandai Games                     | PlayStation Vita | 2012 | North America
|       | Risk of Rain                                                           | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Root Letter                                                            | PQube                                  | PlayStation Vita | 2016 | North America
|       | Samurai & Dragons                                                      | Sega                                   | PlayStation Vita | 2017 | North America
|       | Saturday Morning RPG                                                   | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Secret of Mana                                                         | Square Enix                            | PlayStation Vita | 2018 | North America
|       | Senran Kagura Shinovi Versus                                           | Xseed Games                            | PlayStation Vita | 2014 | North America
|       | Senran Kagura: Estival Versus                                          | Xseed Games                            | PlayStation Vita | 2016 | North America
|       | Shantae: Half-Genie Hero                                               | Xseed Games                            | PlayStation Vita | 2016 | North America
|       | Shinobido 2: Revenge of Zen                                            | Namco Bandai Games America             | PlayStation Vita | 2012 | North America
|       | Shiren the Wanderer: The Tower of Fortune and the Dice of Fate         | Aksys Games                            | PlayStation Vita | 2016 | North America
|       | Shovel Knight                                                          | Fangamer                               | PlayStation Vita | 2016 | North America
|       | Silent Hill: Book of Memories                                          | Konami                                 | PlayStation Vita | 2012 | North America
|       | Skullgirls: 2nd Encore                                                 | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Sly Collection, The                                                    | SCEA                                   | PlayStation Vita | 2014 | North America
|       | Sly Cooper: Thieves in Time                                            | SCEA                                   | PlayStation Vita | 2013 | North America
|       | Smart As...                                                            | SCEA                                   | PlayStation Vita | 2012 | North America
|       | Soldner-X 2: Final Prototype                                           | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Sonic & All-Stars Racing Transformed                                   | Sega                                   | PlayStation Vita | 2012 | North America
