|       | Exciting Bass Mobile                                                                              | Konami                       | Game Boy Advance | 2001 | Japan
|       | Eyeshield 21: DevilBats DevilDays                                                                 | Nintendo                     | Game Boy Advance | 2006 | Japan
|       | EZ-Talk Shokyuuhen 1                                                                              | Keynet                       | Game Boy Advance | 2001 | Japan
|       | EZ-Talk Shokyuuhen 1-6 Kan Set                                                                    | Keynet                       | Game Boy Advance | 2001 | Japan
|       | EZ-Talk Shokyuuhen 2                                                                              | Keynet                       | Game Boy Advance | 2001 | Japan
|       | EZ-Talk Shokyuuhen 3                                                                              | Keynet                       | Game Boy Advance | 2001 | Japan
|       | EZ-Talk Shokyuuhen 4                                                                              | Keynet                       | Game Boy Advance | 2001 | Japan
|       | EZ-Talk Shokyuuhen 5                                                                              | Keynet                       | Game Boy Advance | 2001 | Japan
|       | EZ-Talk Shokyuuhen 6                                                                              | Keynet                       | Game Boy Advance | 2001 | Japan
|       | F-Zero                                                                                            | Nintendo                     | Game Boy Advance | 2001 | Japan
|       | F-Zero Climax                                                                                     | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | F-Zero: Falcon Densetsu                                                                           | Nintendo                     | Game Boy Advance | 2003 | Japan
|       | Famicom Mini: Akumajou Dracula                                                                    | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Balloon Fight                                                                       | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Bomberman                                                                           | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Clu Clu Land                                                                        | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Dai-2-Ji Super Robot Taisen                                                         | Banpresto                    | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Dig Dug                                                                             | Namco                        | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Donkey Kong                                                                         | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Dr. Mario                                                                           | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Excitebike                                                                          | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Famicom Mukashi Banashi - Shin Onigashima Zenkouhen                                 | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen                                     | Nintendo                     | Game Boy Advance | 2004 | Japan
