|       | Bust-A-Move 3 DX                                                                                       | Acclaim                             | PlayStation | 1998 | Europe
|       | Bust-A-Move 4                                                                                          | Acclaim                             | PlayStation | 1999 | Europe
|       | Buster and the Beanstalk                                                                               | SCEE                                | PlayStation | 1999 | Europe
|       | Buttsubushi                                                                                            | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Buzz Lightyear of Star Command                                                                         | Activision                          | PlayStation | 2001 | Europe
|       | C-12: Final Resistance                                                                                 | SCEE                                | PlayStation | 2001 | Europe
|       | C3 Racing: Car Constructors Championship                                                               | Infogrames                          | PlayStation | 1998 | Europe
|       | Caesars Palace                                                                                         | Interplay                           | PlayStation | 1998 | Europe
|       | Caesars Palace 2000: Millennium Gold Edition                                                           | Interplay                           | PlayStation | 2000 | Europe
|       | Caesars Palace II                                                                                      | Interplay                           | PlayStation | 1998 | Europe
|       | California Surfing                                                                                     | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | California Watersports                                                                                 | Midas Interactive Entertainment     | PlayStation | 2001 | Europe
|       | Canal+ Premier Manager                                                                                 | Infogrames                          | PlayStation | 2000 | Europe
|       | Capcom Generations                                                                                     | Virgin Interactive                  | PlayStation | 1999 | Europe
|       | Capcom vs. SNK Millennium Fight 2000 Pro                                                               | Capcom                              | PlayStation | 2002 | Europe
|       | Card Shark                                                                                             | Midas Interactive Entertainment     | PlayStation | 2001 | Europe
|       | Cardinal Syn                                                                                           | SCEE                                | PlayStation | 1998 | Europe
|       | Carmageddon                                                                                            | Virgin Interactive                  | PlayStation | 1999 | Europe
|       | Carnage Heart                                                                                          | SCEE                                | PlayStation | 1997 | Europe
|       | Casper                                                                                                 | Interplay                           | PlayStation | 1996 | Europe
|       | Casper: Friends Around the World                                                                       | TDK Core                            | PlayStation | 2000 | Europe
|       | Castlevania Chronicles                                                                                 | Konami                              | PlayStation | 2001 | Europe
|       | Castlevania: Symphony of the Night                                                                     | Konami                              | PlayStation | 1997 | Europe
|       | Castrol Honda Superbike Racing                                                                         | THQ                                 | PlayStation | 1999 | Europe
|       | Castrol Honda World Superbike Team VTR                                                                 | Midas Interactive Entertainment     | PlayStation | 2001 | Europe
|       | Catan: Die Erste Insel                                                                                 | Ravensburger Interactive Media GmbH | PlayStation | 2001 | Europe
|       | Centipede                                                                                              | Hasbro Interactive                  | PlayStation | 1999 | Europe
|       | Championship Bass                                                                                      | Electronic Arts                     | PlayStation | 2000 | Europe
|       | Championship Manager Quiz                                                                              | Eidos Interactive                   | PlayStation | 2001 | Europe
|       | Championship Motocross 2001 featuring Ricky Carmichael                                                 | THQ                                 | PlayStation | 2001 | Europe
|       | Championship Motocross Featuring Ricky Carmichael                                                      | THQ                                 | PlayStation | 1999 | Europe
|       | Championship Surfer                                                                                    | Mattel                              | PlayStation | 2001 | Europe
|       | Chaos Break                                                                                            | EON Digital Entertainment           | PlayStation | 2000 | Europe
|       | Chase the Express                                                                                      | SCEE                                | PlayStation | 2000 | Europe
|       | Check Mate                                                                                             | Midas Interactive Entertainment     | PlayStation | 2001 | Europe
|       | Checkmate II                                                                                           | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Cheesy                                                                                                 | Ocean                               | PlayStation | 1996 | Europe
|       | Chessmaster 3-D, The                                                                                   | Mindscape                           | PlayStation | 1996 | Europe
