|       | GTI Club World: City Race                                                                | Konami                     | Nintendo Wii | 2010 | Japan
|       | Guilty Gear XX Accent Core                                                               | Arc System Works           | Nintendo Wii | 2007 | Japan
|       | Guitar Hero III: Legends of Rock                                                         | Activision                 | Nintendo Wii | 2008 | Japan
|       | Guitar Hero: Aerosmith on Tour                                                           | Activision                 | Nintendo Wii | 2008 | Japan
|       | Hagane no Renkinjutsushi: Fullmetal Alchemist - Akatsuki no Ouji                         | Square Enix                | Nintendo Wii | 2009 | Japan
|       | Hajime no Ippo Revolution                                                                | AQ Interactive             | Nintendo Wii | 2007 | Japan
|       | Hajimete no Wii                                                                          | Nintendo                   | Nintendo Wii | 2006 | Japan
|       | Haneru no Tobira Wii: Girigirissu                                                        | Bandai Namco Games         | Nintendo Wii | 2007 | Japan
|       | Happy Dance Collection                                                                   | Bandai Namco Games         | Nintendo Wii | 2008 | Japan
|       | Harry Potter to Fushichou no Kishidan                                                    | EA Games                   | Nintendo Wii | 2007 | Japan
|       | Harukanaru Toki no Naka de 4                                                             | Koei                       | Nintendo Wii | 2008 | Japan
|       | Hataraku Hito                                                                            | Hudson                     | Nintendo Wii | 2008 | Japan
|       | High School Musical DANCE!                                                               | Disney Interactive Studios | Nintendo Wii | 2009 | Japan
|       | Hoshi no Kirby Wii                                                                       | Nintendo                   | Nintendo Wii | 2011 | Japan
|       | Hoshi no Kirby: 20-Shuunen Special Collection                                            | Nintendo                   | Nintendo Wii | 2012 | Japan
|       | HOSPITAL. 6-nin no Ishi                                                                  | ATLUS                      | Nintendo Wii | 2010 | Japan
|       | House of the Dead 2 & 3 Return, The                                                      | Sega                       | Nintendo Wii | 2008 | Japan
|       | House of the Dead: Overkill, The                                                         | Sega                       | Nintendo Wii | 2009 | Japan
|       | Hula Wii: Hula de Hajimeru - Bi to Kenkou!                                               | MileStone Inc.             | Nintendo Wii | 2008 | Japan
|       | Hula Wii: Motto Jouzu no Fura o Odorou!!                                                 | MileStone Inc.             | Nintendo Wii | 2009 | Japan
|       | Ikenie no Yoru                                                                           | Marvelous Entertainment    | Nintendo Wii | 2011 | Japan
|       | Illvelo Wii: Illmatic Envelope                                                           | MileStone Inc.             | Nintendo Wii | 2008 | Japan
|       | Imabikisou: Kaimei Hen                                                                   | Sega                       | Nintendo Wii | 2008 | Japan
|       | Inazuma Eleven Go: Strikers 2013                                                         | Level 5                    | Nintendo Wii | 2012 | Japan
|       | Inazuma Eleven Strikers                                                                  | Level 5                    | Nintendo Wii | 2011 | Japan
|       | Inazuma Eleven Strikers 2012 Xtreme                                                      | Level 5                    | Nintendo Wii | 2011 | Japan
|       | Isometric & Karate Exercise: Wii de Kotsuban Fitness                                     | IE Institute               | Nintendo Wii | 2009 | Japan
|       | Issho ni Asobu! Dream Theme Park                                                         | Bandai Namco Games         | Nintendo Wii | 2011 | Japan
|       | Itadaki Street Wii                                                                       | Square Enix                | Nintendo Wii | 2011 | Japan
|       | Ivy the Kiwi?                                                                            | Bandai Namco Games         | Nintendo Wii | 2010 | Japan
|       | Jawa: Mammoth to Himitsu no Ishi                                                         | Spike                      | Nintendo Wii | 2008 | Japan
|       | Jigsaw Puzzle: Kyou no Wanko                                                             | Hudson                     | Nintendo Wii | 2007 | Japan
|       | Jikkyou Powerful Major League 2 Wii                                                      | Konami                     | Nintendo Wii | 2007 | Japan
|       | Jikkyou Powerful Major League 2009                                                       | Konami                     | Nintendo Wii | 2009 | Japan
|       | Jikkyou Powerful Major League 3                                                          | Konami                     | Nintendo Wii | 2008 | Japan
