|       | C.O.R.E.                                                                           | Graffiti Entertainment                 | Nintendo DS | 2009 | Europe
|       | Cake Mania                                                                         | Majesco                                | Nintendo DS | 2007 | Europe
|       | Cake Mania 2: Jill's Next Adventure!                                               | Majesco                                | Nintendo DS | 2009 | Europe
|       | Call of Atlantis                                                                   | Foreign Media                          | Nintendo DS | 2010 | Europe
|       | Call of Duty 4: Modern Warfare                                                     | Activision                             | Nintendo DS | 2007 | Europe
|       | Call of Duty: Black Ops                                                            | Activision                             | Nintendo DS | 2010 | Europe
|       | Call of Duty: Modern Warfare - Mobilized                                           | Activision                             | Nintendo DS | 2009 | Europe
|       | Call of Duty: Modern Warfare 3 - Defiance                                          | Activision                             | Nintendo DS | 2011 | Europe
|       | Call of Duty: World at War                                                         | Activision                             | Nintendo DS | 2008 | Europe
|       | Captain America: Super Soldier                                                     | Sega                                   | Nintendo DS | 2011 | Europe
|       | Captain Morgane and the Golden Turtle                                              | Reef Entertainment                     | Nintendo DS | 2012 | Europe
|       | Captain Tsubasa: New Kick Off                                                      | Konami                                 | Nintendo DS | 2010 | Europe
|       | Card Games: The Classics                                                           | Deep Silver                            | Nintendo DS | 2012 | Europe
|       | Carnival Funfair Games                                                             | 2K Play                                | Nintendo DS | 2008 | Europe
|       | Cars                                                                               | THQ                                    | Nintendo DS | 2006 | Europe
|       | Cars Mater-National Championship                                                   | THQ                                    | Nintendo DS | 2007 | Europe
|       | Cars Race-O-Rama                                                                   | THQ                                    | Nintendo DS | 2009 | Europe
|       | Cartoon Network Racing                                                             | The Game Factory                       | Nintendo DS | 2007 | Europe
|       | Casper's Scare School: Classroom Capers                                            | Blast! Entertainment Ltd               | Nintendo DS | 2008 | Europe
|       | Casper's Scare School: Spooky Sports Day                                           | Blast! Entertainment Ltd               | Nintendo DS | 2009 | Europe
|       | Castlevania: Dawn of Sorrow                                                        | Konami                                 | Nintendo DS | 2005 | Europe
|       | Castlevania: Order of Ecclesia                                                     | Konami                                 | Nintendo DS | 2009 | Europe
|       | Castlevania: Portrait of Ruin                                                      | Konami                                 | Nintendo DS | 2007 | Europe
|       | Casual Classics                                                                    | Media Sales & Licensing                | Nintendo DS | 2010 | Europe
|       | Casual Mania                                                                       | Foreign Media                          | Nintendo DS | 2010 | Europe
|       | Catan: Die Erste Insel                                                             | cdv Software                           | Nintendo DS | 2009 | Europe
|       | Cate West: The Vanishing Files                                                     | Destineer                              | Nintendo DS | 2009 | Europe
|       | Cats & Dogs: The Revenge of Kitty Galore - The Videogame                           | 505 Games                              | Nintendo DS | 2010 | Europe
|       | Catz                                                                               | Ubisoft                                | Nintendo DS | 2006 | Europe
|       | Catz 2                                                                             | Ubisoft                                | Nintendo DS | 2007 | Europe
|       | Chainz Galaxy                                                                      | Avanquest Software                     | Nintendo DS | 2011 | Europe
|       | Challenge Me Kids: Brain Games                                                     | O-Games                                | Nintendo DS | 2011 | Europe
|       | Challenge Me Kids: Brain Trainer                                                   | O-Games                                | Nintendo DS | 2011 | Europe
|       | Challenge Me: Brain Puzzles                                                        | Oxygen Interactive                     | Nintendo DS | 2009 | Europe
|       | Challenge Me: Brain Puzzles 2                                                      | O-Games                                | Nintendo DS | 2010 | Europe
|       | Challenge Me: Maths Workout                                                        | Oxygen Interactive                     | Nintendo DS | 2009 | Europe
|       | Challenge Me: Word Puzzles                                                         | O-Games                                | Nintendo DS | 2011 | Europe
|       | Charlotte's Web                                                                    | Sega                                   | Nintendo DS | 2007 | Europe
|       | Charm Girls Club My Fashion Mall                                                   | Electronic Arts                        | Nintendo DS | 2017 | Europe
|       | Charm Girls Club My Fashion Show                                                   | Electronic Arts                        | Nintendo DS | 2017 | Europe
|       | Chase: Felix Meets Felicity, The                                                   | Atari SA                               | Nintendo DS | 2009 | Europe
|       | Chess                                                                              | DTP Entertainment                      | Nintendo DS | 2007 | Europe
|       | Chessmaster: The Art of Learning                                                   | Ubisoft                                | Nintendo DS | 2007 | Europe
|       | Chicken Blaster                                                                    | Zushi Games Ltd                        | Nintendo DS | 2010 | Europe
|       | Chicken Shoot                                                                      | Zoo Digital Publishing                 | Nintendo DS | 2007 | Europe
|       | Children of Mana                                                                   | Nintendo                               | Nintendo DS | 2007 | Europe
|       | Chronicles of Mystery: Curse of the Ancient Temple                                 | City Interactive                       | Nintendo DS | 2009 | Europe
|       | Chronicles of Mystery: The Secret Tree of Life                                     | City Interactive                       | Nintendo DS | 2011 | Europe
|       | Chronicles of Narnia: Prince Caspian, The                                          | Disney Interactive Studios             | Nintendo DS | 2008 | Europe
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The                    | Disney Interactive Studios             | Nintendo DS | 2005 | Europe
|       | Chrono Trigger                                                                     | Square Enix                            | Nintendo DS | 2009 | Europe
|       | Chronos Twins                                                                      | Oxygen Interactive                     | Nintendo DS | 2007 | Europe
|       | City Life DS                                                                       | Ubisoft                                | Nintendo DS | 2009 | Europe
|       | Classic Games: Premium Selection                                                   | Foreign Media                          | Nintendo DS | 2010 | Europe
|       | Classic Word Games                                                                 | Ubisoft                                | Nintendo DS | 2009 | Europe
|       | Clever Kids: Creepy Crawlies                                                       | Midas Interactive Entertainment        | Nintendo DS | 2009 | Europe
|       | Clever Kids: Dino Land                                                             | Midas Interactive Entertainment        | Nintendo DS | 2007 | Europe
|       | Clever Kids: Farmyard Fun                                                          | Midas Interactive Entertainment        | Nintendo DS | 2008 | Europe
|       | Clever Kids: Pet Store                                                             | Midas Interactive Entertainment        | Nintendo DS | 2009 | Europe
|       | Clever Kids: Pirates                                                               | Midas Interactive Entertainment        | Nintendo DS | 2008 | Europe
|       | Clever Kids: Pony World                                                            | Midas Interactive Entertainment        | Nintendo DS | 2007 | Europe
|       | clever! Das Spiel, das Wissen schafft                                              | SevenOne Intermedia                    | Nintendo DS | 2008 | Europe
|       | Clique: Queen Teen, The                                                            | Warner Bros. Interactive Entertainment | Nintendo DS | 2009 | Europe
|       | Cloudy With a Chance of Meatballs                                                  | Ubisoft                                | Nintendo DS | 2009 | Europe
|       | Cloudy With a Chance of Meatballs 2                                                | Avanquest Software                     | Nintendo DS | 2013 | Europe
|       | Club Penguin: Elite Penguin Force                                                  | Disney Interactive Studios             | Nintendo DS | 2009 | Europe
|       | Cocoto Kart Racer                                                                  | BigBen Interactive                     | Nintendo DS | 2005 | Europe
|       | Code de la Route: Edition 2008                                                     | Micro Application                      | Nintendo DS | 2007 | Europe
|       | Code Lyoko                                                                         | The Game Factory                       | Nintendo DS | 2007 | Europe
|       | Code Lyoko: Fall of X.A.N.A.                                                       | The Game Factory                       | Nintendo DS | 2008 | Europe
|       | Colin McRae: DiRT 2                                                                | Codemasters                            | Nintendo DS | 2009 | Europe
|       | Colour Cross                                                                       | Rising Star Games                      | Nintendo DS | 2008 | Europe
|       | Combat of Giants: Dinosaurs                                                        | Ubisoft                                | Nintendo DS | 2008 | Europe
|       | Combat of Giants: Dragons                                                          | Ubisoft                                | Nintendo DS | 2009 | Europe
|       | Combat of Giants: Mutant Insects                                                   | Ubisoft                                | Nintendo DS | 2010 | Europe
|       | Command And Destroy                                                                | Zoo Digital Publishing                 | Nintendo DS | 2008 | Europe
|       | Commando: Steel Disaster                                                           | Lexicon Entertainment                  | Nintendo DS | 2008 | Europe
|       | Contact                                                                            | Rising Star Games                      | Nintendo DS | 2007 | Europe
|       | Cookie & Cream                                                                     | 505 Games                              | Nintendo DS | 2007 | Europe
