|       | Farming Simulator 14: Pocket Nouen 2                                                                 | Intergrow                              | PlayStation Vita | 2014 | Japan
|       | Farming Simulator 16: Pocket Nouen 3                                                                 | Intergrow                              | PlayStation Vita | 2016 | Japan
|       | Fata Morgana no Kan                                                                                  | dramatic create                        | PlayStation Vita | 2017 | Japan
|       | Fate/Extella                                                                                         | Marvelous Inc.                         | PlayStation Vita | 2016 | Japan
|       | Fate/hollow ataraxia                                                                                 | Kadokawa                               | PlayStation Vita | 2014 | Japan
|       | Fate/Stay Night [Realta Nua]                                                                         | Kadokawa                               | PlayStation Vita | 2012 | Japan
|       | FIFA 13: World Class Soccer                                                                          | EA Sports                              | PlayStation Vita | 2012 | Japan
|       | FIFA 14                                                                                              | EA Sports                              | PlayStation Vita | 2013 | Japan
|       | FIFA 15                                                                                              | Electronic Arts                        | PlayStation Vita | 2014 | Japan
|       | FIFA World Class Soccer                                                                              | Electronic Arts                        | PlayStation Vita | 2012 | Japan
|       | Final Fantasy X / X-2 HD Remaster                                                                    | Square Enix                            | PlayStation Vita | 2013 | Japan
|       | Final Fantasy X HD Remaster                                                                          | Square Enix                            | PlayStation Vita | 2013 | Japan
|       | Final Fantasy X-2 HD Remaster                                                                        | Square Enix                            | PlayStation Vita | 2013 | Japan
|       | Firis no Atelier: Fushigi na Tabi no Renkinjutsushi                                                  | Koei Tecmo Games                       | PlayStation Vita | 2016 | Japan
|       | Flowers                                                                                              | Prototype                              | PlayStation Vita | 2014 | Japan
|       | Flowers: Natsu-Hen                                                                                   | Prototype                              | PlayStation Vita | 2015 | Japan
|       | Flowers: Toki-Hen                                                                                    | Prototype                              | PlayStation Vita | 2016 | Japan
|       | Freedom Wars                                                                                         | SCEI                                   | PlayStation Vita | 2014 | Japan
|       | Friend to Lover                                                                                      | Kaga Create                            | PlayStation Vita | 2015 | Japan
|       | Furuiro Meikyuu Rondo: La Roue de fortune                                                            | Yeti                                   | PlayStation Vita | 2013 | Japan
|       | Fushigi no Chronicle: Furikaerimasen Katsu Madewa                                                    | Spike Chunsoft                         | PlayStation Vita | 2015 | Japan
|       | Fushigi no Dungeon: Fuurai no Shiren 5 Plus - Fortune Tower to Unmei no Dice                         | Spike Chunsoft                         | PlayStation Vita | 2015 | Japan
|       | Fushigi no Gensoukyou: The Tower of Desire                                                           | Mediascape                             | PlayStation Vita | 2015 | Japan
|       | Futagoza no Paradox                                                                                  | Entergram                              | PlayStation Vita | 2017 | Japan
|       | Fuuraiki 3                                                                                           | Nippon Ichi Software                   | PlayStation Vita | 2015 | Japan
|       | Gakuen Heaven 2: Double Scramble                                                                     | Prototype                              | PlayStation Vita | 2015 | Japan
|       | Gakuen Heaven: Boy's Love Scramble!                                                                  | Prototype                              | PlayStation Vita | 2015 | Japan
|       | Gakuen K: Wonderful School Days V Edition                                                            | Idea Factory                           | PlayStation Vita | 2015 | Japan
|       | Gakusen Toshi Asterisk Festa: Houka Kenran                                                           | Bandai Namco Games                     | PlayStation Vita | 2016 | Japan
|       | Gal*Gun: Double Peace                                                                                | Experience Inc.                        | PlayStation Vita | 2015 | Japan
|       | Geki Jigen Tag: Blanc + Neptune VS Zombie Gundan                                                     | Compile Heart                          | PlayStation Vita | 2015 | Japan
