|       | Captain America: Super Soldier                                          | Sega                                   | Nintendo DS | 2011 | North America
|       | Carnival Games                                                          | 2K Play                                | Nintendo DS | 2008 | North America
|       | Cars                                                                    | THQ                                    | Nintendo DS | 2006 | North America
|       | Cars 2: The Video Game                                                  | Disney Interactive Studios             | Nintendo DS | 2011 | North America
|       | Cars Mater-National Championship                                        | THQ                                    | Nintendo DS | 2007 | North America
|       | Cars Race-O-Rama                                                        | THQ                                    | Nintendo DS | 2009 | North America
|       | Cartoon Network Racing                                                  | The Game Factory                       | Nintendo DS | 2006 | North America
|       | Casper's Scare School: Classroom Capers                                 | Crave                                  | Nintendo DS | 2010 | North America
|       | Casper's Scare School: Spooky Sports Day                                | Crave                                  | Nintendo DS | 2010 | North America
|       | Castlevania: Dawn of Sorrow                                             | Konami                                 | Nintendo DS | 2005 | North America
|       | Castlevania: Order of Ecclesia                                          | Konami                                 | Nintendo DS | 2008 | North America
|       | Castlevania: Portrait of Ruin                                           | Konami                                 | Nintendo DS | 2006 | North America
|       | Casual Mania!                                                           | Destineer                              | Nintendo DS | 2010 | North America
|       | Cate West: The Vanishing Files                                          | Destineer                              | Nintendo DS | 2008 | North America
|       | Cats & Dogs: The Revenge of Kitty Galore                                | 505 Games                              | Nintendo DS | 2010 | North America
|       | Catz                                                                    | Ubisoft                                | Nintendo DS | 2006 | North America
|       | Cesar Millan's Dog Whisperer                                            | Ubisoft                                | Nintendo DS | 2008 | North America
|       | Challenge Me: Brain Puzzles                                             | Oxygen Interactive                     | Nintendo DS | 2009 | North America
|       | Challenge Me: Brain Puzzles 2                                           | O-Games                                | Nintendo DS | 2010 | North America
|       | Challenge Me: Math Workout                                              | O-Games                                | Nintendo DS | 2009 | North America
|       | Challenge Me: Word Puzzles                                              | O-Games                                | Nintendo DS | 2011 | North America
|       | Chameleon                                                               | UFO Interactive                        | Nintendo DS | 2007 | North America
|       | Championship Pony                                                       | DSI Games                              | Nintendo DS | 2008 | North America
|       | Chaotic: Shadow Warriors                                                | Activision                             | Nintendo DS | 2009 | North America
|       | Charlotte's Web                                                         | Sega                                   | Nintendo DS | 2006 | North America
|       | Charm Girls Club My Fashion Mall                                        | Electronic Arts                        | Nintendo DS | 2009 | North America
|       | Charm Girls Club My Fashion Show                                        | Electronic Arts                        | Nintendo DS | 2009 | North America
|       | Charm Girls Club My Perfect Prom                                        | Electronic Arts                        | Nintendo DS | 2009 | North America
|       | Chase: Felix Meets Felicity, The                                        | Atari                                  | Nintendo DS | 2009 | North America
|       | Cheer We Go!                                                            | Natsume                                | Nintendo DS | 2010 | North America
|       | Cheetah Girls: Passport to Stardom, The                                 | Disney Interactive Studios             | Nintendo DS | 2008 | North America
|       | Cheetah Girls: Pop Star Sensations, The                                 | Buena Vista Games                      | Nintendo DS | 2007 | North America
|       | Chessmaster: The Art of Learning                                        | Ubisoft                                | Nintendo DS | 2007 | North America
|       | Chevrolet Camaro: Wild Ride                                             | CokeM Interactive                      | Nintendo DS | 2010 | North America
|       | Chibi-Robo: Park Patrol                                                 | Nintendo                               | Nintendo DS | 2007 | North America
|       | Chicken Blaster                                                         | Zoo Games                              | Nintendo DS | 2009 | North America
|       | Chicken Hunter                                                          | MumboJumbo                             | Nintendo DS | 2008 | North America
|       | Chicken Little: Ace in Action                                           | Buena Vista Games                      | Nintendo DS | 2006 | North America
|       | Chicken Shoot                                                           | DSI Games                              | Nintendo DS | 2007 | North America
|       | Children of Mana                                                        | Nintendo                               | Nintendo DS | 2006 | North America
|       | Chocolatier                                                             | Zoo Games                              | Nintendo DS | 2010 | North America
|       | Chronicles of Mystery: Curse of the Ancient Temple                      | City Interactive                       | Nintendo DS | 2009 | North America
|       | Chronicles of Mystery: The Secret Tree of Life                          | City Interactive                       | Nintendo DS | 2011 | North America
|       | Chronicles of Narnia: Prince Caspian, The                               | Disney Interactive Studios             | Nintendo DS | 2008 | North America
