|       | I-Ninja                                                             | Namco                                  | Nintendo GameCube | 2003 | North America
|       | Ice Age 2: The Meltdown                                             | Vivendi Games                          | Nintendo GameCube | 2006 | North America
|       | Ikaruga                                                             | Atari                                  | Nintendo GameCube | 2003 | North America
|       | Incredible Hulk: Ultimate Destruction, The                          | VU Games                               | Nintendo GameCube | 2005 | North America
|       | Incredibles, The                                                    | THQ                                    | Nintendo GameCube | 2004 | North America
|       | Incredibles: Rise of the Underminer, The                            | THQ                                    | Nintendo GameCube | 2005 | North America
|       | Intellivision Lives!                                                | Crave                                  | Nintendo GameCube | 2004 | North America
|       | Interactive Multi-Game Demo Disc August 2002                        | Nintendo                               | Nintendo GameCube | 2002 | North America
|       | Interactive Multi-Game Demo Disc January 2002                       | Nintendo                               | Nintendo GameCube | 2002 | North America
|       | Interactive Multi-Game Demo Disc July 2002                          | Nintendo                               | Nintendo GameCube | 2002 | North America
|       | Interactive Multi-Game Demo Disc June 2002                          | Nintendo                               | Nintendo GameCube | 2002 | North America
|       | Interactive Multi-Game Demo Disc March 2002                         | Nintendo                               | Nintendo GameCube | 2002 | North America
|       | Interactive Multi-Game Demo Disc Version 10                         | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Interactive Multi-Game Demo Disc Version 11                         | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Interactive Multi-Game Demo Disc Version 12                         | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Interactive Multi-Game Demo Disc Version 13                         | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Interactive Multi-Game Demo Disc Version 14                         | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Interactive Multi-Game Demo Disc Version 15                         | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Interactive Multi-Game Demo Disc Version 16                         | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Interactive Multi-Game Demo Disc Version 17                         | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Interactive Multi-Game Demo Disc Version 18                         | Nintendo                               | Nintendo GameCube | 2004 | North America
