|       | Densha de Go! EX                                                                                      | Taito Corporation             | Sega Saturn | 1998 | Japan
|       | Derby Analyst                                                                                         | Media Entertainment           | Sega Saturn | 1997 | Japan
|       | Derby Stallion                                                                                        | ASCII Entertainment           | Sega Saturn | 1999 | Japan
|       | Deron Dero Dero                                                                                       | Tecmo                         | Sega Saturn | 1996 | Japan
|       | Desire                                                                                                | Imadio                        | Sega Saturn | 1997 | Japan
|       | Destruction Derby                                                                                     | Soft Bank                     | Sega Saturn | 1996 | Japan
|       | Detana TwinBee Yahho! Deluxe Pack                                                                     | Konami                        | Sega Saturn | 1995 | Japan
|       | DeviceReign                                                                                           | Media Works                   | Sega Saturn | 1999 | Japan
|       | Devil Summoner: Soul Hackers                                                                          | ATLUS                         | Sega Saturn | 1997 | Japan
|       | Devil Summoner: Soul Hackers - Akuma Zensho Dainishuu                                                 | ATLUS                         | Sega Saturn | 1997 | Japan
|       | Devil Summoner: Soul Hackers Extra Dungeon                                                            | ATLUS                         | Sega Saturn | 1997 | Japan
|       | Dezaemon 2                                                                                            | Athena                        | Sega Saturn | 1997 | Japan
|       | Die Hard Trilogy                                                                                      | Sega                          | Sega Saturn | 1997 | Japan
|       | Digital Ange: Dennou Tenshi SS                                                                        | Tokuma Shoten                 | Sega Saturn | 1997 | Japan
|       | Digital Dance Mix Vol. 1: Namie Amuro                                                                 | Sega                          | Sega Saturn | 1997 | Japan
|       | Digital Monster Ver. S: Digimon Tamers                                                                | Bandai                        | Sega Saturn | 1998 | Japan
|       | Digital Pinball: Last Gladiators                                                                      | Kaze                          | Sega Saturn | 1995 | Japan
|       | Digital Pinball: Last Gladiators Ver. 9.7                                                             | Kaze                          | Sega Saturn | 1997 | Japan
|       | Digital Pinball: Necronomicon                                                                         | Kaze                          | Sega Saturn | 1996 | Japan
|       | Disc Station Bessatsu i: I Miss You.                                                                  | Compile                       | Sega Saturn | 1997 | Japan
|       | Discworld                                                                                             | Psygnosis                     | Sega Saturn | 1996 | Japan
|       | DJ Wars                                                                                               | Spike                         | Sega Saturn | 1997 | Japan
|       | DoDonPachi                                                                                            | ATLUS                         | Sega Saturn | 1997 | Japan
|       | DonPachi                                                                                              | ATLUS                         | Sega Saturn | 1996 | Japan
|       | Doom                                                                                                  | Soft Bank                     | Sega Saturn | 1997 | Japan
|       | Doraemon: Nobita to Fukkatsu no Hoshi                                                                 | Epoch                         | Sega Saturn | 1996 | Japan
|       | Doukoku Shoshite: Final Edition                                                                       | Data East                     | Sega Saturn | 1998 | Japan
|       | Doukoku Soshite...                                                                                    | Data East                     | Sega Saturn | 1998 | Japan
|       | Doukyuusei 2                                                                                          | NEC Interchannel              | Sega Saturn | 1997 | Japan
|       | Doukyuusei If                                                                                         | NEC Interchannel              | Sega Saturn | 1996 | Japan
|       | Dragon Ball Z: Idainaru Dragon Ball Densetsu                                                          | Bandai                        | Sega Saturn | 1996 | Japan
|       | Dragon Ball Z: Shin Butouden                                                                          | Bandai                        | Sega Saturn | 1995 | Japan
|       | Dragon Force                                                                                          | Sega                          | Sega Saturn | 1996 | Japan
|       | Dragon Force II: Kamisarishi Daichi ni                                                                | Sega                          | Sega Saturn | 1998 | Japan
|       | Dragon Master Silk                                                                                    | Datam Polystar                | Sega Saturn | 1997 | Japan
|       | Dream Generation: Koi Ka? Shigoto Ka!?                                                                | NCS                           | Sega Saturn | 1998 | Japan
|       | Dream Square: Hinakata Akiko                                                                          | Video System                  | Sega Saturn | 1997 | Japan
|       | Druid: Yami e no Tsuisekisha                                                                          | Koei                          | Sega Saturn | 1998 | Japan
