|       | Eijukugo Target 1000                                                 | Imagineer                    | Game Boy | 1997 | Japan
|       | Eiken 2-Kyuu Level no Kaiwa Hyuugen 333                              | Imagineer                    | Game Boy | 1997 | Japan
|       | Eitango Target 1900                                                  | Imagineer                    | Game Boy | 1996 | Japan
|       | Elevator Action                                                      | Taito Corporation            | Game Boy | 1991 | Japan
|       | F-1 Race                                                             | Nintendo                     | Game Boy | 1990 | Japan
|       | F-1 Spirit                                                           | Konami                       | Game Boy | 1991 | Japan
|       | F1 Boy                                                               | ASK                          | Game Boy | 1990 | Japan
|       | Family Jockey                                                        | Namco                        | Game Boy | 1991 | Japan
|       | Family Jockey 2: Meiba no Kettou                                     | Namco                        | Game Boy | 1993 | Japan
|       | Famista                                                              | Namco                        | Game Boy | 1990 | Japan
|       | Famista 2                                                            | Namco                        | Game Boy | 1992 | Japan
|       | Famista 3                                                            | Namco                        | Game Boy | 1993 | Japan
|       | Fastest Lap                                                          | Vap                          | Game Boy | 1991 | Japan
|       | Ferrari                                                              | Coconuts Japan               | Game Boy | 1992 | Japan
|       | Fidgetts, The                                                        | Coconuts Japan               | Game Boy | 1994 | Japan
|       | Final Reverse                                                        | Toei Animation               | Game Boy | 1991 | Japan
|       | Flappy Special                                                       | Victor Interactive Software  | Game Boy | 1990 | Japan
|       | Fleet Commander Vs.                                                  | ASCII Entertainment          | Game Boy | 1991 | Japan
|       | Flipull: An Exciting Cube Game                                       | Taito Corporation            | Game Boy | 1990 | Japan
|       | Foreman For Real                                                     | Acclaim Japan                | Game Boy | 1995 | Japan
|       | Frisky Tom                                                           | Nichibutsu                   | Game Boy | 1995 | Japan
|       | From TV Animation Slam Dunk 2: Zenkoku e no Tip Off                  | Bandai                       | Game Boy | 1995 | Japan
|       | From TV Animation Slam Dunk: Gakeppuchi no Kesshou League            | Bandai                       | Game Boy | 1994 | Japan
|       | Funny Field                                                          | SNK                          | Game Boy | 1990 | Japan
|       | Fushigi na Blobby: Princess Blob o Tsukue!                           | Jaleco Entertainment         | Game Boy | 1990 | Japan
|       | Fushigi no Dungeon: Furai no Shiren GB: Tsukikagemura no Kaibutsu    | ChunSoft                     | Game Boy | 1996 | Japan
|       | G-Arms: Operation Gundam                                             | Bandai                       | Game Boy | 1991 | Japan
|       | G1 King! 3-Hitsu no Yosouya                                          | Vic Tokai                    | Game Boy | 1993 | Japan
|       | Gakken Kanyouku: Kotowaza 210                                        | Imagineer                    | Game Boy | 1998 | Japan
|       | Gakken Rekishi 512                                                   | Imagineer                    | Game Boy | 1998 | Japan
|       | Gakken Shiaza Jukugo 288                                             | Imagineer                    | Game Boy | 1998 | Japan
|       | Galaga & Galaxian                                                    | Namco                        | Game Boy | 1995 | Japan
|       | Game Boy Gallery                                                     | Nintendo                     | Game Boy | 1997 | Japan
|       | Game Boy Gallery 2                                                   | Nintendo                     | Game Boy | 1997 | Japan
|       | Game Boy Wars                                                        | Nintendo                     | Game Boy | 1991 | Japan
|       | Game Boy Wars Turbo                                                  | Hudson                       | Game Boy | 1997 | Japan
|       | Game de Hakken!! Tamagotchi                                          | Bandai                       | Game Boy | 1997 | Japan
|       | Game de Hakken!! Tamagotchi 2                                        | Bandai                       | Game Boy | 1997 | Japan
|       | Game de Hakken!! Tamagotchi Osucchi to Mesucchi                      | Bandai                       | Game Boy | 1998 | Japan
|       | Gamera: Daikaijuu Kuuchuu Kessen                                     | Angel (Bandai)               | Game Boy | 1995 | Japan
|       | Ganbare Goemon: Kurofune Tou no Nazo                                 | Konami                       | Game Boy | 1997 | Japan
|       | Ganbare Goemon: Sarawareta Ebisumaru!                                | Konami                       | Game Boy | 1991 | Japan
|       | Ganso!! Yancha-Maru                                                  | Irem                         | Game Boy | 1991 | Japan
|       | GB Basketball                                                        | Imagineer                    | Game Boy | 1993 | Japan
|       | GB Genjin                                                            | Hudson                       | Game Boy | 1992 | Japan
|       | GB Genjin 2                                                          | Hudson                       | Game Boy | 1994 | Japan
|       | GB Genjin Land: Viva! Chikkun Oukoku                                 | Hudson                       | Game Boy | 1994 | Japan
|       | GB Pachi-Slot Hisshouhou Jr.                                         | Sammy Studios                | Game Boy | 1994 | Japan
|       | Gegege no Kitarou: Youkai Souzoushu Arawaru!                         | Bandai                       | Game Boy | 1996 | Japan
|       | Gekitou Power Modeler                                                | Capcom                       | Game Boy | 1998 | Japan
|       | Gem Gem                                                              | Vic Tokai                    | Game Boy | 1991 | Japan
|       | Genjin Collection                                                    | Hudson                       | Game Boy | 1996 | Japan
|       | Genjin Kotts                                                         | B-AI                         | Game Boy | 1995 | Japan
|       | Genki Bakuhatsu Ganbaruga                                            | Tomy Corporation             | Game Boy | 1992 | Japan
|       | Gerry Anderson's Thunderbirds                                        | B-AI                         | Game Boy | 1993 | Japan
