|       | FaceBreaker                                                 | EA Sports                              | Xbox 360 | 2008 | Japan
|       | Fallout 3                                                   | Bethesda Softworks                     | Xbox 360 | 2008 | Japan
|       | Fallout 3: Game of the Year Edition                         | Bethesda Softworks                     | Xbox 360 | 2009 | Japan
|       | Fallout: New Vegas                                          | Bethesda Softworks                     | Xbox 360 | 2010 | Japan
|       | Fallout: New Vegas - Ultimate Edition                       | Bethesda Softworks                     | Xbox 360 | 2012 | Japan
|       | Far Cry 2                                                   | Ubisoft                                | Xbox 360 | 2008 | Japan
|       | Far Cry 3                                                   | Ubisoft                                | Xbox 360 | 2013 | Japan
|       | Farming Simulator                                           | Russel                                 | Xbox 360 | 2013 | Japan
|       | Fatal Inertia                                               | Koei                                   | Xbox 360 | 2007 | Japan
|       | FIFA 06: Road to FIFA World Cup                             | EA Sports                              | Xbox 360 | 2005 | Japan
|       | FIFA 08: World Class Soccer                                 | EA Sports                              | Xbox 360 | 2007 | Japan
|       | FIFA 09: World Class Soccer                                 | EA Sports                              | Xbox 360 | 2008 | Japan
|       | FIFA 10: World Soccer                                       | Electronic Arts                        | Xbox 360 | 2009 | Japan
|       | FIFA 11: World Class Soccer                                 | Electronic Arts                        | Xbox 360 | 2010 | Japan
|       | FIFA 12: World Class Soccer                                 | Electronic Arts                        | Xbox 360 | 2011 | Japan
|       | FIFA 13: World Class Soccer                                 | EA Sports                              | Xbox 360 | 2012 | Japan
|       | FIFA 14                                                     | EA Sports                              | Xbox 360 | 2013 | Japan
|       | FIFA 15                                                     | Electronic Arts                        | Xbox 360 | 2014 | Japan
|       | FIFA 18                                                     | Electronic Arts                        | Xbox 360 | 2017 | Japan
|       | FIFA Street 3                                               | EA Sports                              | Xbox 360 | 2008 | Japan
|       | FIFA World Cup: Germany 2006                                | Electronic Arts                        | Xbox 360 | 2006 | Japan
|       | Fight Night Champion                                        | EA Sports                              | Xbox 360 | 2011 | Japan
|       | Fight Night Round 3                                         | EA Sports                              | Xbox 360 | 2006 | Japan
|       | Fight Night Round 4                                         | EA Sports                              | Xbox 360 | 2010 | Japan
|       | Fighters Uncaged                                            | Microsoft Game Studios                 | Xbox 360 | 2011 | Japan
|       | Final Fantasy XI: Adoulin no Makyou                         | Square Enix                            | Xbox 360 | 2013 | Japan
|       | Final Fantasy XI: All-In-One Pack 2006                      | Square Enix                            | Xbox 360 | 2006 | Japan
|       | Final Fantasy XI: Altana no Shinpei                         | Square Enix                            | Xbox 360 | 2007 | Japan
|       | Final Fantasy XI: Vana'diel Collection                      | Square Enix                            | Xbox 360 | 2007 | Japan
|       | Final Fantasy XI: Vana'diel Collection 2                    | Square Enix                            | Xbox 360 | 2009 | Japan
|       | Final Fantasy XIII International                            | Square Enix                            | Xbox 360 | 2010 | Japan
|       | Final Fantasy XIII-2                                        | Square Enix                            | Xbox 360 | 2011 | Japan
|       | FlatOut: Ultimate Carnage                                   | Empire Interactive                     | Xbox 360 | 2008 | Japan
|       | Forza Horizon                                               | Microsoft Game Studios                 | Xbox 360 | 2012 | Japan
|       | Forza Horizon 2                                             | Microsoft Game Studios                 | Xbox 360 | 2014 | Japan
|       | Forza Motorsport 2                                          | Microsoft Game Studios                 | Xbox 360 | 2007 | Japan
|       | Forza Motorsport 3                                          | Microsoft Game Studios                 | Xbox 360 | 2009 | Japan
|       | Forza Motorsport 4                                          | Microsoft Game Studios                 | Xbox 360 | 2011 | Japan
|       | Fracture                                                    | Activision                             | Xbox 360 | 2008 | Japan
|       | Front Mission Evolved                                       | Square Enix                            | Xbox 360 | 2010 | Japan
|       | Frontlines: Fuel of War                                     | THQ                                    | Xbox 360 | 2008 | Japan
|       | Fuel                                                        | Codemasters                            | Xbox 360 | 2009 | Japan
|       | Full Auto                                                   | Sega                                   | Xbox 360 | 2006 | Japan
|       | Fuzion Frenzy 2                                             | Hudson                                 | Xbox 360 | 2007 | Japan
|       | Ga-Sen Love Plus Pengo!                                     | Triangle Service                       | Xbox 360 | 2014 | Japan
|       | Gal*Gun                                                     | Alchemist                              | Xbox 360 | 2011 | Japan
|       | Gears of War                                                | Microsoft Game Studios                 | Xbox 360 | 2007 | Japan
|       | Gears of War 2                                              | Microsoft Game Studios                 | Xbox 360 | 2009 | Japan
|       | Gears of War 3                                              | Microsoft Game Studios                 | Xbox 360 | 2011 | Japan
|       | Gears of War Twin Pack                                      | Microsoft Game Studios                 | Xbox 360 | 2009 | Japan
|       | Gears of War: Judgment                                      | Microsoft Game Studios                 | Xbox 360 | 2013 | Japan
|       | Gears of War: Trilogy Pack                                  | Microsoft Game Studios                 | Xbox 360 | 2014 | Japan
|       | Ginga Force                                                 | Qute                                   | Xbox 360 | 2013 | Japan
|       | Ginga Force & Eschatos Wonder Pack                          | Qute                                   | Xbox 360 | 2013 | Japan
|       | Godfather II, The                                           | Electronic Arts                        | Xbox 360 | 2009 | Japan
|       | Godfather, The                                              | Electronic Arts                        | Xbox 360 | 2007 | Japan
|       | Grand Theft Auto IV                                         | Capcom                                 | Xbox 360 | 2008 | Japan
|       | Grand Theft Auto IV: The Complete Edition                   | Rockstar Games                         | Xbox 360 | 2011 | Japan
|       | Grand Theft Auto V                                          | Rockstar Games                         | Xbox 360 | 2013 | Japan
|       | Grand Theft Auto: Episodes from Liberty City                | Rockstar Games                         | Xbox 360 | 2010 | Japan
|       | GRID Autosport                                              | Codemasters                            | Xbox 360 | 2014 | Japan
|       | Guilty Gear 2: Overture                                     | Arc System Works                       | Xbox 360 | 2007 | Japan
|       | Guitar Hero III: Legends of Rock                            | Activision                             | Xbox 360 | 2008 | Japan
|       | Guitar Hero: Aerosmith on Tour                              | Activision                             | Xbox 360 | 2008 | Japan
|       | Gundam Musou 2                                              | Bandai Namco Games                     | Xbox 360 | 2008 | Japan
|       | Gundam Musou 3                                              | Bandai Namco Games                     | Xbox 360 | 2010 | Japan
|       | Gundam Musou International                                  | Namco Bandai Games                     | Xbox 360 | 2007 | Japan
|       | Gunstringer, The                                            | Microsoft Game Studios                 | Xbox 360 | 2011 | Japan
|       | Halo 3                                                      | Microsoft Game Studios                 | Xbox 360 | 2007 | Japan
|       | Halo 3: ODST                                                | Microsoft Game Studios                 | Xbox 360 | 2009 | Japan
|       | Halo 4                                                      | Microsoft Game Studios                 | Xbox 360 | 2012 | Japan
|       | Halo Wars                                                   | Microsoft Game Studios                 | Xbox 360 | 2009 | Japan
|       | Halo: Combat Evolved Anniversary                            | Microsoft Game Studios                 | Xbox 360 | 2011 | Japan
|       | Halo: Origin Pack                                           | Microsoft Game Studios                 | Xbox 360 | 2013 | Japan
|       | Halo: Reach                                                 | Microsoft Game Studios                 | Xbox 360 | 2010 | Japan
|       | Harry Potter to Fushichou no Kishidan                       | EA Games                               | Xbox 360 | 2007 | Japan
|       | Heavy Fire: Shattered Spear                                 | Hamster                                | Xbox 360 | 2013 | Japan
|       | Hitman: Absolution                                          | Square Enix                            | Xbox 360 | 2013 | Japan
