|       | Dead or Alive Ultimate                                               | Microsoft Game Studios       | Xbox   | 2005 | Europe
|       | Dead or Alive: Xtreme Beach Volleyball                               | Microsoft Game Studios       | Xbox   | 2003 | Europe
|       | Dead to Rights                                                       | Electronic Arts              | Xbox   | 2003 | Europe
|       | Dead to Rights II                                                    | Electronic Arts              | Xbox   | 2005 | Europe
|       | Deadly Skies                                                         | Konami                       | Xbox   | 2002 | Europe
|       | Deathrow                                                             | Ubisoft                      | Xbox   | 2002 | Europe
|       | Def Jam: Fight for NY                                                | Electronic Arts              | Xbox   | 2004 | Europe
|       | Defender                                                             | Midway                       | Xbox   | 2003 | Europe
|       | Delta Force: Black Hawk Down                                         | NovaLogic                    | Xbox   | 2005 | Europe
|       | Destroy All Humans!                                                  | THQ                          | Xbox   | 2005 | Europe
|       | Destroy All Humans! 2                                                | THQ                          | Xbox   | 2006 | Europe
|       | Deus Ex: Invisible War                                               | Eidos Interactive            | Xbox   | 2004 | Europe
|       | Die Hard: Vendetta                                                   | VU Games                     | Xbox   | 2003 | Europe
|       | Digimon Rumble Arena 2                                               | Atari SA                     | Xbox   | 2004 | Europe
|       | Dino Crisis 3                                                        | Capcom                       | Xbox   | 2003 | Europe
|       | Dinotopia: The Sunstone Odyssey                                      | TDK Mediactive               | Xbox   | 2004 | Europe
|       | Disney's Chicken Little                                              | Buena Vista Interactive      | Xbox   | 2006 | Europe
|       | Disney's Extreme Skate Adventure                                     | Activision                   | Xbox   | 2003 | Europe
|       | Disney/Pixar Finding Nemo                                            | THQ                          | Xbox   | 2003 | Europe
|       | Doom 3                                                               | Activision                   | Xbox   | 2005 | Europe
|       | Doom 3: Resurrection of Evil                                         | Activision                   | Xbox   | 2005 | Europe
|       | Dr. Muto                                                             | Midway                       | Xbox   | 2003 | Europe
|       | Dragon's Lair 3D: Return to the Lair                                 | Ubisoft                      | Xbox   | 2004 | Europe
|       | Dreamfall: The Longest Journey                                       | Empire Interactive           | Xbox   | 2006 | Europe
|       | DreamWorks Madagascar                                                | Activision                   | Xbox   | 2005 | Europe
|       | DreamWorks Shrek SuperSlam                                           | Activision                   | Xbox   | 2005 | Europe
|       | DRIV3R                                                               | Atari SA                     | Xbox   | 2004 | Europe
|       | Driver: Parallel Lines                                               | Atari SA                     | Xbox   | 2006 | Europe
|       | Drome Racers                                                         | Electronic Arts              | Xbox   | 2003 | Europe
|       | Dukes of Hazzard: Return of the General Lee, The                     | Ubisoft                      | Xbox   | 2004 | Europe
|       | Dungeons & Dragons Heroes                                            | Atari SA                     | Xbox   | 2003 | Europe
|       | Dynasty Warriors 3                                                   | THQ                          | Xbox   | 2002 | Europe
|       | Dynasty Warriors 4                                                   | Koei                         | Xbox   | 2003 | Europe
|       | Dynasty Warriors 5                                                   | Koei                         | Xbox   | 2005 | Europe
|       | Eggo Mania                                                           | Kemco                        | Xbox   | 2002 | Europe
|       | Elder Scrolls III: Morrowind - Game of the Year Edition, The         | Bethesda Softworks           | Xbox   | 2004 | Europe
|       | Elder Scrolls III: Morrowind, The                                    | Ubisoft                      | Xbox   | 2002 | Europe
|       | Enclave                                                              | Swing! Deutschland           | Xbox   | 2002 | Europe
