|       | Cabela's Alaskan Adventures                                                      | Activision                             | Xbox 360 | 2006 | Europe
|       | Cabela's Big Game Hunter 2012                                                    | Activision                             | Xbox 360 | 2012 | Europe
|       | Cabela's Dangerous Adventures                                                    | Activision                             | Xbox 360 | 2009 | Europe
|       | Cabela's Dangerous Hunts 2011                                                    | Activision                             | Xbox 360 | 2011 | Europe
|       | Cabela's Dangerous Hunts 2013                                                    | Activision                             | Xbox 360 | 2012 | Europe
|       | Cabela's Survival: Shadows of Katmai                                             | Activision                             | Xbox 360 | 2011 | Europe
|       | Call of Duty 2                                                                   | Activision                             | Xbox 360 | 2005 | Europe
|       | Call of Duty 3                                                                   | Activision                             | Xbox 360 | 2006 | Europe
|       | Call of Duty 4: Modern Warfare                                                   | Activision                             | Xbox 360 | 2007 | Europe
|       | Call of Duty: Advanced Warfare                                                   | Activision                             | Xbox 360 | 2014 | Europe
|       | Call of Duty: Black Ops                                                          | Activision                             | Xbox 360 | 2010 | Europe
|       | Call of Duty: Black Ops II                                                       | Activision                             | Xbox 360 | 2012 | Europe
|       | Call of Duty: Black Ops III                                                      | Activision                             | Xbox 360 | 2015 | Europe
|       | Call of Duty: Ghosts                                                             | Activision                             | Xbox 360 | 2013 | Europe
|       | Call of Duty: Modern Warfare 2                                                   | Activision                             | Xbox 360 | 2009 | Europe
|       | Call of Duty: Modern Warfare 3                                                   | Activision                             | Xbox 360 | 2011 | Europe
|       | Call of Duty: Modern Warfare Trilogy                                             | Activision                             | Xbox 360 | 2016 | Europe
|       | Call of Duty: World at War                                                       | Activision                             | Xbox 360 | 2008 | Europe
|       | Call of Juarez                                                                   | Ubisoft                                | Xbox 360 | 2007 | Europe
|       | Call of Juarez: Bound in Blood                                                   | Ubisoft                                | Xbox 360 | 2009 | Europe
|       | Call of Juarez: The Cartel                                                       | Ubisoft                                | Xbox 360 | 2011 | Europe
|       | Capcom Digital Collection                                                        | Capcom                                 | Xbox 360 | 2012 | Europe
|       | Captain America: Super Soldier                                                   | Sega                                   | Xbox 360 | 2011 | Europe
|       | Carnival Games: In Action!                                                       | Take-Two Interactive                   | Xbox 360 | 2011 | Europe
|       | Carrier Command: Gaea Mission                                                    | Bohemia Interactive                    | Xbox 360 | 2012 | Europe
|       | Cars                                                                             | THQ                                    | Xbox 360 | 2006 | Europe
|       | Cars 2: The Video Game                                                           | Disney Interactive Studios             | Xbox 360 | 2011 | Europe
|       | Cars 3: Driven to Win                                                            | Warner Bros. Interactive Entertainment | Xbox 360 | 2017 | Europe
|       | Cars Mater-National Championship                                                 | THQ                                    | Xbox 360 | 2007 | Europe
|       | Cars Race-O-Rama                                                                 | THQ                                    | Xbox 360 | 2009 | Europe
