| | 007 Racing | | PlayStation | | NTSC (NA) | SLUS-01300
| | Crash Bandicoot 3 - Warped | | PlayStation | | NTSC (NA) | SCUS-94244
| | Crash Bash | | PlayStation | | NTSC (NA) | SCUS-94570
| | Crash Bash & Spyro - Year of the Dragon [Demo] | | PlayStation | | NTSC (NA) | SCUS-94654
| | Crash Bash [Individual Demo] | | PlayStation | | NTSC (NA) | SCUS-94616
| | Crash Team Racing | | PlayStation | | NTSC (NA) | SCUS-94426
| | Crash Team Racing [Demo] | | PlayStation | | NTSC (NA) | SCUS-94459
| | Creatures | | PlayStation | | NTSC (NA) | SLUS-01438
| | Creatures - Raised in Space | | PlayStation | | NTSC (NA) | SLUS-01553
| | Crime Killer | | PlayStation | | NTSC (NA) | SLUS-00576
| | Crime Killer [Demo] | | PlayStation | | NTSC (NA) | SLUS-90020
| | Critical Depth | | PlayStation | | NTSC (NA) | SLUS-00428
| | Criticom | | PlayStation | | NTSC (NA) | SLUS-00046
| | Croc - Legend of the Gobbos | | PlayStation | | NTSC (NA) | SLUS-00530
| | Croc 2 | | PlayStation | | NTSC (NA) | SLUS-00634
| | Croc 2 [Demo] | | PlayStation | | NTSC (NA) | SLUS-90056
| | Crossroad Crisis | | PlayStation | | NTSC (NA) | SLUS-01342
| | Crow, The - City of Angels | | PlayStation | | NTSC (NA) | SLUS-00242
| | Crusader - No Remorse | | PlayStation | | NTSC (NA) | SLUS-00268
| | Crusaders of Might and Magic | | PlayStation | | NTSC (NA) | SLUS-00799
| | Crypt Killer | | PlayStation | | NTSC (NA) | SLUS-00335
| | Cubix Robots for Everyone - Race'n Robots | | PlayStation | | NTSC (NA) | SLUS-01422
| | Cyberia | | PlayStation | | NTSC (NA) | SLUS-00053
| | CyberSled | | PlayStation | | NTSC (NA) | SLUS-00008
| | CyberSpeed | | PlayStation | | NTSC (NA) | SLUS-00116
| | CyberTiger | | PlayStation | | NTSC (NA) | SLUS-01004
| | D [Disc1of3] | | PlayStation | | NTSC (NA) | SLUS-00128
| | D [Disc2of3] | | PlayStation | | NTSC (NA) | SLUS-00173
| | D [Disc3of3] | | PlayStation | | NTSC (NA) | SLUS-00174
| | Dance Dance Revolution - Disney Mix | | PlayStation | | NTSC (NA) | SLUS-01281
| | Dance Dance Revolution - Konamix | | PlayStation | | NTSC (NA) | SLUS-01446
| | Dance Dance Revolution - USA Mix | | PlayStation | | NTSC (NA) | SLUS-01280
| | Danger Girl | | PlayStation | | NTSC (NA) | SLUS-00881
| | Dare Devil Derby 3D | | PlayStation | | NTSC (NA) | SLUS-00300
| | Darklight Conflict | | PlayStation | | NTSC (NA) | SLUS-00457
| | Darkstalkers - The Night Warriors | | PlayStation | | NTSC (NA) | SLUS-00036
| | Darkstalkers 3 - Jedah's Damnation | | PlayStation | | NTSC (NA) | SLUS-00745
| | Darkstone - Evil Reigns | | PlayStation | | NTSC (NA) | SLUS-01182
| | Dave Mirra Freestyle BMX | | PlayStation | | NTSC (NA) | SLUS-01026
| | Dave Mirra Freestyle BMX - Maximum Remix | | PlayStation | | NTSC (NA) | SLUS-01347
| | Dave Mirra Freestyle BMX [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-81026
| | David Beckham Soccer | | PlayStation | | NTSC (NA) | SLUS-01455
| | Dead Ball Zone | | PlayStation | | NTSC (NA) | SLUS-00658
| | Dead in the Water | | PlayStation | | NTSC (NA) | SLUS-00693
| | Dead or Alive | | PlayStation | | NTSC (NA) | SLUS-00606
| | Dead or Alive [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-80606
| | Deathtrap Dungeon | | PlayStation | | NTSC (NA) | SLUS-00566
| | Deception III - Dark Delusion | | PlayStation | | NTSC (NA) | SLUS-01067
| | Defcon 5 - Peace has a Price | | PlayStation | | NTSC (NA) | SLUS-00009
| | Delta Force - Urban Warfare | | PlayStation | | NTSC (NA) | SLUS-01429
| | Demolition Racer | | PlayStation | | NTSC (NA) | SLUS-00969
| | Descent | | PlayStation | | NTSC (NA) | SLUS-00037
| | Descent Maximum | | PlayStation | | NTSC (NA) | SLUS-00460
| | Destrega | | PlayStation | | NTSC (NA) | SLUS-00732
| | Destruction Derby | | PlayStation | | NTSC (NA) | SCUS-94302
| | Destruction Derby 2 | | PlayStation | | NTSC (NA) | SCUS-94350
| | Destruction Derby Raw | | PlayStation | | NTSC (NA) | SLUS-00912
| | Destruction Derby Raw [Demo] | | PlayStation | | NTSC (NA) | SLUS-90079
| | Destruction Derby Raw [Demo] | | PlayStation | | NTSC (NA) | SLUS-90092
| | Developer's Demo CD | | PlayStation | | NTSC (NA) | SCUS-94954
| | Devil Dice | | PlayStation | | NTSC (NA) | SLUS-00672
| | Dexter's Laboratory - Mandark's Lab | | PlayStation | | NTSC (NA) | SLUS-01421
| | Diablo | | PlayStation | | NTSC (NA) | SLUS-00619
| | Die Hard Trilogy | | PlayStation | | NTSC (NA) | SLUS-00119
| | Die Hard Trilogy 2 - Viva Las Vegas | | PlayStation | | NTSC (NA) | SLUS-01015
| | Digimon - Digital Card Battle | | PlayStation | | NTSC (NA) | SLUS-01328
| | Digimon Rumble Arena | | PlayStation | | NTSC (NA) | SLUS-01404
| | Digimon World | | PlayStation | | NTSC (NA) | SLUS-01032
| | Digimon World 2 | | PlayStation | | NTSC (NA) | SLUS-01193
| | Digimon World 3 | | PlayStation | | NTSC (NA) | SLUS-01436
| | Dino Crisis | | PlayStation | | NTSC (NA) | SLUS-00922
| | Dino Crisis [Demo] | | PlayStation | | NTSC (NA) | SLUS-90066
| | Dino Crisis 2 | | PlayStation | | NTSC (NA) | SLUS-01279
| | Dirt Jockey - Heavy Equipment Operator | | PlayStation | | NTSC (NA) | SLUS-01552
| | Discworld | | PlayStation | | NTSC (NA) | SCUS-94600
| | Discworld II - Mortality Bytes! | | PlayStation | | NTSC (NA) | SCUS-94605
| | Disney World Quest - Magical Racing Tour | | PlayStation | | NTSC (NA) | SLUS-01106
| | Disney-Pixar's Monsters Inc. | | PlayStation | | NTSC (NA) | SLUS-01581
| | Disney's 101 Dalmatians II - Patch's London Adventure | | PlayStation | | NTSC (NA) | SLUS-01574
| | Disney's A Bug's Life | | PlayStation | | NTSC (NA) | SCUS-94288
