|       | Natural Doctrine                                                       | NIS America                            | PlayStation Vita | 2014 | NTSC (NA)
|       | Need for Speed: Most Wanted - A Criterion Game                         | Electronic Arts                        | PlayStation Vita | 2012 | NTSC (NA)
|       | Nights of Azure 2                                                      | Koei Tecmo Games                       | PlayStation Vita | 2017 | NTSC (NA)
|       | Ninja Gaiden Sigma 2 Plus                                              | Tecmo Koei America Corp.               | PlayStation Vita | 2013 | NTSC (NA)
|       | Ninja Gaiden Sigma Plus                                                | Tecmo Koei America Corp.               | PlayStation Vita | 2012 | NTSC (NA)
|       | Norn9: Var Commons                                                     | Aksys Games                            | PlayStation Vita | 2015 | NTSC (NA)
|       | NOVA-111                                                               | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | Oceanhorn: Monster of Uncharted Seas                                   | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | Octodad: Dadliest Catch                                                | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Oddworld: Abe's Oddysee - New 'n' Tasty                                | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Oddworld: Stranger's Wrath HD                                          | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Odin Sphere Leifthrasir                                                | ATLUS                                  | PlayStation Vita | 2016 | NTSC (NA)
|       | One Piece: Unlimited World Red                                         | Bandai Namco Games                     | PlayStation Vita | 2014 | NTSC (NA)
|       | Operation Abyss: New Tokyo Legacy                                      | NIS America                            | PlayStation Vita | 2015 | NTSC (NA)
|       | Operation Babel: New Tokyo Legacy                                      | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Penny-Punching Princess                                                | NIS America                            | PlayStation Vita | 2018 | NTSC (NA)
|       | Period: Cube - Shackles of Amadeus                                     | Aksys Games                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Persona 4 Golden                                                       | ATLUS                                  | PlayStation Vita | 2012 | NTSC (NA)
|       | Persona 4: Dancing All Night                                           | ATLUS                                  | PlayStation Vita | 2015 | NTSC (NA)
|       | Plague Road                                                            | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | PlayStation All-Stars Battle Royale                                    | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Psychedelica of the Ashen Hawk                                         | Aksys Games                            | PlayStation Vita | 2018 | NTSC (NA)
|       | Psychedelica of the Black Butterfly                                    | Aksys Games                            | PlayStation Vita | 2018 | NTSC (NA)
|       | Psycho-Pass: Mandatory Happiness                                       | NIS America                            | PlayStation Vita | 2016 | NTSC (NA)
|       | Putty Squad                                                            | Maximum Games                          | PlayStation Vita | 2014 | NTSC (NA)
|       | Ragnarok Odyssey                                                       | Xseed Games                            | PlayStation Vita | 2012 | NTSC (NA)
|       | Ragnarok Odyssey ACE                                                   | Xseed Games                            | PlayStation Vita | 2014 | NTSC (NA)
|       | Rainbow Moon                                                           | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Rayman Legends                                                         | Ubisoft                                | PlayStation Vita | 2013 | NTSC (NA)
|       | Rayman Origins                                                         | Ubisoft                                | PlayStation Vita | 2012 | NTSC (NA)
|       | Reality Fighters                                                       | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Resistance: Burning Skies                                              | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Retro City Rampage DX                                                  | Vblank Entertainment Inc.              | PlayStation Vita | 2015 | NTSC (NA)
|       | Ridge Racer                                                            | Namco Bandai Games                     | PlayStation Vita | 2012 | NTSC (NA)
|       | Risk of Rain                                                           | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | Root Letter                                                            | PQube                                  | PlayStation Vita | 2016 | NTSC (NA)
|       | Samurai & Dragons                                                      | Sega                                   | PlayStation Vita | 2017 | NTSC (NA)
|       | Saturday Morning RPG                                                   | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Secret of Mana                                                         | Square Enix                            | PlayStation Vita | 2018 | NTSC (NA)
|       | Senran Kagura Shinovi Versus                                           | Xseed Games                            | PlayStation Vita | 2014 | NTSC (NA)
|       | Senran Kagura: Estival Versus                                          | Xseed Games                            | PlayStation Vita | 2016 | NTSC (NA)
|       | Shantae: Half-Genie Hero                                               | Xseed Games                            | PlayStation Vita | 2016 | NTSC (NA)
|       | Shinobido 2: Revenge of Zen                                            | Namco Bandai Games America             | PlayStation Vita | 2012 | NTSC (NA)
|       | Shiren the Wanderer: The Tower of Fortune and the Dice of Fate         | Aksys Games                            | PlayStation Vita | 2016 | NTSC (NA)
|       | Shovel Knight                                                          | Fangamer                               | PlayStation Vita | 2016 | NTSC (NA)
|       | Silent Hill: Book of Memories                                          | Konami                                 | PlayStation Vita | 2012 | NTSC (NA)
|       | Skullgirls: 2nd Encore                                                 | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | Sly Collection, The                                                    | SCEA                                   | PlayStation Vita | 2014 | NTSC (NA)
