|       | Deus Ex: Invisible War                                                    | Eidos Interactive                      | Xbox   | 2003 | NTSC (NA)
|       | Digimon Rumble Arena 2                                                    | Bandai                                 | Xbox   | 2004 | NTSC (NA)
|       | Digimon World 4                                                           | Bandai                                 | Xbox   | 2005 | NTSC (NA)
|       | Dino Crisis 3                                                             | Capcom                                 | Xbox   | 2003 | NTSC (NA)
|       | Dinotopia: The Sunstone Odyssey                                           | TDK Mediactive                         | Xbox   | 2003 | NTSC (NA)
|       | Disney's Extreme Skate Adventure                                          | Activision                             | Xbox   | 2003 | NTSC (NA)
|       | Doom 3                                                                    | Activision                             | Xbox   | 2005 | NTSC (NA)
|       | Doom 3: Resurrection of Evil                                              | Activision                             | Xbox   | 2005 | NTSC (NA)
|       | Dr. Muto                                                                  | Midway                                 | Xbox   | 2002 | NTSC (NA)
|       | Dr. Seuss' The Cat in the Hat                                             | VU Games                               | Xbox   | 2003 | NTSC (NA)
|       | Dragon Ball Z: Sagas                                                      | Atari                                  | Xbox   | 2005 | NTSC (NA)
|       | Dragon's Lair 3D                                                          | Ubisoft                                | Xbox   | 2002 | NTSC (NA)
|       | Drake of the 99 Dragons                                                   | Majesco Games                          | Xbox   | 2003 | NTSC (NA)
|       | Dreamfall: The Longest Journey                                            | Aspyr                                  | Xbox   | 2006 | NTSC (NA)
|       | DRIV3R                                                                    | Atari                                  | Xbox   | 2004 | NTSC (NA)
|       | Driver: Parallel Lines                                                    | Atari                                  | Xbox   | 2006 | NTSC (NA)
|       | Dukes of Hazzard: Return of the General Lee, The                          | Ubisoft                                | Xbox   | 2004 | NTSC (NA)
|       | Dungeons & Dragons Heroes                                                 | Atari                                  | Xbox   | 2003 | NTSC (NA)
|       | Dynasty Warriors 3                                                        | Koei                                   | Xbox   | 2002 | NTSC (NA)
|       | Dynasty Warriors 4                                                        | Koei                                   | Xbox   | 2003 | NTSC (NA)
|       | Dynasty Warriors 5                                                        | Koei                                   | Xbox   | 2005 | NTSC (NA)
|       | Ed, Edd n Eddy: The Mis-Edventures                                        | Midway                                 | Xbox   | 2005 | NTSC (NA)
|       | Egg Mania: Eggstreme Madness                                              | Kemco                                  | Xbox   | 2002 | NTSC (NA)
