|       | Super Star Wars: Return of the Jedi                        | Black Pearl                 | Game Gear | 1994 | NTSC (NA)
|       | Surf Ninjas                                                | Sega                        | Game Gear | 1993 | NTSC (NA)
|       | T2: The Arcade Game                                        | Arena                       | Game Gear | 1993 | NTSC (NA)
|       | Tails Adventure                                            | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Taz in Escape from Mars                                    | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | Taz-mania                                                  | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | Tempo Jr.                                                  | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Tengen World Cup Soccer                                    | Tengen                      | Game Gear | 1993 | NTSC (NA)
|       | Terminator 2: Judgment Day                                 | Flying Edge                 | Game Gear | 1993 | NTSC (NA)
|       | Terminator, The                                            | Virgin Interactive          | Game Gear | 1992 | NTSC (NA)
|       | Tesserae                                                   | GameTek                     | Game Gear | 1993 | NTSC (NA)
|       | Tom and Jerry: The Movie                                   | Sega                        | Game Gear | 1993 | NTSC (NA)
|       | True Lies                                                  | Acclaim                     | Game Gear | 1995 | NTSC (NA)
|       | Urban Strike                                               | Electronic Arts             | Game Gear | 1995 | NTSC (NA)
|       | Vampire: Master of Darkness                                | Sega                        | Game Gear | 1993 | NTSC (NA)
|       | Virtua Fighter Animation                                   | Sega                        | Game Gear | 1996 | NTSC (NA)
|       | VR Troopers                                                | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Wheel of Fortune                                           | GameTek                     | Game Gear | 1992 | NTSC (NA)
|       | Wimbledon Tennis                                           | Sega                        | Game Gear | 1993 | NTSC (NA)
|       | Winter Olympic Games: Lillehammer '94                      | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | Woody Pop                                                  | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | World Class Leaderboard Golf                               | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | World Cup USA 94                                           | U.S. Gold                   | Game Gear | 1994 | NTSC (NA)
|       | World Series Baseball                                      | Sega                        | Game Gear | 1993 | NTSC (NA)
|       | World Series Baseball '95                                  | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | WWF Raw                                                    | Acclaim                     | Game Gear | 1994 | NTSC (NA)
|       | WWF Wrestlemania: Steel Cage Challenge                     | Flying Edge                 | Game Gear | 1993 | NTSC (NA)
|       | X-Men                                                      | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | X-Men: Gamesmaster's Legacy                                | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | X-Men: Mojo World                                          | Sega                        | Game Gear | 1996 | NTSC (NA)
|       | Zool: Ninja of the "Nth" Dimension                         | GameTek                     | Game Gear | 1993 | NTSC (NA)
|       | Zoop                                                       | Viacom New Media            | Game Gear | 1995 | NTSC (NA)
|       | Addams Family, The                                     | Flying Edge             | Game Gear | 1994 | PAL
|       | Adventures of Batman & Robin, The                      | Sega                    | Game Gear | 1995 | PAL
|       | Aerial Assault                                         | Sega                    | Game Gear | 1992 | PAL
|       | Alien 3                                                | Arena                   | Game Gear | 1994 | PAL
|       | Alien Syndrome                                         | Sega                    | Game Gear | 1992 | PAL
|       | Arena                                                  | Sega                    | Game Gear | 1996 | PAL
|       | Asterix and the Great Rescue                           | Sega                    | Game Gear | 1993 | PAL
|       | Asterix and the Secret Mission                         | Sega                    | Game Gear | 1993 | PAL
|       | Ax Battler: A Legend of Golden Axe                     | Sega                    | Game Gear | 1991 | PAL
|       | Ayrton Senna's Super Monaco GP II                      | Sega                    | Game Gear | 1992 | PAL
|       | Baku Baku                                              | Sega                    | Game Gear | 1996 | PAL
|       | Batman Forever                                         | Acclaim                 | Game Gear | 1995 | PAL
|       | Batman Returns                                         | Sega                    | Game Gear | 1993 | PAL
|       | Battletoads                                            | Sega                    | Game Gear | 1993 | PAL
|       | Beavis and Butt-head                                   | Viacom New Media        | Game Gear | 1995 | PAL
|       | Bram Stoker's Dracula                                  | Sony Imagesoft          | Game Gear | 1993 | PAL
|       | Bugs Bunny in Double Trouble                           | Sega                    | Game Gear | 1996 | PAL
|       | Castle of Illusion starring Mickey Mouse               | Sega                    | Game Gear | 1991 | PAL
|       | Chakan                                                 | Sega                    | Game Gear | 1992 | PAL
|       | Championship Hockey                                    | U.S. Gold               | Game Gear | 1994 | PAL
|       | Cheese Cat-Astrophe Starring Speedy Gonzales           | Sega                    | Game Gear | 1995 | PAL
|       | Chessmaster, The                                       | Sega                    | Game Gear | 1991 | PAL
|       | Chuck Rock                                             | Sega                    | Game Gear | 1992 | PAL
|       | Chuck Rock II: Son of Chuck                            | Virgin Interactive      | Game Gear | 1993 | PAL
|       | CJ Elephant Fugitive                                   | Codemasters             | Game Gear | 1994 | PAL
|       | Columns                                                | Sega                    | Game Gear | 1990 | PAL
|       | Cool Spot                                              | Virgin Interactive      | Game Gear | 1993 | PAL
|       | Cosmic Spacehead                                       | Codemasters             | Game Gear | 1993 | PAL
|       | Crystal Warriors                                       | Sega                    | Game Gear | 1992 | PAL
|       | Daffy Duck in Hollywood                                | Sega                    | Game Gear | 1994 | PAL
|       | Deep Duck Trouble starring Donald Duck                 | Sega                    | Game Gear | 1994 | PAL
|       | Defenders of Oasis                                     | Sega                    | Game Gear | 1992 | PAL
|       | Desert Speedtrap Starring Road Runner & Wile E. Coyote | Sega                    | Game Gear | 1994 | PAL
|       | Desert Strike                                          | Domark                  | Game Gear | 1994 | PAL
|       | Devilish                                               | Sega                    | Game Gear | 1992 | PAL
|       | Disney's Aladdin                                       | Sega                    | Game Gear | 1994 | PAL
|       | Disney's Ariel: The Little Mermaid                     | Sega                    | Game Gear | 1993 | PAL
|       | Disney's Bonkers: Wax Up!                              | Sega                    | Game Gear | 1995 | PAL
|       | Disney's TaleSpin                                      | Sega                    | Game Gear | 1993 | PAL
|       | Double Dragon: The Revenge of Billy Lee                | Virgin Interactive      | Game Gear | 1993 | PAL
|       | Dr. Robotnik's Mean Bean Machine                       | Sega                    | Game Gear | 1993 | PAL
|       | Dragon Crystal                                         | Sega                    | Game Gear | 1991 | PAL
|       | Dragon: The Bruce Lee Story                            | Virgin Interactive      | Game Gear | 1994 | PAL
|       | Dropzone                                               | Codemasters             | Game Gear | 1994 | PAL
|       | Dynamite Headdy                                        | Sega                    | Game Gear | 1994 | PAL
|       | Earthworm Jim                                          | Virgin Interactive      | Game Gear | 1995 | PAL
|       | Ecco the Dolphin                                       | Sega                    | Game Gear | 1994 | PAL
|       | Ecco: The Tides of Time                                | Sega                    | Game Gear | 1995 | PAL
|       | Ernie Els Golf                                         | Codemasters             | Game Gear | 1994 | PAL
|       | Evander 'Real Deal' Holyfield's Boxing                 | Sega                    | Game Gear | 1992 | PAL
|       | Excellent Dizzy Collection                             | Codemasters             | Game Gear | 1993 | PAL
|       | F-15 Strike Eagle                                      | MicroProse              | Game Gear | 1993 | PAL
|       | F1 Racing                                              | Domark                  | Game Gear | 1993 | PAL
|       | F1 World Championship Edition                          | Domark                  | Game Gear | 1995 | PAL
|       | Factory Panic                                          | Sega                    | Game Gear | 1991 | PAL
|       | Fantastic Dizzy                                        | Codemasters             | Game Gear | 1993 | PAL
|       | Fantasy Zone                                           | Sega                    | Game Gear | 1992 | PAL
|       | Fatal Fury Special                                     | Takara                  | Game Gear | 1994 | PAL
|       | FIFA International Soccer                              | Electronic Arts         | Game Gear | 1994 | PAL
|       | FIFA Soccer 96                                         | Black Pearl             | Game Gear | 1995 | PAL
|       | G-LOC Air Battle                                       | Sega                    | Game Gear | 1991 | PAL
|       | Galaga 2                                               | Namco                   | Game Gear | 1991 | PAL
|       | Garfield: Caught in the Act                            | Sega                    | Game Gear | 1995 | PAL
|       | George Foreman's KO Boxing                             | Flying Edge             | Game Gear | 1992 | PAL
|       | Global Gladiators                                      | Virgin Interactive      | Game Gear | 1992 | PAL
|       | GP Rider                                               | Sega                    | Game Gear | 1994 | PAL
|       | Halley Wars                                            | Sega                    | Game Gear | 1991 | PAL
|       | Home Alone                                             | Sega                    | Game Gear | 1993 | PAL
|       | Hook                                                   | Sony Imagesoft          | Game Gear | 1992 | PAL
|       | Hurricanes                                             | U.S. Gold               | Game Gear | 1994 | PAL
|       | Incredible Crash Dummies, The                          | Flying Edge             | Game Gear | 1992 | PAL
|       | Incredible Hulk, The                                   | U.S. Gold               | Game Gear | 1995 | PAL
|       | Indiana Jones and the Last Crusade                     | U.S. Gold               | Game Gear | 1992 | PAL
|       | Itchy & Scratchy Game, The                             | Acclaim                 | Game Gear | 1995 | PAL
|       | James Bond 007: The Duel                               | Domark                  | Game Gear | 1993 | PAL
|       | James Pond 2: Codename RoboCod                         | U.S. Gold               | Game Gear | 1993 | PAL
|       | James Pond 3: Operation Starfish                       | U.S. Gold               | Game Gear | 1994 | PAL
|       | Joe Montana Football                                   | Sega                    | Game Gear | 1991 | PAL
|       | Judge Dredd                                            | Acclaim                 | Game Gear | 1995 | PAL
|       | Jurassic Park                                          | Sega                    | Game Gear | 1993 | PAL
|       | Kawasaki Superbikes                                    | Domark                  | Game Gear | 1995 | PAL
|       | Klax                                                   | Tengen                  | Game Gear | 1992 | PAL
|       | Krusty's Fun House                                     | Flying Edge             | Game Gear | 1992 | PAL
|       | Land of Illusion starring Mickey Mouse                 | Sega                    | Game Gear | 1993 | PAL
|       | Legend of Illusion starring Mickey Mouse               | Sega                    | Game Gear | 1995 | PAL
|       | Lemmings                                               | Sega                    | Game Gear | 1992 | PAL
|       | Lion King, The                                         | Virgin Interactive      | Game Gear | 1995 | PAL
|       | Lucky Dime Caper Starring Donald Duck, The             | Sega                    | Game Gear | 1991 | PAL
|       | Madden 96                                              | Electronic Arts         | Game Gear | 1996 | PAL
|       | Madden NFL 95                                          | THQ                     | Game Gear | 1995 | PAL
