| | Akumajo Dracula X - Gekka no Yasoukyoku [PlayStation the Best] | | PlayStation | | NTSC (JP) | SLPM-86073
| | Akumajo Dracula X - Gekka no Yasoukyoku [PSone Books] | | PlayStation | | NTSC (JP) | SLPM-87328
| | Akumajou Nendaiki - Akumajou Dracula [PlayStation the Best] | | PlayStation | | NTSC (JP) | SLPM-86951
| | Alabama | | PlayStation | | NTSC (JP) | SLPS-02961
| | Alice in Cyberland | | PlayStation | | NTSC (JP) | SLPS-00636
| | Alien Trilogy | | PlayStation | | NTSC (JP) | SLPS-00332
| | Alive [Disc1of3] | | PlayStation | | NTSC (JP) | SLPS-01527
| | Alive [Disc2of3] | | PlayStation | | NTSC (JP) | SLPS-01528
| | Alive [Disc3of3] | | PlayStation | | NTSC (JP) | SLPS-01529
| | Allied General | | PlayStation | | NTSC (JP) | SLPS-00843
| | All-Star Mahjong - Kareinaru Shobushi Kara no Chosen | | PlayStation | | NTSC (JP) | SLPS-00993
| | All-Star Tennis '99 | | PlayStation | | NTSC (JP) | SLPS-01962
| | Alnam no Kiba - Fang of Alnam | | PlayStation | | NTSC (JP) | SLPS-00173
| | Alnam no Tsubasa - Wing of Alnam [Disc1of3] | | PlayStation | | NTSC (JP) | SLPS-01187
| | Alnam no Tsubasa - Wing of Alnam [Disc2of3] | | PlayStation | | NTSC (JP) | SLPS-01188
| | Alnam no Tsubasa - Wing of Alnam [Disc3of3] | | PlayStation | | NTSC (JP) | SLPS-01189
| | Alone in the Dark - The New Nightmare | | PlayStation | | NTSC (JP) | SLPM-87005
| | Alone in the Dark 2 | | PlayStation | | NTSC (JP) | SLPS-00141
| | Alundra | | PlayStation | | NTSC (JP) | SCPS-10035
| | Alundra 2 | | PlayStation | | NTSC (JP) | SCPS-10115
| | Alundra 2 | | PlayStation | | NTSC (JP) | SCPS-45449
| | Alundra 2 - Mashinka no Nazo [Trial Version] | | PlayStation | | NTSC (JP) | PAPX-90097
| | America Oudan Ultra-Quiz | | PlayStation | | NTSC (JP) | SLPS-00241
| | America Oudan Ultra-Quiz [PSone Books] | | PlayStation | | NTSC (JP) | SLPS-91484
| | America Oudan Ultra-Quiz [Reprint] | | PlayStation | | NTSC (JP) | SLPS-01802
| | Ancient Roman - Power of Dark Side [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-01108
| | Ancient Roman - Power of Dark Side [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-01109
| | Ancient Roman - Power of Dark Side [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80141
| | Andretti Racing | | PlayStation | | NTSC (JP) | SLPS-00759
| | Angel Blade - Neo Tokyo Guardians | | PlayStation | | NTSC (JP) | SLPS-00894
| | Angel Blade - Neo Tokyo Guardians [MajorWave 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-86960
| | Angel Graffiti - Anata he no Profile | | PlayStation | | NTSC (JP) | SLPS-00163
| | Angel Graffiti - Anata he no Profile [Limited Edition] | | PlayStation | | NTSC (JP) | SLPS-00306
| | Angelique Duet | | PlayStation | | NTSC (JP) | SLPS-01337
| | Angelique Duet [Koei The Best] | | PlayStation | | NTSC (JP) | SLPM-86493
| | Angelique Duet [Premium Box] | | PlayStation | | NTSC (JP) | SLPS-01336
| | Angelique History [Disc1of5] | | PlayStation | | NTSC (JP) | SLPM-86506
| | Angelique History [Disc2of5] | | PlayStation | | NTSC (JP) | SLPM-86507
| | Angelique History [Disc3of5] | | PlayStation | | NTSC (JP) | SLPM-86508
| | Angelique History [Disc4of5] | | PlayStation | | NTSC (JP) | SLPM-86509
