|       | Dragon Egg!                                                 | NCS                          | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Dragon Saber                                                | Namco                        | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Dragon Spirit                                               | Namco                        | TurboGrafx-16 | 1988 | NTSC (JP)
|       | Drop Rock Hora Hora                                         | Data East                    | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Dungeon Explorer                                            | Hudson                       | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Energy                                                      | NCS                          | TurboGrafx-16 | 1989 | NTSC (JP)
|       | F-1 Dream                                                   | NEC Interchannel             | TurboGrafx-16 | 1989 | NTSC (JP)
|       | F-1 Pilot                                                   | Pack-In-Video                | TurboGrafx-16 | 1989 | NTSC (JP)
|       | F1 Circus                                                   | Nihon Bussan                 | TurboGrafx-16 | 1990 | NTSC (JP)
|       | F1 Circus '91                                               | Nichibutsu                   | TurboGrafx-16 | 1991 | NTSC (JP)
|       | F1 Circus '92                                               | Nichibutsu                   | TurboGrafx-16 | 1992 | NTSC (JP)
|       | F1 Triple Battle                                            | Human Entertainment          | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Fantasy Zone                                                | NEC Interchannel             | TurboGrafx-16 | 1988 | NTSC (JP)
|       | Fighting Run                                                | Nichibutsu                   | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Final Blaster                                               | Namco                        | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Final Lap Twin                                              | Namco                        | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Final Match Tennis                                          | Human Entertainment          | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Final Soldier                                               | Hudson                       | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Fire ProWrestling                                           | Human Entertainment          | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Fire ProWrestling 2nd Bout                                  | Human Entertainment          | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Fire ProWrestling 3: Legend Bout                            | Human Entertainment          | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Formation Armed F                                           | Pack-In-Video                | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Formation Soccer on J.League                                | Human Entertainment          | TurboGrafx-16 | 1994 | NTSC (JP)
|       | Formation Soccer: Human Cup '90                             | Human Entertainment          | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Fushigi no Yume no Alice                                    | Face                         | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Gai Flame                                                   | NCS                          | TurboGrafx-16 | 1990 | NTSC (JP)
