|       | Galaxy Keiji Gayvan                                       | Intec                                 | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Gambler Jiko Chuushinha                                   | Hudson                                | TurboGrafx-16 CD | 1989 | NTSC (JP)
|       | Gambler Jiko Chuushinha: Mahjong Puzzle Collection        | Taito Corporation                     | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Garou Densetsu 2: Aratanaru Tatakai                       | Hudson                                | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Garou Densetsu Special                                    | Hudson                                | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Gate of Thunder                                           | Hudson Soft                           | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Genocide                                                  | Brain Grey                            | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Gensou Tairiku Auleria                                    | Taito Corporation                     | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Ginga Fukei Densetsu Sapphire                             | Hudson                                | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Ginga Ojousama Densetsu Yuna                              | Hudson                                | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Ginga Ojousama Densetsu Yuna 2: Eien no Princess          | Hudson                                | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Go! Go! Birdie Chance                                     | NEC Interchannel                      | TurboGrafx-16 CD | 1996 | NTSC (JP)
|       | God Panic: Shijou Saikyou Gundan                          | Teichiku Records                      | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Godzilla: Bakutou Retsuden                                | Toho                                  | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Golden Axe                                                | Telenet Japan                         | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Gotzendiener                                              | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Gradius II: Gofer no Yabou                                | Konami                                | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | GS Mikami                                                 | Banpresto                             | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Gulclight TDF 2                                           | Pack-In-Video                         | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Hatsukoi Monogatari                                       | Tokuma Shoten                         | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Hawk F-123                                                | Pack-In-Video                         | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Hellfire S                                                | NEC Interchannel                      | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Hi-Leg Fantasy                                            | Games Express                         | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | High Grenadier                                            | Nippon Telenet                        | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Hihou Densetsu Chris no Bouken                            | Pack-In-Video                         | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Himitsu no Hanazono                                       | Tokuma Shoten                         | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Horror Story                                              | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Human Sports Festival                                     | Human Entertainment                   | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Hyaku Monogatari: Hontoni Atta Kowai Hanashi              | Hudson                                | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Hyper Catalog Demo Disc                                   | Shogakukan                            | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Hyper Catalog Demo Disc 2                                 | Shogakukan                            | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Hyper Catalog Demo Disc 3                                 | Shogakukan                            | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Hyper Catalog Demo Disc 4                                 | Shogakukan                            | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Hyper Dyne Side Arms Special                              | NEC Interchannel                      | TurboGrafx-16 CD | 1989 | NTSC (JP)
|       | Hyper Wars                                                | Hudson                                | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Iga Ninden Gaou                                           | Nichibutsu                            | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Image Fight II                                            | Irem                                  | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Inoue Mami: Kono Hoshi ni Tatta Hitori no Kimi            | Hudson                                | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Insanity                                                  | Aetherbyte                            | TurboGrafx-16 CD | 2009 | NTSC (JP)
|       | IQ Panic                                                  | IGS (Japan)                           | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | J.B. Harold Satsujin Club                                 | Hudson                                | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | J.League Tremendous Soccer '94                            | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Jack Nicklaus' World Golf Tour                            | Victor Interactive Software           | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Janshin Densetsu: Quest of Jongmaster                     | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Jantei Monogatari                                         | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Jantei Monogatari 2: Uchuu Tantei Deiban                  | ATLUS                                 | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Jantei Monogatari 2: Uchuu Tantei Deiban                  | ATLUS                                 | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Jantei Monogatari 3: Saver Angel                          | ATLUS                                 | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Jim Power                                                 | Micro World                           | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Juuouki                                                   | NEC Interchannel                      | TurboGrafx-16 CD | 1989 | NTSC (JP)
|       | Kabuki Ittou Ryoudan                                      | Hudson                                | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Kagami no Kuni no Legend                                  | Victor Interactive Software           | TurboGrafx-16 CD | 1989 | NTSC (JP)
|       | Kaizou Chounin Shubibinman 3: Ikai no Princess            | NCS                                   | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Kakutou Haou Densetsu Algunos                             | Intec                                 | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Kawa no Nushi Tsuri: Shizenha                             | Pack-In-Video                         | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Kazekiri                                                  | Naxat Soft                            | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Kiaidan 00                                                | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Kick Boxing, The                                          | Micro World                           | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Kisou Louga                                               | Kogado Studio                         | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Kisou Louga II: The Ends of Shangrila                     | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | KO Seiki Beast Sanjuushi: Gaia Fukkatsu Kanketsuhen       | Pack-In-Video                         | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Kuusou Kagaku Sekai Gulliver Boy                          | Hudson                                | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | L-Dis                                                     | NCS                                   | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Lady Phantom                                              | Laser Soft                            | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Langrisser: Hikari no Matsuei                             | NCS                                   | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Laplace no Ma                                             | Human Entertainment                   | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Last Armageddon                                           | Brain Grey                            | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Legend of Xanadu: Kaze no Densetsu Xanadu                 | Falcom                                | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Legend of Xanadu: Kaze no Densetsu Xanadu II              | Falcom                                | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Legion                                                    | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Lemmings                                                  | SunSoft                               | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Linda Cube                                                | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Lodoss Tou Senki                                          | Hudson                                | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Lodoss Tou Senki II                                       | Hudson                                | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Loom                                                      | Victor Interactive Software           | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Lord of Wars                                              | SystemSoft                            | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Mad Stalker: Full Metal Force                             | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Madou Monogatari I: Honoo no Sotsuenko                    | NEC Interchannel                      | TurboGrafx-16 CD | 1996 | NTSC (JP)
|       | Magical Saurs Tour                                        | Victor Interactive Software           | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Magicoal                                                  | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Mahjong Clinic Special                                    | Naxat Soft                            | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Mahjong Lemon Angel                                       | Naxat Soft                            | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Mahjong on the Beach                                      | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Mahjong Sword: Princess Quest Gaiden                      | Naxat Soft                            | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Mahjong Vanilla Syndrome                                  | Nichibutsu                            | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Mamono Hunter Youko: Makai Kara no Tenkousei              | NCS                                   | TurboGrafx-16 CD | 1992 | NTSC (JP)
