|       | Lara Croft - Tomb Raider: Curse of the Sword             | Activision               | Game Boy Color | 2001 | NTSC (NA)
|       | Las Vegas Cool Hand                                      | Take-Two Interactive     | Game Boy Color | 1998 | NTSC (NA)
|       | Legend of the River King                                 | Natsume                  | Game Boy Color | 1999 | NTSC (NA)
|       | Legend of the River King 2                               | Crave                    | Game Boy Color | 2001 | NTSC (NA)
|       | Legend of Zelda: Link's Awakening DX, The                | Nintendo                 | Game Boy Color | 1998 | NTSC (NA)
|       | Legend of Zelda: Oracle of Ages, The                     | Nintendo                 | Game Boy Color | 2001 | NTSC (NA)
|       | Legend of Zelda: Oracle of Seasons, The                  | Nintendo                 | Game Boy Color | 2001 | NTSC (NA)
|       | LEGO Alpha Team                                          | Lego Media               | Game Boy Color | 2000 | NTSC (NA)
|       | LEGO Island 2: The Brickster's Revenge                   | Lego Media               | Game Boy Color | 2001 | NTSC (NA)
|       | LEGO Racers                                              | Lego Media               | Game Boy Color | 2000 | NTSC (NA)
|       | LEGO Stunt Rally                                         | Lego Media               | Game Boy Color | 2000 | NTSC (NA)
|       | Lemmings                                                 | Take-Two Interactive     | Game Boy Color | 2000 | NTSC (NA)
|       | Lil' Monster                                             | Agetec Inc.              | Game Boy Color | 2000 | NTSC (NA)
|       | Little Nicky                                             | Ubisoft                  | Game Boy Color | 2000 | NTSC (NA)
|       | Logical                                                  | SunSoft                  | Game Boy Color | 1999 | NTSC (NA)
|       | Looney Tunes                                             | SunSoft                  | Game Boy Color | 1998 | NTSC (NA)
|       | Looney Tunes Collector: Alert!                           | Infogrames               | Game Boy Color | 2000 | NTSC (NA)
|       | Looney Tunes Racing                                      | Infogrames               | Game Boy Color | 2000 | NTSC (NA)
|       | Looney Tunes: Carrot Crazy                               | Infogrames               | Game Boy Color | 1999 | NTSC (NA)
|       | Looney Tunes: Twouble!                                   | Infogrames               | Game Boy Color | 1998 | NTSC (NA)
|       | Lucky Luke                                               | Infogrames               | Game Boy Color | 1999 | NTSC (NA)
|       | Lufia: The Legend Returns                                | Natsume                  | Game Boy Color | 2001 | NTSC (NA)
|       | M&M's Mini Madness                                       | Majesco Games            | Game Boy Color | 2000 | NTSC (NA)
|       | Madden NFL 2000                                          | THQ                      | Game Boy Color | 1999 | NTSC (NA)
|       | Madden NFL 2001                                          | EA Sports                | Game Boy Color | 2000 | NTSC (NA)
|       | Madden NFL 2002                                          | EA Sports                | Game Boy Color | 2001 | NTSC (NA)
|       | Magi Nation                                              | Interactive Imagination  | Game Boy Color | 2001 | NTSC (NA)
|       | Magical Drop                                             | Classified Games         | Game Boy Color | 2000 | NTSC (NA)
|       | Magical Tetris Challenge                                 | Capcom                   | Game Boy Color | 2000 | NTSC (NA)
|       | Marble Madness                                           | Midway                   | Game Boy Color | 1999 | NTSC (NA)
|       | Mario Golf                                               | Nintendo                 | Game Boy Color | 1999 | NTSC (NA)
|       | Mario Tennis                                             | Nintendo                 | Game Boy Color | 2001 | NTSC (NA)
|       | Marvin Strikes Back!                                     | Infogrames               | Game Boy Color | 2000 | NTSC (NA)
|       | Mary-Kate & Ashley: Get a Clue!                          | Acclaim                  | Game Boy Color | 2000 | NTSC (NA)
|       | Mary-Kate and Ashley: Crush Course                       | Acclaim                  | Game Boy Color | 2001 | NTSC (NA)
|       | Mary-Kate and Ashley: Pocket Planner                     | Acclaim                  | Game Boy Color | 2000 | NTSC (NA)
|       | Mary-Kate and Ashley: Winners Circle                     | Acclaim                  | Game Boy Color | 2001 | NTSC (NA)
|       | Mask of Zorro, The                                       | SunSoft                  | Game Boy Color | 2000 | NTSC (NA)
|       | Mat Hoffman's Pro BMX                                    | Activision               | Game Boy Color | 2001 | NTSC (NA)
|       | Matchbox Caterpillar Construction Zone                   | Mattel                   | Game Boy Color | 2000 | NTSC (NA)
|       | Matchbox Emergency Patrol                                | Mattel                   | Game Boy Color | 2001 | NTSC (NA)
|       | Mega Man Xtreme                                          | Capcom                   | Game Boy Color | 2001 | NTSC (NA)
|       | Mega Man Xtreme 2                                        | Capcom                   | Game Boy Color | 2001 | NTSC (NA)
|       | Men in Black 2: The Series                               | Crave                    | Game Boy Color | 2000 | NTSC (NA)
|       | Men in Black: The Series                                 | Crave                    | Game Boy Color | 1998 | NTSC (NA)
|       | Metal Gear Solid                                         | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | Metal Walker                                             | Capcom                   | Game Boy Color | 2001 | NTSC (NA)
|       | Mia Hamm Soccer Shootout                                 | SouthPeak Games          | Game Boy Color | 2000 | NTSC (NA)
|       | Mickey's Racing Adventure                                | Nintendo                 | Game Boy Color | 1999 | NTSC (NA)
|       | Mickey's Speedway USA                                    | Nintendo                 | Game Boy Color | 2001 | NTSC (NA)
|       | Micro Machines 1 and 2: Twin Turbo                       | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | Micro Machines V3                                        | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | Microsoft Pinball Arcade                                 | Classified Games         | Game Boy Color | 2001 | NTSC (NA)
|       | Microsoft: The 6in1 Puzzle Collection Entertainment Pack | Classified Games         | Game Boy Color | 2000 | NTSC (NA)
|       | Microsoft: The Best of Entertainment Pack                | Classified Games         | Game Boy Color | 2001 | NTSC (NA)
|       | Midway Presents Arcade Hits: Joust / Defender            | Midway                   | Game Boy Color | 1999 | NTSC (NA)
|       | Midway Presents Arcade Hits: Moon Patrol / Spy Hunter    | Midway                   | Game Boy Color | 1999 | NTSC (NA)
|       | Millennium Winter Sports                                 | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | Missile Command                                          | Hasbro Interactive       | Game Boy Color | 1999 | NTSC (NA)
|       | Mission: Impossible                                      | Infogrames               | Game Boy Color | 2000 | NTSC (NA)
|       | Monopoly                                                 | Majesco Games            | Game Boy Color | 1999 | NTSC (NA)
|       | Monster Rancher Battle Card GB                           | Tecmo                    | Game Boy Color | 2000 | NTSC (NA)
