|       | Sonic Boom: Rise of Lyric                                                | Sega                                   | Nintendo Wii U | 2014 | NTSC (NA)
|       | Sonic: Lost World                                                        | Sega                                   | Nintendo Wii U | 2013 | NTSC (NA)
|       | Splatoon                                                                 | Nintendo                               | Nintendo Wii U | 2015 | NTSC (NA)
|       | SpongeBob SquarePants: Plankton's Robotic Revenge                        | Activision                             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Star Fox Guard                                                           | Nintendo                               | Nintendo Wii U | 2016 | NTSC (NA)
|       | Star Fox Zero + Star Fox Guard                                           | Nintendo                               | Nintendo Wii U | 2016 | NTSC (NA)
|       | SteamWorld Collection                                                    | Rising Star Games                      | Nintendo Wii U | 2016 | NTSC (NA)
|       | Super Mario 3D World                                                     | Nintendo                               | Nintendo Wii U | 2013 | NTSC (NA)
|       | Super Mario Maker                                                        | Nintendo                               | Nintendo Wii U | 2015 | NTSC (NA)
|       | Super Smash Bros. for Wii U                                              | Nintendo                               | Nintendo Wii U | 2014 | NTSC (NA)
|       | Tank! Tank! Tank!                                                        | Namco Bandai Games                     | Nintendo Wii U | 2012 | NTSC (NA)
|       | Tekken Tag Tournament 2: Wii U Edition                                   | Namco Bandai Games America             | Nintendo Wii U | 2012 | NTSC (NA)
|       | Terraria                                                                 | 505 Games                              | Nintendo Wii U | 2016 | NTSC (NA)
|       | Tokyo Mirage Sessions #FE                                                | Nintendo                               | Nintendo Wii U | 2016 | NTSC (NA)
|       | Tom Clancy's Splinter Cell: Blacklist                                    | Ubisoft                                | Nintendo Wii U | 2013 | NTSC (NA)
|       | Transformers Prime: The Game                                             | Activision                             | Nintendo Wii U | 2012 | NTSC (NA)
|       | Transformers: Rise of the Dark Spark                                     | Activision                             | Nintendo Wii U | 2014 | NTSC (NA)
|       | Tumblestone                                                              | Nighthawk Interactive                  | Nintendo Wii U | 2016 | NTSC (NA)
|       | Turbo: Super Stunt Squad                                                 | D3Publisher                            | Nintendo Wii U | 2013 | NTSC (NA)
|       | Voice: I Want You, The                                                   | Activision                             | Nintendo Wii U | 2014 | NTSC (NA)
|       | Walking Dead: Survival Instinct, The                                     | Activision                             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Warriors Orochi 3 Hyper                                                  | Tecmo Koei America Corp.               | Nintendo Wii U | 2012 | NTSC (NA)
|       | Watch Dogs                                                               | Ubisoft                                | Nintendo Wii U | 2014 | NTSC (NA)
|       | Wheel of Fortune                                                         | THQ                                    | Nintendo Wii U | 2012 | NTSC (NA)
|       | Wii Fit U                                                                | Nintendo                               | Nintendo Wii U | 2014 | NTSC (NA)
|       | Wii Party U                                                              | Nintendo                               | Nintendo Wii U | 2013 | NTSC (NA)
|       | Wii Sports Club                                                          | Nintendo                               | Nintendo Wii U | 2014 | NTSC (NA)
|       | Wipeout 3                                                                | Activision                             | Nintendo Wii U | 2012 | NTSC (NA)
|       | Wipeout: Create & Crash                                                  | Activision                             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Wonderful 101, The                                                       | Nintendo                               | Nintendo Wii U | 2013 | NTSC (NA)
|       | Xenoblade Chronicles X                                                   | Nintendo                               | Nintendo Wii U | 2015 | NTSC (NA)
|       | Yoshi's Woolly World                                                     | Nintendo                               | Nintendo Wii U | 2015 | NTSC (NA)
|       | Your Shape: Fitness Evolved 2013                                         | Ubisoft                                | Nintendo Wii U | 2012 | NTSC (NA)
|       | ZombiU                                                                   | Ubisoft                                | Nintendo Wii U | 2012 | NTSC (NA)
|       | Zumba Fitness World Party                                                | Majesco Games                          | Nintendo Wii U | 2013 | NTSC (NA)
