|       | Tantei Jinguuji Saburou: Kiken na Futari                      | Data East             | Famicom Disk System | 1988 | NTSC (JP)
|       | Tantei Jinguuji Saburou: Kiken na Futari                      | Data East             | Famicom Disk System | 1989 | NTSC (JP)
|       | Tantei Jinguuji Saburou: Shinjuku Chuuou Kouen Satsujin Jiken | Data East             | Famicom Disk System | 1987 | NTSC (JP)
|       | Tarot Uranai                                                  | Scorpion Soft         | Famicom Disk System | 1988 | NTSC (JP)
|       | Tennis                                                        | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Time Twist: Rekishi no Katasumi de... - Kouhen                | Nintendo              | Famicom Disk System | 1991 | NTSC (JP)
|       | Time Twist: Rekishi no Katasumi de... - Zenpen                | Nintendo              | Famicom Disk System | 1991 | NTSC (JP)
|       | Titanic Mystery: Ao no Senritsu                               | Gakken                | Famicom Disk System | 1987 | NTSC (JP)
|       | Tobidase Daisakusen                                           | SquareSoft            | Famicom Disk System | 1987 | NTSC (JP)
|       | Topple Zip                                                    | Bothtec               | Famicom Disk System | 1987 | NTSC (JP)
|       | Transformers: The Headmasters                                 | Takara                | Famicom Disk System | 1987 | NTSC (JP)
|       | TwinBee                                                       | Konami                | Famicom Disk System | 1988 | NTSC (JP)
|       | Ultraman 2: Shutsugeki Katoku Tai!!                           | Bandai                | Famicom Disk System | 1987 | NTSC (JP)
|       | Ultraman Club: Chikyuu Dakkan Sakusen                         | Bandai                | Famicom Disk System | 1988 | NTSC (JP)
|       | Ultraman: Kaijuu Teikoku no Gyakushuu                         | Bandai                | Famicom Disk System | 1987 | NTSC (JP)
|       | Volleyball                                                    | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Vs. Excitebike                                                | Nintendo              | Famicom Disk System | 1988 | NTSC (JP)
|       | Wakusei Aton Gaiden                                           | Kokuzeichou           | Famicom Disk System | 1990 | NTSC (JP)
|       | Wardner no Mori                                               | Taito Corporation     | Famicom Disk System | 1988 | NTSC (JP)
|       | Winter Games                                                  | Pony Canyon           | Famicom Disk System | 1987 | NTSC (JP)
|       | Wrecking Crew                                                 | Nintendo              | Famicom Disk System | 1989 | NTSC (JP)
|       | Xevious                                                       | Namco                 | Famicom Disk System | 1990 | NTSC (JP)
|       | Youkai Yashiki                                                | Irem                  | Famicom Disk System | 1987 | NTSC (JP)
|       | Yume Koujou: Doki Doki Panic                                  | Fuji Television       | Famicom Disk System | 1987 | NTSC (JP)
|       | Yuu Maze                                                      | Taito Corporation     | Famicom Disk System | 1988 | NTSC (JP)
|       | Zanac AI                                                      | Pony Canyon           | Famicom Disk System | 1986 | NTSC (JP)
|       | Zelda no Densetsu: The Hyrule Fantasy                         | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
