|       | VR Golf '97                                                    | Interplay                | Sega Saturn | 1996 | NTSC (NA)
|       | VR Soccer                                                      | VR Sports                | Sega Saturn | 1996 | NTSC (NA)
|       | VR Virtua Racing                                               | Time Warner Interactive  | Sega Saturn | 1995 | NTSC (NA)
|       | Warcraft II: The Dark Saga                                     | Electronic Arts          | Sega Saturn | 1997 | NTSC (NA)
|       | Wing Arms                                                      | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Winning Post                                                   | Koei                     | Sega Saturn | 1996 | NTSC (NA)
|       | Winter Heat                                                    | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Wipeout                                                        | Soft Bank                | Sega Saturn | 1996 | NTSC (NA)
|       | World Cup Golf: Professional Edition                           | U.S. Gold                | Sega Saturn | 1996 | NTSC (NA)
|       | World Series Baseball                                          | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | World Series Baseball '98                                      | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | World Series Baseball II                                       | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Worldwide Soccer: Sega International Victory Goal Edition      | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Worms                                                          | Ocean                    | Sega Saturn | 1997 | NTSC (NA)
|       | WWF In Your House                                              | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | WWF Wrestlemania: The Arcade Game                              | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | X-Men: Children of the Atom                                    | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | 3D Lemmings                                                    | Psygnosis                     | Sega Saturn | 1996 | PAL
|       | Actua Golf                                                     | Gremlin Interactive           | Sega Saturn | 1997 | PAL
|       | Actua Soccer: Club Edition                                     | Gremlin Interactive           | Sega Saturn | 1996 | PAL
|       | Alien Trilogy                                                  | Acclaim                       | Sega Saturn | 1996 | PAL
|       | Alone in the Dark: Jack is Back                                | Infogrames                    | Sega Saturn | 1996 | PAL
|       | Amok                                                           | Sega                          | Sega Saturn | 1997 | PAL
|       | Andretti Racing                                                | Electronic Arts               | Sega Saturn | 1996 | PAL
|       | Area 51                                                        | Midway                        | Sega Saturn | 1997 | PAL
|       | Athlete Kings                                                  | Sega                          | Sega Saturn | 1995 | PAL
|       | Atlantis: Secrets d'un monde oublie                            | Cryo Interactive              | Sega Saturn | 1997 | PAL
|       | Baku Baku                                                      | Sega                          | Sega Saturn | 1998 | PAL
|       | Batman Forever: The Arcade Game                                | Acclaim                       | Sega Saturn | 1997 | PAL
|       | Battle Arena Toshinden Remix                                   | Sega                          | Sega Saturn | 1996 | PAL
|       | Battle Arena Toshinden URA                                     | Sega                          | Sega Saturn | 1996 | PAL
|       | Battle Monsters                                                | Acclaim                       | Sega Saturn | 1995 | PAL
|       | Battle Stations                                                | Electronic Arts               | Sega Saturn | 1997 | PAL
|       | Black Dawn                                                     | Virgin Interactive            | Sega Saturn | 1997 | PAL
|       | Black Fire                                                     | Virgin Interactive            | Sega Saturn | 1995 | PAL
|       | Blam! Machinehead                                              | Core Design Ltd.              | Sega Saturn | 1997 | PAL
|       | Blast Chamber                                                  | Activision                    | Sega Saturn | 1997 | PAL
|       | Blazing Dragons                                                | Sega                          | Sega Saturn | 1996 | PAL
|       | Bootleg Sampler                                                | Sega                          | Sega Saturn | 1995 | PAL
|       | Break Point                                                    | Ocean                         | Sega Saturn | 1997 | PAL
|       | Bubble Bobble also featuring Rainbow Islands                   | Acclaim                       | Sega Saturn | 1996 | PAL
|       | Bug Too!                                                       | Sega                          | Sega Saturn | 1997 | PAL
|       | Bug!                                                           | Sega                          | Sega Saturn | 1995 | PAL
|       | Burning Rangers                                                | Sega                          | Sega Saturn | 1998 | PAL
|       | Bust-A-Move 2: Arcade Edition                                  | Acclaim                       | Sega Saturn | 1996 | PAL
|       | Bust-A-Move 3                                                  | Acclaim                       | Sega Saturn | 1997 | PAL
|       | Casper                                                         | Interplay                     | Sega Saturn | 1996 | PAL
|       | Chaos Control                                                  | Infogrames                    | Sega Saturn | 1996 | PAL
|       | Christmas NiGHTS into Dreams...                                | Sega                          | Sega Saturn | 1996 | PAL
|       | Clockwork Knight                                               | Sega                          | Sega Saturn | 1995 | PAL
|       | Clockwork Knight 2                                             | Sega                          | Sega Saturn | 1995 | PAL
|       | Command & Conquer                                              | Westwood Studios              | Sega Saturn | 1997 | PAL
|       | Courier Crisis                                                 | BMG Interactive Entertainment | Sega Saturn | 1998 | PAL
|       | CrimeWave                                                      | Eidos Interactive             | Sega Saturn | 1997 | PAL
|       | Croc: Legend of the Gobbos                                     | Fox Interactive               | Sega Saturn | 1997 | PAL
|       | Crow: City of Angels, The                                      | Acclaim                       | Sega Saturn | 1997 | PAL
|       | Crusader: No Remorse                                           | Electronic Arts               | Sega Saturn | 1997 | PAL
|       | Crypt Killer                                                   | Konami                        | Sega Saturn | 1997 | PAL
|       | Cyber Speedway                                                 | Sega                          | Sega Saturn | 1996 | PAL
|       | Cyberia                                                        | Interplay                     | Sega Saturn | 1996 | PAL
|       | D                                                              | Acclaim                       | Sega Saturn | 1996 | PAL
|       | Darius Gaiden                                                  | Acclaim                       | Sega Saturn | 1996 | PAL
|       | Darius II                                                      | Taito Corporation             | Sega Saturn | 1996 | PAL
|       | Dark Savior                                                    | Sega                          | Sega Saturn | 1997 | PAL
|       | Darklight Conflict                                             | Electronic Arts               | Sega Saturn | 1997 | PAL
|       | Daytona USA                                                    | Sega                          | Sega Saturn | 1995 | PAL
