|       | Darksiders                                                               | THQ                                    | PlayStation 3 | 2010 | North America
|       | Darksiders Collection                                                    | Nordic Games Publishing                | PlayStation 3 | 2014 | North America
|       | Darksiders II                                                            | THQ                                    | PlayStation 3 | 2012 | North America
|       | Days of Thunder: NASCAR Edition                                          | Paramount Digital Entertainment        | PlayStation 3 | 2011 | North America
|       | DC Universe Online                                                       | Sony Online Entertainment              | PlayStation 3 | 2011 | North America
|       | de Blob 2                                                                | THQ                                    | PlayStation 3 | 2011 | North America
|       | Dead Island                                                              | Deep Silver                            | PlayStation 3 | 2011 | North America
|       | Dead Island: Game Of The Year Edition                                    | Deep Silver                            | PlayStation 3 | 2011 | North America
|       | Dead Island: Riptide                                                     | Deep Silver                            | PlayStation 3 | 2013 | North America
|       | Dead or Alive 5                                                          | Tecmo Koei America Corp.               | PlayStation 3 | 2012 | North America
|       | Dead or Alive 5 Ultimate                                                 | Tecmo Koei America Corp.               | PlayStation 3 | 2013 | North America
|       | Dead Rising 2                                                            | Capcom                                 | PlayStation 3 | 2010 | North America
|       | Dead Rising 2: Off the Record                                            | Capcom                                 | PlayStation 3 | 2011 | North America
|       | Dead Space                                                               | Electronic Arts                        | PlayStation 3 | 2008 | North America
|       | Dead Space 2                                                             | Electronic Arts                        | PlayStation 3 | 2011 | North America
|       | Dead Space 3                                                             | Electronic Arts                        | PlayStation 3 | 2013 | North America
|       | Dead to Rights: Retribution                                              | Namco Bandai Games America             | PlayStation 3 | 2010 | North America
|       | Deadliest Catch: Sea of Chaos                                            | Crave                                  | PlayStation 3 | 2010 | North America
|       | Deadliest Warrior: Ancient Combat                                        | 345 Games                              | PlayStation 3 | 2012 | North America
|       | Deadly Premonition: The Director's Cut                                   | Rising Star Games                      | PlayStation 3 | 2013 | North America
|       | Deadpool                                                                 | Activision                             | PlayStation 3 | 2013 | North America
|       | Deception IV: Blood Ties                                                 | Tecmo Koei Games                       | PlayStation 3 | 2014 | North America
|       | Def Jam Rapstar                                                          | Konami                                 | PlayStation 3 | 2010 | North America
|       | Def Jam: Icon                                                            | EA Games                               | PlayStation 3 | 2007 | North America
|       | Defiance                                                                 | Trion Worlds                           | PlayStation 3 | 2013 | North America
|       | Demon's Souls                                                            | ATLUS                                  | PlayStation 3 | 2009 | North America
|       | Dengeki Bunko: Fighting Climax                                           | Sega                                   | PlayStation 3 | 2015 | North America
|       | Destiny                                                                  | Activision                             | PlayStation 3 | 2014 | North America
|       | Destiny: The Taken King - Legendary Edition                              | Activision                             | PlayStation 3 | 2015 | North America
|       | Deus Ex: Human Revolution                                                | Square Enix                            | PlayStation 3 | 2011 | North America
|       | Deus Ex: Human Revolution - Director's Cut                               | Square Enix                            | PlayStation 3 | 2013 | North America
|       | Devil May Cry 4                                                          | Capcom                                 | PlayStation 3 | 2008 | North America
|       | Devil May Cry HD Collection                                              | Capcom                                 | PlayStation 3 | 2012 | North America
|       | Diablo III                                                               | Blizzard Entertainment                 | PlayStation 3 | 2013 | North America
|       | Diablo III: Ultimate Evil Edition                                        | Blizzard Entertainment                 | PlayStation 3 | 2014 | North America
|       | Digimon All-Star Rumble                                                  | Bandai Namco Games                     | PlayStation 3 | 2014 | North America
|       | DiRT                                                                     | Codemasters                            | PlayStation 3 | 2007 | North America
|       | DiRT 2                                                                   | Codemasters                            | PlayStation 3 | 2009 | North America
|       | DiRT 3                                                                   | Codemasters                            | PlayStation 3 | 2011 | North America
|       | DiRT Showdown                                                            | Codemasters                            | PlayStation 3 | 2012 | North America
|       | Disgaea 3: Absence of Justice                                            | NIS America                            | PlayStation 3 | 2008 | North America
|       | Disgaea 4: A Promise Unforgotten                                         | NIS America                            | PlayStation 3 | 2011 | North America
|       | Disgaea D2: A Brighter Darkness                                          | NIS America                            | PlayStation 3 | 2013 | North America
|       | Disgaea Triple Play Collection, The                                      | NIS America                            | PlayStation 3 | 2015 | North America
|       | Dishonored                                                               | Bethesda Softworks                     | PlayStation 3 | 2012 | North America
|       | Disney DuckTales Remastered                                              | Capcom                                 | PlayStation 3 | 2013 | North America
|       | Disney Epic Mickey 2: The Power of Two                                   | Disney Interactive Studios             | PlayStation 3 | 2012 | North America
|       | Disney Infinity                                                          | Disney Interactive Studios             | PlayStation 3 | 2013 | North America
|       | Disney Infinity 2.0 Edition                                              | Disney Interactive Studios             | PlayStation 3 | 2014 | North America
