|       | Double Strike                                               | American Video Entertainment   | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Dr. Chaos                                                   | FCI, Inc.                      | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Dr. Jekyll and Mr. Hyde                                     | Bandai                         | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Dr. Mario                                                   | Nintendo                       | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Dragon Fighter                                              | Sofel                          | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Dragon Power                                                | Bandai                         | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Dragon Spirit: The New Legend                               | Bandai                         | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Dragon Warrior                                              | Nintendo                       | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Dragon Warrior II                                           | Enix America, Inc.             | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Dragon Warrior III                                          | Enix America, Inc.             | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Dragon Warrior IV                                           | Enix America, Inc.             | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Dragon's Lair                                               | Epic Sony Record               | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Duck Hunt                                                   | Nintendo                       | Nintendo Entertainment System | 1985 | NTSC (NA)
|       | Dudes With Attitude                                         | American Video Entertainment   | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Dungeon Magic: Sword of the Elements                        | Taito Corporation              | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Dusty Diamond's All-Star Softball                           | Broderbund                     | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Dynowarz: The Destruction of Spondylus                      | Bandai America Inc.            | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Elevator Action                                             | Taito Corporation              | Nintendo Entertainment System | 1987 | NTSC (NA)
|       | Eliminator Boat Duel                                        | Electro Brain                  | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Excitebike                                                  | Nintendo                       | Nintendo Entertainment System | 1985 | NTSC (NA)
|       | Exodus: Journey to the Promised Land                        | Wisdom Tree                    | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | F-117A Stealth Fighter                                      | MicroProse                     | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | F-15 City War                                               | American Video Entertainment   | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | F-15 Strike Eagle                                           | MicroProse                     | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Family Feud                                                 | GameTek                        | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Fantastic Adventures of Dizzy, The                          | Camerica                       | Nintendo Entertainment System | 1993 | NTSC (NA)
