|       | InfoGenius Productivity Pak: Personal Organizer and Phone Book | GameTek                      | Game Boy | 1991 | NTSC (NA)
|       | InfoGenius Productivity Pak: Spell Checker and Calculator      | GameTek                      | Game Boy | 1991 | NTSC (NA)
|       | International Superstar Soccer                                 | Konami                       | Game Boy | 1998 | NTSC (NA)
|       | Iron Man / X-O Manowar in Heavy Metal                          | Acclaim                      | Game Boy | 1996 | NTSC (NA)
|       | Ishido: The Way of Stones                                      | Publishing International     | Game Boy | 1990 | NTSC (NA)
|       | Itchy & Scratchy in Miniature Golf Madness                     | Acclaim                      | Game Boy | 1994 | NTSC (NA)
|       | Jack Nicklaus Golf                                             | Tradewest                    | Game Boy | 1992 | NTSC (NA)
|       | James Bond 007                                                 | Nintendo                     | Game Boy | 1998 | NTSC (NA)
|       | Jeep Jamboree: Off Road Adventure                              | Virgin Interactive           | Game Boy | 1992 | NTSC (NA)
|       | Jeopardy!                                                      | GameTek                      | Game Boy | 1991 | NTSC (NA)
|       | Jeopardy! Platinum Edition                                     | GameTek                      | Game Boy | 1996 | NTSC (NA)
|       | Jeopardy! Sports Edition                                       | GameTek                      | Game Boy | 1994 | NTSC (NA)
|       | Jeopardy! Teen Tournament                                      | GameTek                      | Game Boy | 1996 | NTSC (NA)
|       | Jetsons: Robot Panic, The                                      | Taito Corporation            | Game Boy | 1992 | NTSC (NA)
|       | Jimmy Connors Tennis                                           | Ubisoft                      | Game Boy | 1998 | NTSC (NA)
|       | Joe & Mac                                                      | Data East                    | Game Boy | 1993 | NTSC (NA)
|       | Jordan vs Bird: One on One                                     | Electronic Arts              | Game Boy | 1992 | NTSC (NA)
|       | Joshua & the Battle of Jericho                                 | Wisdom Tree                  | Game Boy | 1992 | NTSC (NA)
|       | Judge Dredd                                                    | Acclaim                      | Game Boy | 1995 | NTSC (NA)
|       | Jungle Strike                                                  | Ocean                        | Game Boy | 1995 | NTSC (NA)
|       | Jurassic Park                                                  | Ocean                        | Game Boy | 1993 | NTSC (NA)
|       | Jurassic Park Part 2: The Chaos Continues                      | Ocean                        | Game Boy | 1994 | NTSC (NA)
|       | Ken Griffey Jr. Presents Major League Baseball                 | Nintendo                     | Game Boy | 1997 | NTSC (NA)
|       | Kid Dracula                                                    | Konami                       | Game Boy | 1993 | NTSC (NA)
|       | Kid Icarus: Of Myths and Monsters                              | Nintendo                     | Game Boy | 1991 | NTSC (NA)
|       | Killer Instinct                                                | Nintendo                     | Game Boy | 1995 | NTSC (NA)
|       | King James Bible                                               | Wisdom Tree                  | Game Boy | 1994 | NTSC (NA)
|       | King of Fighters '95, The                                      | Nintendo                     | Game Boy | 1997 | NTSC (NA)
|       | Kingdom Crusade                                                | Electro Brain                | Game Boy | 1992 | NTSC (NA)
|       | Kirby's Block Ball                                             | Nintendo                     | Game Boy | 1996 | NTSC (NA)
|       | Kirby's Dream Land                                             | Nintendo                     | Game Boy | 1992 | NTSC (NA)
|       | Kirby's Dream Land 2                                           | Nintendo                     | Game Boy | 1995 | NTSC (NA)
|       | Kirby's Pinball Land                                           | Nintendo                     | Game Boy | 1993 | NTSC (NA)
|       | Kirby's Star Stacker                                           | Nintendo                     | Game Boy | 1997 | NTSC (NA)
|       | Klax                                                           | Mindscape Inc.               | Game Boy | 1991 | NTSC (NA)
|       | Knight Quest                                                   | Taito Corporation            | Game Boy | 1992 | NTSC (NA)
|       | Krusty's Fun House                                             | Acclaim                      | Game Boy | 1993 | NTSC (NA)
|       | Kung Fu Master                                                 | Irem                         | Game Boy | 1991 | NTSC (NA)
|       | Kwirk                                                          | Acclaim                      | Game Boy | 1990 | NTSC (NA)
|       | Lamborghini: American Challenge                                | Titus Software               | Game Boy | 1994 | NTSC (NA)
|       | Last Action Hero                                               | Sony Imagesoft               | Game Boy | 1993 | NTSC (NA)
|       | Lazlos' Leap                                                   | DTMC                         | Game Boy | 1992 | NTSC (NA)
|       | Legend of the River King                                       | Natsume                      | Game Boy | 1998 | NTSC (NA)
|       | Legend of Zelda: Link's Awakening, The                         | Nintendo                     | Game Boy | 1993 | NTSC (NA)
|       | Lemmings                                                       | Ocean                        | Game Boy | 1994 | NTSC (NA)
|       | Lethal Weapon                                                  | Ocean                        | Game Boy | 1993 | NTSC (NA)
|       | Lion King, The                                                 | Virgin Interactive           | Game Boy | 1995 | NTSC (NA)
|       | Lock n' Chase                                                  | Data East                    | Game Boy | 1990 | NTSC (NA)
|       | Looney Tunes                                                   | SunSoft                      | Game Boy | 1992 | NTSC (NA)
|       | LoopZ                                                          | Mindscape Inc.               | Game Boy | 1991 | NTSC (NA)
|       | Lost World: Jurassic Park, The                                 | THQ                          | Game Boy | 1997 | NTSC (NA)
|       | Madden 95                                                      | Malibu                       | Game Boy | 1994 | NTSC (NA)
|       | Madden 96                                                      | Black Pearl                  | Game Boy | 1995 | NTSC (NA)
|       | Madden 97                                                      | Black Pearl                  | Game Boy | 1996 | NTSC (NA)
|       | Malibu Beach Volleyball                                        | Activision                   | Game Boy | 1990 | NTSC (NA)
|       | Marble Madness                                                 | Mindscape Inc.               | Game Boy | 1991 | NTSC (NA)
|       | Mario's Picross                                                | Nintendo                     | Game Boy | 1995 | NTSC (NA)
|       | Maru's Mission                                                 | Jaleco Entertainment         | Game Boy | 1991 | NTSC (NA)
|       | Maui Mallard in Cold Shadow                                    | SunSoft                      | Game Boy | 1998 | NTSC (NA)
|       | Mega Man II                                                    | Capcom                       | Game Boy | 1992 | NTSC (NA)
|       | Mega Man III                                                   | Capcom                       | Game Boy | 1992 | NTSC (NA)
|       | Mega Man IV                                                    | Capcom                       | Game Boy | 1993 | NTSC (NA)
|       | Mega Man V                                                     | Capcom                       | Game Boy | 1994 | NTSC (NA)
|       | Mega Man: Dr. Wily's Revenge                                   | Capcom                       | Game Boy | 1991 | NTSC (NA)
|       | Megalit                                                        | Takara                       | Game Boy | 1992 | NTSC (NA)
|       | Mercenary Force                                                | Meldac                       | Game Boy | 1990 | NTSC (NA)
|       | Metal Masters                                                  | Electro Brain                | Game Boy | 1993 | NTSC (NA)
|       | Metroid II: Return of Samus                                    | Nintendo                     | Game Boy | 1991 | NTSC (NA)
|       | Mickey Mouse: Magic Wands!                                     | Nintendo                     | Game Boy | 1998 | NTSC (NA)
|       | Mickey's Dangerous Chase                                       | Capcom                       | Game Boy | 1991 | NTSC (NA)
|       | Mickey's Ultimate Challenge                                    | Hi Tech Expressions          | Game Boy | 1994 | NTSC (NA)
|       | Micro Machines                                                 | Ocean                        | Game Boy | 1995 | NTSC (NA)
|       | Mighty Morphin Power Rangers                                   | Bandai                       | Game Boy | 1994 | NTSC (NA)
|       | Mighty Morphin Power Rangers: The Movie                        | Bandai                       | Game Boy | 1995 | NTSC (NA)
|       | Milon's Secret Castle                                          | Hudson                       | Game Boy | 1993 | NTSC (NA)
|       | Miner 2049er                                                   | Mindscape Inc.               | Game Boy | 1992 | NTSC (NA)
|       | Missile Command                                                | Accolade                     | Game Boy | 1992 | NTSC (NA)
|       | Mole Mania                                                     | Nintendo                     | Game Boy | 1996 | NTSC (NA)
|       | Monopoly                                                       | Parker Bros                  | Game Boy | 1991 | NTSC (NA)
|       | Monster Truck Wars                                             | Acclaim                      | Game Boy | 1994 | NTSC (NA)
|       | Mortal Kombat                                                  | Acclaim                      | Game Boy | 1993 | NTSC (NA)
|       | Mortal Kombat & Mortal Kombat II                               | Acclaim                      | Game Boy | 1997 | NTSC (NA)
|       | Mortal Kombat 3                                                | Acclaim                      | Game Boy | 1995 | NTSC (NA)
|       | Mortal Kombat II                                               | Acclaim                      | Game Boy | 1994 | NTSC (NA)
|       | Motocross Maniacs                                              | Ultra                        | Game Boy | 1990 | NTSC (NA)
|       | Mouse Trap Hotel                                               | Electro Brain                | Game Boy | 1992 | NTSC (NA)
