|       | NAM-1975                                          | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Neo-Geo Cup '98: The Road to Victory              | SNK              | Neo Geo AES | 1998 | NTSC (JP)
|       | Ninja Combat                                      | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Ninja Commando                                    | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | Ninja Master's Haou Ninpou-chou                   | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | OverTop                                           | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Pulstar                                           | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Quiz Daisousa Sen Part 2: Quiz Meintantei Neo Geo | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | Quiz Daisousa Sen: The Last Count Down            | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Quiz King of Fighters                             | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Rage of the Dragons                               | Playmore         | Neo Geo AES | 2002 | NTSC (JP)
|       | Raguy                                             | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Real Bout Garou Densetsu                          | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Real Bout Garou Densetsu 2: The Newcomers         | SNK              | Neo Geo AES | 1998 | NTSC (JP)
|       | Real Bout Garou Densetsu Special                  | SNK              | Neo Geo AES | 1997 | NTSC (JP)
|       | Riding Hero                                       | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Robo Army                                         | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Ryuuko no Ken                                     | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | Ryuuko no Ken 2                                   | SNK              | Neo Geo AES | 1994 | NTSC (JP)
|       | Samurai Spirits                                   | SNK              | Neo Geo AES | 1993 | NTSC (JP)
|       | Samurai Spirits Zero                              | SNK Playmore     | Neo Geo AES | 2003 | NTSC (JP)
|       | Samurai Spirits Zero Special                      | SNK Playmore     | Neo Geo AES | 2004 | NTSC (JP)
|       | Samurai Spirits: Amakusa Kourin                   | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Samurai Spirits: Zankuro Musouken                 | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Sengoku Denshou                                   | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Sengoku Denshou 2                                 | SNK              | Neo Geo AES | 1993 | NTSC (JP)
|       | Sengoku Denshou 2001                              | SNK              | Neo Geo AES | 2001 | NTSC (JP)
|       | Shin Gouketuji Ichizoku: Matrimelee               | Playmore         | Neo Geo AES | 2003 | NTSC (JP)
|       | Shin Samurai Spirits: Haohmaru Jigokuhen          | SNK              | Neo Geo AES | 1994 | NTSC (JP)
|       | Shin-Oh-Ken                                       | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Shock Troopers: 2nd Squad                         | SNK              | Neo Geo AES | 1999 | NTSC (JP)
|       | Shogi no Tatsujin: Master of Shogi                | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Soccer Brawl                                      | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | Sonic Wings 2                                     | SNK              | Neo Geo AES | 1994 | NTSC (JP)
|       | Sonic Wings 3                                     | Video System     | Neo Geo AES | 1995 | NTSC (JP)
|       | Stakes Winner 2                                   | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Stakes Winner: G1 Kanzen Seihahe no Michi         | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Super Baseball 2020                               | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Super Spy, The                                    | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | SVC Chaos: SNK vs. Capcom                         | SNK Playmore     | Neo Geo AES | 2003 | NTSC (JP)
|       | Tengai Makyou Shinden                             | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Thrash Rally                                      | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Tokuten Oh 2: Real Fight Football                 | SNK              | Neo Geo AES | 1994 | NTSC (JP)
|       | Tokuten Oh 3: Eikoue no Michi                     | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Tokuten Oh: Honoo no Libero                       | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Tokuten Oh: Super Sidekicks                       | SNK              | Neo Geo AES | 1993 | NTSC (JP)
|       | Top Hunter: Roddy & Cathy                         | SNK              | Neo Geo AES | 1994 | NTSC (JP)
|       | Top Player's Golf                                 | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Tsuukai GanGan Koushinkyoku                       | SNK              | Neo Geo AES | 1994 | NTSC (JP)
|       | Twinkle Star Sprites                              | SNK              | Neo Geo AES | 1997 | NTSC (JP)
|       | Viewpoint                                         | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | Waku Waku 7                                       | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | World Heroes                                      | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | World Heroes 2                                    | SNK              | Neo Geo AES | 1993 | NTSC (JP)
|       | World Heroes 2 Jet                                | D4 Enterprise    | Neo Geo AES | 1994 | NTSC (JP)
|       | World Heroes Perfect                              | SNK              | Neo Geo AES | 1995 | NTSC (JP)
