|       | G-Force                                                                            | Disney Interactive Studios             | PlayStation Portable | 2009 | NTSC (NA)
|       | G.I. Joe: The Rise of Cobra                                                        | Electronic Arts                        | PlayStation Portable | 2009 | NTSC (NA)
|       | Gangs of London                                                                    | SCEA                                   | PlayStation Portable | 2006 | NTSC (NA)
|       | Generation of Chaos                                                                | NIS America                            | PlayStation Portable | 2006 | NTSC (NA)
|       | Ghost in the Shell: Stand Alone Complex                                            | Bandai                                 | PlayStation Portable | 2005 | NTSC (NA)
|       | Ghost Rider                                                                        | 2K Games                               | PlayStation Portable | 2007 | NTSC (NA)
|       | Ghostbusters: The Video Game                                                       | Atari                                  | PlayStation Portable | 2009 | NTSC (NA)
|       | Gitaroo Man Lives!                                                                 | Koei                                   | PlayStation Portable | 2006 | NTSC (NA)
|       | Gladiator Begins                                                                   | Aksys Games                            | PlayStation Portable | 2010 | NTSC (NA)
|       | Go! Sudoku                                                                         | Ubisoft                                | PlayStation Portable | 2006 | NTSC (NA)
|       | God of War: Chains of Olympus                                                      | SCEA                                   | PlayStation Portable | 2008 | NTSC (NA)
|       | God of War: Ghost of Sparta                                                        | SCEA                                   | PlayStation Portable | 2010 | NTSC (NA)
|       | Godfather: Mob Wars, The                                                           | Electronic Arts                        | PlayStation Portable | 2006 | NTSC (NA)
|       | Gods Eater Burst                                                                   | D3Publisher                            | PlayStation Portable | 2011 | NTSC (NA)
|       | Gradius Collection                                                                 | Konami                                 | PlayStation Portable | 2006 | NTSC (NA)
|       | Gran Turismo                                                                       | SCEA                                   | PlayStation Portable | 2009 | NTSC (NA)
|       | Grand Theft Auto: Chinatown Wars                                                   | Rockstar Games                         | PlayStation Portable | 2009 | NTSC (NA)
|       | Grand Theft Auto: Liberty City Stories                                             | Rockstar Games                         | PlayStation Portable | 2005 | NTSC (NA)
|       | Grand Theft Auto: Vice City Stories                                                | Rockstar Games                         | PlayStation Portable | 2006 | NTSC (NA)
|       | Gretzky NHL                                                                        | SCEA                                   | PlayStation Portable | 2005 | NTSC (NA)
|       | Gretzky NHL 06                                                                     | SCEA                                   | PlayStation Portable | 2005 | NTSC (NA)
|       | GripShift                                                                          | Sony Platform Publishing               | PlayStation Portable | 2005 | NTSC (NA)
|       | Growlanser: Wayfarer of Time                                                       | ATLUS                                  | PlayStation Portable | 2012 | NTSC (NA)
|       | Guilty Gear Judgment                                                               | Majesco Games                          | PlayStation Portable | 2006 | NTSC (NA)
|       | Guilty Gear XX Accent Core Plus                                                    | Aksys Games                            | PlayStation Portable | 2009 | NTSC (NA)
|       | Gun Showdown                                                                       | Activision                             | PlayStation Portable | 2006 | NTSC (NA)
|       | Gungnir                                                                            | ATLUS                                  | PlayStation Portable | 2012 | NTSC (NA)
|       | Gunpey                                                                             | Namco Bandai Games America             | PlayStation Portable | 2006 | NTSC (NA)
|       | Gurumin: A Monstrous Adventure                                                     | Mastiff                                | PlayStation Portable | 2007 | NTSC (NA)
|       | Hakuoki: Demon of the Fleeting Blossom                                             | Aksys Games                            | PlayStation Portable | 2012 | NTSC (NA)
|       | Hakuoki: Warriors of the Shinsengumi                                               | Aksys Games                            | PlayStation Portable | 2013 | NTSC (NA)
|       | Half-Minute Hero                                                                   | Xseed Games                            | PlayStation Portable | 2009 | NTSC (NA)
|       | Hammerin' Hero                                                                     | ATLUS                                  | PlayStation Portable | 2009 | NTSC (NA)
|       | Hannspree Ten Kate Honda: SBK Superbike World Championship                         | Valcon Games                           | PlayStation Portable | 2008 | NTSC (NA)
|       | Hard Rock Casino                                                                   | Crave                                  | PlayStation Portable | 2007 | NTSC (NA)
|       | Harry Potter and the Goblet of Fire                                                | Electronic Arts                        | PlayStation Portable | 2005 | NTSC (NA)
|       | Harry Potter and the Half-Blood Prince                                             | EA Games                               | PlayStation Portable | 2009 | NTSC (NA)
|       | Harry Potter and the Order of the Phoenix                                          | EA Games                               | PlayStation Portable | 2007 | NTSC (NA)
|       | Harvest Moon: Boy & Girl                                                           | Natsume                                | PlayStation Portable | 2007 | NTSC (NA)
|       | Harvest Moon: Hero of Leaf Valley                                                  | Natsume                                | PlayStation Portable | 2010 | NTSC (NA)
|       | Harvey Birdman: Attorney at Law                                                    | Capcom                                 | PlayStation Portable | 2008 | NTSC (NA)
|       | Heatseeker                                                                         | Codemasters                            | PlayStation Portable | 2007 | NTSC (NA)
|       | Hellboy: The Science of Evil                                                       | Konami                                 | PlayStation Portable | 2008 | NTSC (NA)
|       | Hexyz Force                                                                        | ATLUS                                  | PlayStation Portable | 2010 | NTSC (NA)
|       | HGI Ultimate Team Play                                                             | Virtual Heroes, Inc.                   | PlayStation Portable | 2009 | NTSC (NA)
|       | History Egypt: Engineering an Empire                                               | Koch Media                             | PlayStation Portable | 2010 | NTSC (NA)
|       | Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?                   | NIS America                            | PlayStation Portable | 2010 | NTSC (NA)
|       | Hot Brain                                                                          | Midway                                 | PlayStation Portable | 2007 | NTSC (NA)
|       | Hot Pixel                                                                          | Atari                                  | PlayStation Portable | 2007 | NTSC (NA)
|       | Hot Shots Golf: Open Tee                                                           | SCEA                                   | PlayStation Portable | 2005 | NTSC (NA)
|       | Hot Shots Golf: Open Tee 2                                                         | SCEA                                   | PlayStation Portable | 2008 | NTSC (NA)
