|       | Fatal Fury Special                                                                      | Takara                       | Super Nintendo | 1995 | NTSC (NA)
|       | FIFA International Soccer                                                               | Victor Interactive Software  | Super Nintendo | 1994 | NTSC (NA)
|       | FIFA Soccer 96                                                                          | EA Sports                    | Super Nintendo | 1995 | NTSC (NA)
|       | FIFA Soccer 97                                                                          | EA Sports                    | Super Nintendo | 1996 | NTSC (NA)
|       | Fighter's History                                                                       | Data East                    | Super Nintendo | 1994 | NTSC (NA)
|       | Final Fantasy II                                                                        | SquareSoft                   | Super Nintendo | 1991 | NTSC (NA)
|       | Final Fantasy III                                                                       | SquareSoft                   | Super Nintendo | 1994 | NTSC (NA)
|       | Final Fantasy: Mystic Quest                                                             | SquareSoft                   | Super Nintendo | 1992 | NTSC (NA)
|       | Final Fight                                                                             | Capcom                       | Super Nintendo | 1991 | NTSC (NA)
|       | Final Fight 2                                                                           | Capcom                       | Super Nintendo | 1993 | NTSC (NA)
|       | Final Fight 3                                                                           | Capcom                       | Super Nintendo | 1996 | NTSC (NA)
|       | Final Fight Guy                                                                         | Capcom                       | Super Nintendo | 1994 | NTSC (NA)
|       | Firepower 2000                                                                          | SunSoft                      | Super Nintendo | 1992 | NTSC (NA)
|       | Firestriker                                                                             | DTMC                         | Super Nintendo | 1994 | NTSC (NA)
|       | First Samurai                                                                           | Kemco                        | Super Nintendo | 1993 | NTSC (NA)
|       | Flashback: The Quest for Identity                                                       | U.S. Gold                    | Super Nintendo | 1994 | NTSC (NA)
|       | Flintstones, The                                                                        | Ocean                        | Super Nintendo | 1995 | NTSC (NA)
|       | Flintstones: The Treasure of Sierra Madrock, The                                        | Taito Corporation            | Super Nintendo | 1994 | NTSC (NA)
|       | Football Fury                                                                           | American Sammy               | Super Nintendo | 1993 | NTSC (NA)
|       | Foreman For Real                                                                        | Acclaim                      | Super Nintendo | 1995 | NTSC (NA)
|       | Frank Thomas Big Hurt Baseball                                                          | Acclaim                      | Super Nintendo | 1995 | NTSC (NA)
|       | Frantic Flea                                                                            | GameTek                      | Super Nintendo | 1996 | NTSC (NA)
|       | Frogger                                                                                 | Majesco Games                | Super Nintendo | 1998 | NTSC (NA)
|       | Full Throttle All-America Racing                                                        | Cybersoft                    | Super Nintendo | 1995 | NTSC (NA)
|       | Fun 'N' Games                                                                           | Tradewest                    | Super Nintendo | 1994 | NTSC (NA)
|       | Garry Kitchen's Super Battletank: War in the Gulf                                       | Absolute Entertainment       | Super Nintendo | 1992 | NTSC (NA)
|       | Gemfire                                                                                 | Koei                         | Super Nintendo | 1992 | NTSC (NA)
|       | Genghis Khan II: Clan of the Gray Wolf                                                  | Koei                         | Super Nintendo | 1993 | NTSC (NA)
|       | George Foreman's KO Boxing                                                              | Acclaim                      | Super Nintendo | 1992 | NTSC (NA)
|       | Ghoul Patrol                                                                            | JVC Musical Industries, Inc. | Super Nintendo | 1994 | NTSC (NA)
|       | Goal!                                                                                   | Jaleco Entertainment         | Super Nintendo | 1992 | NTSC (NA)
|       | Gods                                                                                    | Mindscape Inc.               | Super Nintendo | 1992 | NTSC (NA)
|       | GP-1                                                                                    | ATLUS                        | Super Nintendo | 1993 | NTSC (NA)
|       | GP-1 Part II                                                                            | ATLUS                        | Super Nintendo | 1994 | NTSC (NA)
|       | Gradius III                                                                             | Konami                       | Super Nintendo | 1991 | NTSC (NA)
|       | Great Circus Mystery, The                                                               | Capcom                       | Super Nintendo | 1994 | NTSC (NA)
|       | Great Waldo Search, The                                                                 | THQ                          | Super Nintendo | 1993 | NTSC (NA)
|       | GunForce                                                                                | Irem                         | Super Nintendo | 1992 | NTSC (NA)
|       | Hagane                                                                                  | Hudson                       | Super Nintendo | 1995 | NTSC (NA)
|       | HAL's Hole in One Golf                                                                  | Hal                          | Super Nintendo | 1991 | NTSC (NA)
|       | HammerLock Wrestling                                                                    | Jaleco Entertainment         | Super Nintendo | 1994 | NTSC (NA)
|       | Hardball III                                                                            | Accolade                     | Super Nintendo | 1994 | NTSC (NA)
|       | Harley's Humongous Adventure                                                            | Hi Tech Expressions          | Super Nintendo | 1993 | NTSC (NA)
|       | Harvest Moon                                                                            | Natsume                      | Super Nintendo | 1997 | NTSC (NA)
|       | Head-On Soccer                                                                          | U.S. Gold                    | Super Nintendo | 1995 | NTSC (NA)
|       | Hit the Ice                                                                             | Taito Corporation            | Super Nintendo | 1993 | NTSC (NA)
|       | Home Alone                                                                              | THQ                          | Super Nintendo | 1991 | NTSC (NA)
|       | Home Alone 2: Lost in New York                                                          | THQ                          | Super Nintendo | 1992 | NTSC (NA)
|       | Home Improvement                                                                        | Absolute Entertainment       | Super Nintendo | 1994 | NTSC (NA)
|       | Hook                                                                                    | Sony Imagesoft               | Super Nintendo | 1992 | NTSC (NA)
|       | Hunt for Red October, The                                                               | Hi Tech Expressions          | Super Nintendo | 1993 | NTSC (NA)
|       | Hurricanes                                                                              | U.S. Gold                    | Super Nintendo | 1994 | NTSC (NA)
|       | Hyper V-Ball                                                                            | Mc O'River                   | Super Nintendo | 1994 | NTSC (NA)
|       | HyperZone                                                                               | Hal                          | Super Nintendo | 1991 | NTSC (NA)
|       | Ignition Factor, The                                                                    | Jaleco Entertainment         | Super Nintendo | 1995 | NTSC (NA)
|       | Illusion of Gaia                                                                        | Nintendo                     | Super Nintendo | 1994 | NTSC (NA)
|       | Imperium                                                                                | Vic Tokai                    | Super Nintendo | 1992 | NTSC (NA)
|       | Incantation                                                                             | Titus Software               | Super Nintendo | 1996 | NTSC (NA)
|       | Incredible Crash Dummies, The                                                           | LJN Ltd.                     | Super Nintendo | 1993 | NTSC (NA)
|       | Incredible Hulk, The                                                                    | U.S. Gold                    | Super Nintendo | 1994 | NTSC (NA)
|       | Indiana Jones' Greatest Adventures                                                      | JVC Digital Studios          | Super Nintendo | 1994 | NTSC (NA)
|       | Inindo: Way of the Ninja                                                                | Koei                         | Super Nintendo | 1993 | NTSC (NA)
|       | Inspector Gadget                                                                        | Hudson Soft                  | Super Nintendo | 1993 | NTSC (NA)
|       | International Superstar Soccer                                                          | Konami                       | Super Nintendo | 1995 | NTSC (NA)
|       | International Superstar Soccer Deluxe                                                   | Konami                       | Super Nintendo | 1995 | NTSC (NA)
|       | International Tennis Tour                                                               | Taito Corporation            | Super Nintendo | 1993 | NTSC (NA)
|       | Irem Skins Game, The                                                                    | Irem                         | Super Nintendo | 1992 | NTSC (NA)
|       | Itchy & Scratchy Game, The                                                              | Acclaim                      | Super Nintendo | 1995 | NTSC (NA)
|       | Izzy's Quest for the Olympic Rings                                                      | U.S. Gold                    | Super Nintendo | 1995 | NTSC (NA)
|       | J.R.R. Tolkien's The Lord of the Rings: Volume 1                                        | Interplay                    | Super Nintendo | 1994 | NTSC (NA)
|       | Jack Nicklaus Golf                                                                      | Tradewest                    | Super Nintendo | 1992 | NTSC (NA)
|       | James Bond Jr.                                                                          | THQ                          | Super Nintendo | 1992 | NTSC (NA)
|       | Jammit                                                                                  | GTE Entertainment            | Super Nintendo | 1994 | NTSC (NA)
|       | Jeopardy!                                                                               | GameTek                      | Super Nintendo | 1992 | NTSC (NA)
|       | Jeopardy! Deluxe Edition                                                                | GameTek                      | Super Nintendo | 1994 | NTSC (NA)
|       | Jeopardy! Sports Edition                                                                | GameTek                      | Super Nintendo | 1994 | NTSC (NA)
|       | Jetsons: Invasion of the Planet Pirates, The                                            | Taito Corporation            | Super Nintendo | 1994 | NTSC (NA)
|       | Jim Lee's Wild C.A.T.S: Covert Action Teams                                             | Playmates                    | Super Nintendo | 1995 | NTSC (NA)
|       | Jim Power: Lost Dimension in 3D                                                         | Electro Brain                | Super Nintendo | 1993 | NTSC (NA)
|       | Jimmy Connors Pro Tennis Tour                                                           | Ubisoft                      | Super Nintendo | 1992 | NTSC (NA)
|       | Jimmy Houston's Bass Tournament U.S.A.                                                  | American Sammy               | Super Nintendo | 1995 | NTSC (NA)
|       | Joe & Mac                                                                               | Data East                    | Super Nintendo | 1992 | NTSC (NA)
|       | Joe & Mac 2: Lost in the Tropics                                                        | Data East                    | Super Nintendo | 1994 | NTSC (NA)
|       | John Madden Football                                                                    | Electronic Arts              | Super Nintendo | 1991 | NTSC (NA)
|       | John Madden Football '93                                                                | Electronic Arts              | Super Nintendo | 1992 | NTSC (NA)
|       | Judge Dredd                                                                             | Acclaim                      | Super Nintendo | 1995 | NTSC (NA)
|       | Jungle Strike                                                                           | Electronic Arts              | Super Nintendo | 1995 | NTSC (NA)
|       | Jurassic Park                                                                           | Ocean                        | Super Nintendo | 1993 | NTSC (NA)
|       | Jurassic Park Part 2: The Chaos Continues                                               | Ocean                        | Super Nintendo | 1994 | NTSC (NA)
|       | Justice League Task Force                                                               | SunSoft                      | Super Nintendo | 1995 | NTSC (NA)
|       | Ka-blooey                                                                               | Kemco                        | Super Nintendo | 1992 | NTSC (NA)
|       | Kawasaki Caribbean Challenge                                                            | GameTek                      | Super Nintendo | 1993 | NTSC (NA)
|       | Kawasaki Superbike Challenge                                                            | Time Warner Interactive      | Super Nintendo | 1995 | NTSC (NA)
