|       | NFL Blitz 2001                                   | Midway                  | Nintendo 64 | 2000 | NTSC (NA)
|       | NFL Blitz Special Edition                        | Midway                  | Nintendo 64 | 2001 | NTSC (NA)
|       | NFL QB Club 2001                                 | Acclaim                 | Nintendo 64 | 2000 | NTSC (NA)
|       | NFL Quarterback Club 2000                        | Acclaim                 | Nintendo 64 | 1999 | NTSC (NA)
|       | NFL Quarterback Club 98                          | Acclaim                 | Nintendo 64 | 1997 | NTSC (NA)
|       | NFL Quarterback Club 99                          | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | NHL 99                                           | EA Sports               | Nintendo 64 | 1998 | NTSC (NA)
|       | NHL Blades of Steel '99                          | Konami                  | Nintendo 64 | 1999 | NTSC (NA)
|       | NHL Breakaway 98                                 | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | NHL Breakaway 99                                 | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | Nightmare Creatures                              | Activision              | Nintendo 64 | 1998 | NTSC (NA)
|       | Nintendo 64 Test Cartridge                       | Nintendo                | Nintendo 64 | 1997 | NTSC (NA)
|       | Nuclear Strike 64                                | THQ                     | Nintendo 64 | 1999 | NTSC (NA)
|       | Off Road Challenge                               | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | Ogre Battle 64: Person of Lordly Caliber         | ATLUS                   | Nintendo 64 | 2000 | NTSC (NA)
|       | Olympic Hockey Nagano 98                         | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | Paper Mario                                      | Nintendo                | Nintendo 64 | 2001 | NTSC (NA)
|       | Paperboy                                         | Midway                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Penny Racers                                     | THQ                     | Nintendo 64 | 1999 | NTSC (NA)
|       | Perfect Dark                                     | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | PGA European Tour                                | Infogrames              | Nintendo 64 | 2000 | NTSC (NA)
|       | Pilotwings 64                                    | Nintendo                | Nintendo 64 | 1996 | NTSC (NA)
|       | Pokemon Puzzle League                            | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Pokemon Snap                                     | Nintendo                | Nintendo 64 | 1999 | NTSC (NA)
|       | Pokemon Stadium                                  | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Pokemon Stadium 2                                | Nintendo                | Nintendo 64 | 2001 | NTSC (NA)
|       | Polaris SnoCross                                 | Vatical Entertainment   | Nintendo 64 | 2000 | NTSC (NA)
|       | Power Rangers: Lightspeed Rescue                 | THQ                     | Nintendo 64 | 2000 | NTSC (NA)
|       | Powerpuff Girls: Chemical X-Traction, The        | Bam Entertainment       | Nintendo 64 | 2001 | NTSC (NA)
|       | Quake                                            | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | Quake II                                         | Activision              | Nintendo 64 | 1999 | NTSC (NA)
|       | Quest 64                                         | THQ                     | Nintendo 64 | 1998 | NTSC (NA)
|       | Rally Challenge 2000                             | SouthPeak Games         | Nintendo 64 | 2000 | NTSC (NA)
|       | Rampage 2: Universal Tour                        | Midway                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Rampage World Tour                               | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | Rat Attack!                                      | Mindscape Inc.          | Nintendo 64 | 2000 | NTSC (NA)
|       | Rayman 2: The Great Escape                       | Ubisoft                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Razor Freestyle Scooter                          | Crave                   | Nintendo 64 | 2001 | NTSC (NA)
|       | Re-Volt                                          | Acclaim                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Ready 2 Rumble Boxing                            | Midway                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Ready 2 Rumble Boxing: Round 2                   | Midway                  | Nintendo 64 | 2000 | NTSC (NA)
|       | Resident Evil 2                                  | Capcom                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Ridge Racer 64                                   | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Road Rash 64                                     | THQ                     | Nintendo 64 | 1999 | NTSC (NA)
|       | Roadsters                                        | Titus Software          | Nintendo 64 | 1999 | NTSC (NA)
|       | Robotron 64                                      | Crave                   | Nintendo 64 | 1998 | NTSC (NA)
|       | Rocket: Robot on Wheels                          | Ubisoft                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Rugrats in Paris: The Movie                      | THQ                     | Nintendo 64 | 2000 | NTSC (NA)
|       | Rugrats: Scavenger Hunt                          | THQ                     | Nintendo 64 | 1999 | NTSC (NA)
|       | Rush 2: Extreme Racing USA                       | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | S.C.A.R.S                                        | Ubisoft                 | Nintendo 64 | 1998 | NTSC (NA)
|       | San Francisco Rush 2049                          | Midway                  | Nintendo 64 | 2000 | NTSC (NA)
|       | San Francisco Rush: Extreme Racing               | Midway                  | Nintendo 64 | 1997 | NTSC (NA)
|       | Scooby-Doo! Classic Creep Capers                 | THQ                     | Nintendo 64 | 2001 | NTSC (NA)
|       | Sesame Street: Elmo's Letter Adventure           | NewKidCo                | Nintendo 64 | 1999 | NTSC (NA)
|       | Sesame Street: Elmo's Number Journey             | NewKidCo                | Nintendo 64 | 1999 | NTSC (NA)
|       | Shadow Man                                       | Acclaim                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Shadowgate 64: Trials of the Four Towers         | Kemco                   | Nintendo 64 | 1999 | NTSC (NA)
|       | Snowboard Kids                                   | ATLUS                   | Nintendo 64 | 1998 | NTSC (NA)
|       | Snowboard Kids 2                                 | ATLUS                   | Nintendo 64 | 1999 | NTSC (NA)
|       | South Park                                       | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | South Park Rally                                 | Acclaim                 | Nintendo 64 | 2000 | NTSC (NA)
|       | South Park: Chef's Luv Shack                     | Acclaim                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Space Invaders                                   | Activision              | Nintendo 64 | 1999 | NTSC (NA)
|       | Space Station Silicon Valley                     | Take-Two Interactive    | Nintendo 64 | 1998 | NTSC (NA)
|       | Spider-Man                                       | Activision              | Nintendo 64 | 2000 | NTSC (NA)
|       | Star Fox 64                                      | Nintendo                | Nintendo 64 | 1997 | NTSC (NA)
|       | Star Soldier: Vanishing Earth                    | Electro Brain           | Nintendo 64 | 1998 | NTSC (NA)
|       | Star Wars Episode I: Racer                       | LucasArts               | Nintendo 64 | 1999 | NTSC (NA)
|       | Star Wars: Episode I Battle for Naboo            | LucasArts               | Nintendo 64 | 2000 | NTSC (NA)
|       | Star Wars: Rogue Squadron                        | LucasArts               | Nintendo 64 | 1998 | NTSC (NA)
|       | Star Wars: Shadows of the Empire                 | Nintendo                | Nintendo 64 | 1996 | NTSC (NA)
|       | Starcraft 64                                     | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Starshot: Space Circus Fever                     | Infogrames              | Nintendo 64 | 1999 | NTSC (NA)
|       | Stunt Racer 64                                   | Midway                  | Nintendo 64 | 2000 | NTSC (NA)
|       | Super Bowling                                    | UFO Interactive         | Nintendo 64 | 2001 | NTSC (NA)
|       | Super Mario 64                                   | Nintendo                | Nintendo 64 | 1996 | NTSC (NA)
|       | Super Smash Bros.                                | Nintendo                | Nintendo 64 | 1999 | NTSC (NA)
|       | Supercross 2000                                  | Electronic Arts         | Nintendo 64 | 1999 | NTSC (NA)
|       | Superman                                         | Titus Software          | Nintendo 64 | 1999 | NTSC (NA)
|       | Tetrisphere                                      | Nintendo                | Nintendo 64 | 1997 | NTSC (NA)
|       | Tigger's Honey Hunt                              | NewKidCo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Tom and Jerry in Fists of Furry                  | NewKidCo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Tom Clancy's Rainbow Six                         | Red Storm Entertainment | Nintendo 64 | 1999 | NTSC (NA)
|       | Tonic Trouble                                    | Ubisoft                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Tony Hawk's Pro Skater                           | Activision              | Nintendo 64 | 2000 | NTSC (NA)
|       | Tony Hawk's Pro Skater 2                         | Activision              | Nintendo 64 | 2001 | NTSC (NA)
|       | Tony Hawk's Pro Skater 3                         | Activision              | Nintendo 64 | 2002 | NTSC (NA)
|       | Top Gear Hyper-Bike                              | Kemco                   | Nintendo 64 | 2000 | NTSC (NA)
|       | Top Gear Overdrive                               | Kemco                   | Nintendo 64 | 1998 | NTSC (NA)
|       | Top Gear Rally                                   | Kemco                   | Nintendo 64 | 1997 | NTSC (NA)
|       | Top Gear Rally 2                                 | Kemco                   | Nintendo 64 | 1999 | NTSC (NA)
|       | Toy Story 2: Buzz Lightyear to the Rescue!       | Activision              | Nintendo 64 | 1999 | NTSC (NA)
|       | Transformers: Beast Wars Transmetals             | Bam Entertainment       | Nintendo 64 | 2000 | NTSC (NA)
|       | Triple Play 2000                                 | EA Sports               | Nintendo 64 | 1999 | NTSC (NA)
|       | Turok 2: Seeds of Evil                           | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | Turok 3: Shadow of Oblivion                      | Acclaim                 | Nintendo 64 | 2000 | NTSC (NA)
|       | Turok: Dinosaur Hunter                           | Acclaim                 | Nintendo 64 | 1997 | NTSC (NA)
|       | Turok: Rage Wars                                 | Acclaim                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Twisted Edge: Extreme Snowboarding               | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | V-Rally Edition '99                              | Infogrames              | Nintendo 64 | 1999 | NTSC (NA)
|       | Vigilante 8                                      | Activision              | Nintendo 64 | 1998 | NTSC (NA)
|       | Vigilante 8: 2nd Offense                         | Activision              | Nintendo 64 | 2000 | NTSC (NA)
|       | Virtual Chess 64                                 | Titus Software          | Nintendo 64 | 1998 | NTSC (NA)
|       | Virtual Pool 64                                  | Crave                   | Nintendo 64 | 1998 | NTSC (NA)
|       | Waialae Country Club: True Golf Classics         | Nintendo                | Nintendo 64 | 1998 | NTSC (NA)
|       | War Gods                                         | Midway                  | Nintendo 64 | 1997 | NTSC (NA)
|       | Wave Race 64                                     | Nintendo                | Nintendo 64 | 1996 | NTSC (NA)
|       | Wayne Gretzky's 3D Hockey                        | Midway                  | Nintendo 64 | 1996 | NTSC (NA)
|       | Wayne Gretzky's 3D Hockey '98                    | Midway                  | Nintendo 64 | 1997 | NTSC (NA)
|       | WCW Backstage Assault                            | Electronic Arts         | Nintendo 64 | 2000 | NTSC (NA)
|       | WCW Mayhem                                       | EA Sports               | Nintendo 64 | 1999 | NTSC (NA)
|       | WCW Nitro                                        | THQ                     | Nintendo 64 | 1999 | NTSC (NA)
|       | WCW vs. NWO: World Tour                          | THQ                     | Nintendo 64 | 1997 | NTSC (NA)
|       | WCW/NWO Revenge                                  | THQ                     | Nintendo 64 | 1998 | NTSC (NA)
|       | Wetrix                                           | Ocean                   | Nintendo 64 | 1998 | NTSC (NA)
|       | Wheel of Fortune                                 | GameTek                 | Nintendo 64 | 1997 | NTSC (NA)
|       | WinBack: Covert Operations                       | Koei                    | Nintendo 64 | 1999 | NTSC (NA)
|       | WipeOut 64                                       | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | World Cup 98                                     | EA Sports               | Nintendo 64 | 1998 | NTSC (NA)
|       | World Driver Championship                        | Midway                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Worms Armageddon                                 | Infogrames              | Nintendo 64 | 2000 | NTSC (NA)
|       | WWF Attitude                                     | Acclaim                 | Nintendo 64 | 1999 | NTSC (NA)
|       | WWF No Mercy                                     | THQ                     | Nintendo 64 | 2000 | NTSC (NA)
|       | WWF War Zone                                     | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | WWF Wrestlemania 2000                            | THQ                     | Nintendo 64 | 1999 | NTSC (NA)
|       | Xena: Warrior Princess - The Talisman of Fate    | Titus Software          | Nintendo 64 | 1999 | NTSC (NA)
|       | Yoshi's Story                                    | Nintendo                | Nintendo 64 | 1998 | NTSC (NA)
