|       | Haunting Starring Polterguy                               | Electronic Arts              | Sega Genesis | 1993 | NTSC (NA)
|       | Head-On Soccer                                            | U.S. Gold                    | Sega Genesis | 1995 | NTSC (NA)
|       | Heavy Nova                                                | Micronet                     | Sega Genesis | 1992 | NTSC (NA)
|       | Hellfire                                                  | Seismic                      | Sega Genesis | 1991 | NTSC (NA)
|       | Herzog Zwei                                               | Sega                         | Sega Genesis | 1990 | NTSC (NA)
|       | High Seas Havoc                                           | Data East                    | Sega Genesis | 1993 | NTSC (NA)
|       | Hit the Ice                                               | Taito Corporation            | Sega Genesis | 1992 | NTSC (NA)
|       | Home Alone                                                | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Home Alone 2: Lost in New York                            | Sega                         | Sega Genesis | 1993 | NTSC (NA)
|       | Hook                                                      | Sony Imagesoft               | Sega Genesis | 1992 | NTSC (NA)
|       | Humans, The                                               | GameTek                      | Sega Genesis | 1992 | NTSC (NA)
|       | IMG International Tour Tennis                             | Electronic Arts              | Sega Genesis | 1994 | NTSC (NA)
|       | Immortal, The                                             | Electronic Arts              | Sega Genesis | 1993 | NTSC (NA)
|       | Incredible Crash Dummies, The                             | Flying Edge                  | Sega Genesis | 1993 | NTSC (NA)
|       | Incredible Hulk, The                                      | U.S. Gold                    | Sega Genesis | 1994 | NTSC (NA)
|       | Indiana Jones and the Last Crusade                        | U.S. Gold                    | Sega Genesis | 1992 | NTSC (NA)
|       | Insector X                                                | Sage's Creation              | Sega Genesis | 1990 | NTSC (NA)
|       | Instruments of Chaos starring Young Indiana Jones         | Sega                         | Sega Genesis | 1994 | NTSC (NA)
|       | Ishido: The Way of the Stones                             | Accolade                     | Sega Genesis | 1990 | NTSC (NA)
|       | Itchy & Scratchy Game, The                                | Acclaim                      | Sega Genesis | 1994 | NTSC (NA)
|       | Izzy's Quest for the Olympic Rings                        | U.S. Gold                    | Sega Genesis | 1995 | NTSC (NA)
|       | Jack Nicklaus' Power Challenge Golf                       | Accolade                     | Sega Genesis | 1993 | NTSC (NA)
|       | James 'Buster' Douglas Knockout Boxing                    | Taito Corporation            | Sega Genesis | 1990 | NTSC (NA)
|       | James Bond 007: The Duel                                  | Domark                       | Sega Genesis | 1993 | NTSC (NA)
|       | James Pond 3: Operation Starfish                          | Electronic Arts              | Sega Genesis | 1993 | NTSC (NA)
|       | James Pond II: Codename: Robocod                          | Electronic Arts              | Sega Genesis | 1991 | NTSC (NA)
|       | James Pond: Underwater Agent                              | Electronic Arts              | Sega Genesis | 1991 | NTSC (NA)
|       | Jammit                                                    | Virgin Interactive           | Sega Genesis | 1994 | NTSC (NA)
|       | Jennifer Capriati Tennis                                  | Renovation                   | Sega Genesis | 1992 | NTSC (NA)
|       | Jeopardy!                                                 | GameTek                      | Sega Genesis | 1992 | NTSC (NA)
|       | Jeopardy! Deluxe Edition                                  | GameTek                      | Sega Genesis | 1993 | NTSC (NA)
|       | Jeopardy! Sports Edition                                  | GameTek                      | Sega Genesis | 1993 | NTSC (NA)
|       | Jerry Glanville's Pigskin Footbrawl                       | Razorsoft                    | Sega Genesis | 1992 | NTSC (NA)
|       | Jewel Master                                              | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Joe & Mac                                                 | Takara                       | Sega Genesis | 1991 | NTSC (NA)
|       | Joe Montana Football                                      | Sega                         | Sega Genesis | 1990 | NTSC (NA)
|       | Joe Montana II: Sports Talk Football                      | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | John Madden Football                                      | Electronic Arts Victor       | Sega Genesis | 1990 | NTSC (NA)
|       | John Madden Football '92                                  | Electronic Arts              | Sega Genesis | 1991 | NTSC (NA)
|       | John Madden Football '93                                  | Electronic Arts              | Sega Genesis | 1992 | NTSC (NA)
|       | John Madden Football Championship Edition                 | EA Sports                    | Sega Genesis | 1992 | NTSC (NA)
|       | Jordan vs Bird                                            | Electronic Arts              | Sega Genesis | 1992 | NTSC (NA)
